ax,ay,az,gx,gy,gz,Altitude,Activity
1.28,-9.88,0.64,-0.11,-0.01,-0.04,-22.54,Normal
1.40,-9.83,0.73,-0.13,-0.07,-0.05,-22.71,Normal
1.44,-9.76,0.60,-0.09,-0.04,-0.05,-22.96,Normal
1.32,-9.80,0.64,-0.12,-0.03,-0.03,-22.71,Normal
1.42,-9.73,0.59,-0.12,-0.04,-0.03,-23.29,Normal
1.43,-9.83,0.72,-0.12,-0.05,-0.03,-23.04,Normal
1.36,-9.78,0.68,-0.11,-0.03,-0.02,-23.12,Normal
1.39,-9.74,0.57,-0.13,-0.04,-0.02,-23.12,Normal
1.35,-9.79,0.69,-0.12,-0.03,-0.01,-23.04,Normal
1.37,-9.76,0.66,-0.13,-0.05,-0.01,-23.20,Normal
1.44,-9.86,0.84,-0.15,-0.04,-0.00,-23.20,Normal
1.28,-9.70,0.57,-0.10,-0.04,-0.00,-23.37,Normal
1.42,-9.86,0.70,-0.11,-0.03,-0.00,-23.45,Normal
1.31,-9.75,0.70,-0.14,-0.05,-0.00,-23.12,Normal
1.35,-9.75,0.62,-0.13,-0.07,-0.01,-23.54,Normal
1.31,-9.87,0.68,-0.11,-0.10,-0.04,-23.45,Normal
1.42,-9.82,0.63,-0.08,-0.06,-0.04,-23.54,Normal
1.35,-9.74,0.63,-0.04,-0.01,-0.03,-23.37,Normal
1.37,-9.85,0.73,-0.09,-0.04,-0.03,-23.29,Normal
1.27,-9.78,0.64,-0.07,-0.04,-0.03,-24.03,Normal
1.30,-9.72,0.71,-0.12,-0.09,-0.03,-23.54,Normal
1.49,-9.89,0.67,-0.10,-0.08,-0.03,-23.37,Normal
1.49,-9.73,0.89,-0.17,-0.14,-0.03,-23.04,Normal
1.39,-9.80,0.71,-0.11,-0.08,-0.02,-23.54,Normal
1.28,-9.76,0.82,-0.18,-0.11,-0.02,-23.54,Normal
1.35,-9.85,0.72,-0.16,-0.10,-0.03,-23.87,Normal
1.36,-9.79,0.67,-0.17,-0.10,-0.03,-23.12,Normal
1.39,-9.74,0.63,-0.17,-0.08,-0.02,-23.37,Normal
1.30,-9.73,0.67,-0.21,-0.09,0.00,-23.20,Normal
1.30,-9.72,0.66,-0.22,-0.10,0.02,-23.37,Normal
1.29,-9.59,0.63,-0.27,-0.13,0.02,-23.62,Normal
1.34,-9.31,0.55,-0.39,-0.14,0.06,-23.37,Normal
1.18,-9.17,0.26,-0.51,-0.17,0.10,-23.37,Normal
1.22,-9.25,0.11,-0.77,-0.27,0.16,-23.20,Normal
0.95,-8.85,-0.11,-0.91,-0.25,0.25,-23.29,Normal
0.62,-8.02,-0.19,-1.17,-0.40,0.33,-23.45,Normal
0.28,-7.66,-0.43,-1.49,-0.61,0.40,-23.45,Normal
0.28,-6.46,-0.39,-1.82,-1.00,0.44,-23.54,Normal
-0.33,-5.92,-0.83,-2.03,-1.35,0.47,-23.20,Normal
-1.02,-5.32,-1.60,-1.61,-1.27,0.61,-23.45,Normal
-2.02,-5.62,-2.28,-1.15,-1.42,0.64,-23.62,Normal
-2.42,-4.14,-3.28,-1.19,-1.55,0.87,-23.54,Normal
-4.02,-3.12,-5.29,-2.09,-1.66,1.12,-23.87,Normal
-4.12,-3.67,-4.69,-2.11,-1.43,1.24,-23.95,Normal
-5.21,-4.09,-5.33,-2.13,-1.48,1.16,-24.28,Normal
-6.17,-3.79,-6.34,-1.96,-1.15,1.00,-24.28,Normal
-8.31,-3.23,-7.07,-1.49,-1.04,0.85,-24.12,Normal
-8.83,-2.74,-6.76,-1.18,-0.60,0.73,-24.12,Normal
-9.00,-1.52,-6.22,-1.08,-0.52,0.59,-23.87,Normal
-8.53,-0.38,-6.41,-0.80,-0.31,0.55,-24.12,Normal
-8.77,-0.10,-5.68,-0.72,-0.13,0.45,-24.54,Normal
-8.90,0.12,-5.33,-0.60,-0.17,0.38,-24.03,Normal
-8.34,0.46,-5.13,-0.45,-0.18,0.26,-24.54,Normal
-8.26,0.90,-4.62,-0.31,-0.13,0.18,-24.12,Normal
-8.06,1.02,-4.98,-0.28,-0.18,0.10,-24.03,Normal
-8.24,1.04,-4.95,-0.20,-0.06,0.05,-24.62,Normal
-8.73,1.06,-4.90,-0.08,-0.08,-0.03,-24.62,Normal
-9.43,0.91,-5.63,0.04,-0.17,-0.15,-24.12,Normal
-9.12,0.27,-5.68,0.22,-0.11,-0.24,-24.54,Normal
-9.10,0.06,-5.49,0.43,-0.10,-0.41,-24.12,Normal
-8.23,-0.25,-5.37,0.61,0.13,-0.50,-24.12,Normal
-8.15,-0.55,-5.54,0.82,0.43,-0.60,-24.03,Normal
-8.30,-1.00,-5.83,0.94,0.68,-0.72,-24.03,Normal
-8.11,-2.25,-5.87,1.08,0.94,-0.82,-24.03,Normal
-7.61,-3.08,-6.22,1.32,1.01,-0.97,-24.03,Normal
-6.66,-3.65,-5.89,1.52,1.00,-1.16,-23.87,Normal
-5.90,-3.98,-5.52,1.68,0.97,-1.28,-23.45,Normal
-4.78,-4.32,-4.37,1.84,1.02,-1.28,-23.37,Normal
-3.96,-4.54,-4.01,1.76,0.90,-1.31,-23.62,Normal
-3.08,-4.62,-3.89,1.89,1.06,-1.19,-23.20,Normal
-2.36,-5.36,-2.75,1.76,1.07,-1.06,-23.87,Normal
-1.02,-5.90,-2.26,1.68,1.07,-0.99,-23.95,Normal
-0.70,-6.55,-1.86,1.44,1.31,-0.83,-23.12,Normal
-0.50,-6.47,-0.74,1.16,1.32,-0.67,-23.29,Normal
-0.43,-6.76,-0.11,0.90,1.21,-0.44,-23.29,Normal
0.05,-7.94,0.08,0.64,0.84,-0.26,-23.04,Normal
1.18,-8.36,0.66,0.03,0.42,-0.13,-23.45,Normal
1.62,-10.04,2.44,0.11,0.96,0.08,-23.37,Normal
1.29,-9.83,2.43,1.03,1.00,-0.05,-23.29,Normal
1.30,-9.28,0.55,0.59,-0.06,-0.19,-23.20,Normal
1.23,-9.16,0.91,0.08,0.32,0.05,-23.20,Normal
1.05,-9.73,1.68,-0.09,0.08,0.02,-23.20,Normal
0.96,-9.75,1.34,-0.03,-0.02,-0.01,-23.45,Normal
1.14,-9.77,1.50,-0.14,-0.12,-0.02,-23.45,Normal
1.32,-9.89,1.41,-0.17,-0.20,-0.04,-23.20,Normal
1.23,-9.94,1.42,-0.15,-0.21,-0.04,-23.20,Normal
1.33,-9.83,1.34,-0.18,-0.20,-0.06,-23.20,Normal
1.34,-9.87,1.24,-0.21,-0.18,-0.06,-22.87,Normal
1.40,-9.94,1.24,-0.17,-0.16,-0.06,-23.45,Normal
1.27,-9.70,1.10,-0.12,-0.14,-0.08,-23.04,Normal
1.42,-9.95,1.13,-0.15,-0.11,-0.07,-22.96,Normal
1.25,-10.10,1.31,-0.11,-0.08,-0.05,-23.12,Normal
1.33,-9.79,0.97,-0.06,-0.09,-0.04,-23.45,Normal
1.25,-9.80,1.15,-0.13,-0.10,-0.03,-23.62,Normal
1.39,-9.91,1.10,-0.11,-0.07,-0.03,-23.20,Normal
1.38,-9.84,1.04,-0.08,-0.06,-0.02,-23.54,Normal
1.40,-9.79,1.13,-0.12,-0.06,-0.02,-23.29,Normal
1.37,-9.89,1.08,-0.13,-0.04,-0.02,-23.29,Normal
1.35,-9.77,1.07,-0.14,-0.03,-0.03,-23.20,Normal
1.35,-9.80,1.12,-0.12,-0.04,-0.04,-23.45,Normal
1.41,-9.89,1.23,-0.15,-0.02,-0.03,-23.54,Normal
1.33,-9.78,1.08,-0.11,-0.03,-0.03,-23.45,Normal
1.40,-9.89,1.13,-0.14,-0.01,-0.02,-23.45,Normal
1.47,-9.82,1.00,-0.16,-0.02,-0.02,-23.45,Normal
1.37,-9.86,1.02,-0.13,-0.05,-0.01,-23.87,Normal
1.27,-9.77,1.12,-0.17,-0.05,-0.00,-23.54,Normal
1.43,-9.76,1.14,-0.21,-0.07,0.01,-23.87,Normal
1.35,-9.74,1.16,-0.24,-0.09,0.03,-23.20,Normal
1.24,-9.64,0.84,-0.31,-0.11,0.05,-23.45,Normal
1.23,-9.56,0.85,-0.44,-0.15,0.07,-23.12,Normal
1.18,-9.51,0.91,-0.55,-0.18,0.10,-23.62,Normal
1.01,-9.22,0.51,-0.62,-0.22,0.14,-23.29,Normal
1.02,-9.05,0.24,-0.88,-0.28,0.19,-23.37,Normal
0.80,-8.60,0.23,-1.07,-0.33,0.25,-23.54,Normal
0.53,-8.41,-0.21,-1.31,-0.46,0.31,-23.87,Normal
0.28,-7.66,-0.51,-1.49,-0.59,0.39,-23.20,Normal
0.23,-6.73,-0.84,-1.79,-0.73,0.50,-23.37,Normal
-0.33,-6.55,-1.19,-1.93,-0.82,0.57,-23.87,Normal
-0.63,-6.14,-1.86,-1.54,-1.04,0.49,-23.37,Normal
-1.44,-5.91,-2.47,-1.07,-0.82,0.50,-23.54,Normal
-1.33,-5.23,-2.53,-0.50,-0.97,0.40,-23.04,Normal
-3.64,-3.20,-5.42,-2.31,-1.24,0.79,-23.54,Normal
-3.40,-3.36,-5.68,-1.93,-1.18,0.85,-23.20,Normal
-4.48,-4.84,-5.88,-2.14,-1.18,0.84,-23.87,Normal
-5.31,-3.82,-6.78,-1.85,-1.27,0.71,-23.37,Normal
-6.15,-2.96,-6.82,-1.65,-1.05,0.77,-23.62,Normal
-5.42,-3.49,-6.67,-1.67,-0.82,0.68,-24.12,Normal
-6.89,-2.15,-6.17,-1.13,-0.97,0.43,-23.62,Normal
-8.93,-0.69,-6.51,-1.06,-0.89,0.48,-23.95,Normal
-8.19,-1.47,-6.87,-0.96,-0.47,0.60,-24.03,Normal
