ax,ay,az,gx,gy,gz,Altitude,Activity
0.10,-9.91,3.05,-0.10,-0.07,-0.02,-39.55,Normal
0.07,-9.96,3.05,-0.10,-0.08,-0.02,-39.06,Normal
0.06,-9.93,3.05,-0.12,-0.06,-0.01,-39.48,Normal
0.05,-9.91,3.14,-0.12,-0.06,-0.01,-39.31,Normal
0.02,-9.96,3.05,-0.12,-0.07,-0.02,-39.31,Normal
-0.02,-9.90,3.02,-0.13,-0.05,-0.02,-38.73,Normal
0.02,-10.03,2.94,-0.13,-0.05,-0.01,-39.31,Normal
0.00,-10.07,3.05,-0.12,-0.07,-0.02,-39.31,Normal
-0.10,-9.87,3.12,-0.12,-0.06,-0.01,-39.23,Normal
0.01,-9.94,2.99,-0.12,-0.07,-0.01,-39.55,Normal
0.08,-9.98,3.08,-0.11,-0.05,0.00,-39.39,Normal
0.50,-9.98,3.12,-0.12,-0.00,-0.00,-39.48,Normal
0.65,-9.73,2.87,-0.12,0.08,-0.03,-39.55,Normal
0.45,-9.92,2.97,-0.19,0.18,-0.04,-39.48,Normal
0.37,-9.93,2.84,-0.23,0.30,-0.07,-38.89,Normal
0.25,-9.81,2.64,-0.25,0.48,-0.11,-39.31,Normal
0.21,-10.14,2.89,-0.31,0.73,-0.11,-39.39,Normal
0.15,-10.05,2.97,-0.27,1.06,-0.12,-39.39,Normal
0.05,-10.31,2.74,-0.21,1.38,-0.13,-39.48,Normal
0.27,-9.96,2.70,-0.24,1.60,-0.15,-39.31,Normal
0.53,-9.71,2.37,-0.25,1.90,-0.17,-39.31,Normal
0.20,-9.75,1.95,-0.35,2.15,-0.16,-38.97,Normal
2.36,-0.14,-39.14,Normal
1.07,-10.25,1.34,-0.29,2.60,-0.20,-38.89,Normal
1.99,-9.87,0.28,-0.29,2.73,-0.20,-38.89,Normal
1.02,-9.57,-0.18,-0.64,2.46,-0.07,-38.97,Normal
1.96,-11.87,1.58,-0.17,2.76,-0.01,-38.73,Normal
2.26,-9.15,0.39,0.16,2.95,-0.05,-39.31,Normal
1.92,-9.95,0.77,-0.09,3.05,0.01,-39.14,Normal
1.80,-9.99,0.98,-0.01,2.98,-0.00,-38.73,Normal
2.36,-9.72,0.81,0.07,3.09,-0.06,-39.55,Normal
2.77,-8.81,0.61,0.05,3.26,-0.20,-39.64,Normal
1.25,-8.98,0.23,-0.29,3.45,-0.27,-39.39,Normal
0.55,-11.19,1.50,-0.51,3.81,-0.15,-38.97,Normal
-0.05,-10.56,0.05,-0.56,4.27,0.02,-39.31,Normal
-0.85,-11.40,0.75,-0.67,4.01,0.08,-39.39,Normal
0.79,-9.67,-0.32,-0.23,4.37,-0.08,-39.39,Normal
0.29,-9.90,-0.91,-0.55,4.37,-0.14,-39.39,Normal
-0.20,-10.22,-0.69,-0.64,4.36,-0.06,-39.31,Normal
-0.25,-9.99,-0.13,-0.47,4.19,0.04,-39.14,Normal
-0.23,-8.80,-0.06,-0.35,4.10,0.05,-38.40,Normal
0.36,-10.64,-0.53,-0.28,3.99,0.07,-39.39,Normal
0.93,-8.31,-0.91,-0.43,3.75,0.05,-39.39,Normal
1.57,-10.58,-0.33,-0.54,3.39,-0.05,-39.14,Normal
2.31,-10.69,0.22,-0.11,3.63,-0.09,-38.65,Normal
1.36,-10.14,-0.26,-0.28,3.65,-0.09,-39.39,Normal
1.11,-10.55,0.41,-0.34,3.51,0.03,-39.48,Normal
1.01,-9.89,0.84,-0.24,3.08,-0.00,-39.23,Normal
1.82,-9.42,0.61,-0.12,3.09,-0.16,-39.31,Normal
1.69,-9.73,-0.57,-0.40,2.92,-0.32,-39.31,Normal
0.26,-9.42,1.06,-0.84,3.04,-0.12,-39.39,Normal
-1.63,-10.27,1.25,-0.70,2.92,0.09,-39.14,Normal
0.91,-11.88,1.58,-0.10,2.71,0.01,-39.31,Normal
-0.07,-9.96,1.11,-0.24,2.69,0.02,-39.64,Normal
0.35,-10.06,1.93,-0.26,2.71,0.10,-39.23,Normal
0.23,-9.41,1.44,-0.06,2.69,0.08,-39.48,Normal
0.96,-9.73,1.47,-0.14,2.76,0.05,-39.39,Normal
0.77,-9.50,1.45,-0.19,3.03,0.08,-39.48,Normal
0.49,-10.37,1.15,-0.28,3.15,0.05,-39.39,Normal
0.30,-10.25,1.63,-0.29,3.12,0.07,-39.31,Normal
0.62,-9.46,1.62,-0.17,3.15,0.00,-39.23,Normal
1.13,-10.22,0.94,-0.20,3.20,-0.16,-39.14,Normal
0.60,-9.29,0.71,-0.47,3.17,-0.10,-39.23,Normal
0.60,-8.95,-0.85,-0.61,2.94,-0.03,-39.80,Normal
,2.54,0.02,-39.06,Normal
1.12,-10.45,1.18,-0.00,2.51,-0.05,-39.31,Normal
1.70,-10.15,0.46,0.07,2.55,-0.19,-39.39,Normal
1.25,-10.15,1.34,0.02,2.33,-0.22,-39.39,Normal
1.37,-9.36,1.48,0.20,2.19,-0.27,-39.64,Normal
2.45,-8.99,1.85,0.36,1.95,-0.45,-39.23,Normal
1.72,-12.29,2.01,0.20,2.20,-0.60,-39.14,Normal
0.72,-9.65,2.03,-0.08,2.92,-0.27,-39.72,Normal
-1.10,-10.49,3.12,-0.37,2.82,-0.04,-39.39,Normal
1.25,-10.39,2.82,0.07,2.85,-0.24,-39.48,Normal
0.92,-9.32,2.43,-0.26,3.09,-0.31,-39.39,Normal
1.04,-9.84,2.49,-0.20,3.27,-0.39,-39.48,Normal
0.12,-10.06,2.90,-0.36,3.20,-0.35,-39.72,Normal
-0.01,-10.15,2.97,-0.16,3.11,-0.30,-39.39,Normal
0.02,-9.70,3.27,-0.22,2.78,-0.29,-39.48,Normal
-0.00,-9.83,3.63,-0.20,2.60,-0.31,-39.55,Normal
-0.09,-9.82,3.80,-0.24,2.41,-0.29,-39.14,Normal
0.25,-10.10,3.94,-0.25,2.27,-0.33,-39.39,Normal
-0.13,-9.38,3.93,-0.34,2.14,-0.30,-38.89,Normal
-0.07,-9.27,3.56,-0.40,1.99,-0.29,-39.06,Normal
0.84,-10.52,3.30,-0.36,1.93,-0.42,-39.06,Normal
1.68,-10.97,2.64,-0.38,1.94,-0.50,-39.06,Normal
1.21,-8.52,2.08,-0.64,1.95,-0.48,-39.31,Normal
1.17,-9.67,1.92,-0.73,1.92,-0.38,-38.81,Normal
0.93,-9.63,1.87,-0.69,1.72,-0.26,-39.55,Normal
1.40,-10.01,1.94,-0.54,1.72,-0.23,-39.64,Normal
1.66,-10.16,1.90,-0.45,1.57,-0.23,-38.97,Normal
2.25,-10.28,1.65,-0.37,1.61,-0.22,-39.14,Normal
2.09,-9.80,1.39,-0.37,1.92,-0.13,-39.23,Normal
1.50,-10.36,2.31,-0.46,1.65,-0.00,-39.31,Normal
1.99,-10.10,2.27,-0.18,1.93,-0.02,-39.31,Normal
1.55,-9.72,2.15,-0.32,1.92,-0.06,-39.64,Normal
1.33,-9.62,2.08,-0.34,2.04,-0.01,-38.89,Normal
1.22,-9.67,1.81,-0.43,1.89,-0.01,-39.23,Normal
1.24,-9.98,2.15,-0.43,1.79,-0.05,-39.72,Normal
1.43,-10.24,2.04,-0.28,1.72,-0.09,-39.72,Normal
1.26,-9.84,2.25,-0.15,1.68,-0.08,-39.48,Normal
1.26,-10.10,2.40,-0.16,1.55,-0.07,-39.72,Normal
1.05,-9.73,2.63,-0.02,1.48,-0.06,-39.97,Normal
1.14,-9.69,2.94,-0.09,1.29,-0.04,-39.80,Normal
1.48,-9.66,2.99,0.07,1.28,-0.08,-40.05,Normal
