ax,ay,az,gx,gy,gz,Altitude,Activity
1.54,-9.84,1.06,-0.11,-0.05,-0.02,-38.56,Normal
1.58,-9.84,1.09,-0.07,-0.06,-0.04,-38.48,Normal
1.57,-9.80,1.10,-0.10,-0.05,-0.04,-38.31,Normal
1.57,-9.84,1.16,-0.12,-0.05,-0.04,-38.23,Normal
1.64,-9.85,1.18,-0.11,-0.04,-0.03,-38.48,Normal
1.58,-9.77,1.20,-0.11,-0.04,-0.03,-38.56,Normal
1.68,-9.76,1.23,-0.12,-0.05,-0.02,-38.73,Normal
1.67,-9.83,1.28,-0.14,-0.05,-0.03,-38.81,Normal
1.61,-9.73,1.27,-0.11,-0.03,-0.02,-38.65,Normal
1.68,-9.77,1.18,-0.10,-0.01,-0.02,-38.65,Normal
1.72,-9.80,1.18,-0.13,-0.03,-0.02,-38.40,Normal
1.61,-9.76,1.16,-0.12,-0.02,-0.02,-38.48,Normal
1.58,-9.84,1.21,-0.14,-0.05,-0.02,-38.89,Normal
1.64,-9.81,1.18,-0.14,-0.05,-0.02,-38.73,Normal
1.90,-9.81,1.08,-0.14,-0.03,-0.00,-38.65,Normal
1.68,-9.88,1.07,-0.14,0.01,0.02,-38.31,Normal
1.52,-9.65,1.02,-0.14,0.00,0.03,-38.81,Normal
1.61,-9.68,1.13,-0.26,-0.07,0.05,-38.40,Normal
1.44,-9.44,1.25,-0.39,-0.22,0.08,-38.81,Normal
1.52,-9.51,0.99,-0.54,-0.30,0.14,-38.56,Normal
1.79,-9.73,0.82,-0.56,-0.33,0.20,-38.14,Normal
1.47,-9.24,0.47,-0.60,-0.40,0.25,-38.65,Normal
1.28,-9.13,0.17,-0.67,-0.47,0.33,-38.65,Normal
0.92,-8.76,-0.0-0.56,0.41,-38.81,Normal
0.45,-8.68,-0.42,-0.90,-0.60,0.48,-38.23,Normal
-0.17,-8.12,-0.63,-1.07,-0.74,0.55,-38.48,Normal
-0.81,-8.32,-0.75,-1.17,-0.84,0.63,-38.48,Normal
-1.08,-8.44,-1.13,-1.17,-0.80,0.75,-38.65,Normal
-1.43,-8.05,-1.40,-1.10,-0.81,0.82,-38.65,Normal
-1.86,-7.59,-2.00,-1.13,-0.61,0.91,-39.31,Normal
-2.55,-7.13,-2.04,-1.24,-0.55,0.99,-38.65,Normal
-3.53,-6.97,-2.17,-0.91,-0.44,1.07,-39.06,Normal
-3.53,-6.24,-3.38,-0.54,-0.78,1.05,-38.65,Normal
-3.50,-6.85,-3.28,-0.20,0.54,1.08,-39.14,Normal
-3.52,-5.63,-5.25,0.78,0.83,0.81,-38.89,Normal
-5.43,-6.52,-4.44,0.34,0.45,0.57,-38.97,Normal
-4.00,-6.52,-5.70,-0.05,0.49,0.64,-38.89,Normal
-5.28,-7.39,-5.19,-0.40,0.13,0.54,-39.23,Normal
-5.90,-7.46,-4.84,-0.53,-0.23,0.44,-39.31,Normal
-5.35,-6.85,-4.40,-0.82,-0.24,0.47,-39.23,Normal
-5.00,-6.30,-3.74,-0.49,0.17,0.35,-39.31,Normal
-4.87,-5.75,-3.88,-0.12,0.64,0.22,-39.23,Normal
-6.00,-6.48,-5.06,0.32,1.10,0.15,-39.06,Normal
-5.75,-6.20,-4.71,0.24,0.85,0.25,-39.06,Normal
-4.66,-6.17,-5.16,-0.09,0.23,0.01,-38.81,Normal
-4.87,-5.82,-4.92,-0.00,0.06,-0.12,-39.14,Normal
-2.94,-5.37,-4.83,-0.74,-0.47,0.03,-39.31,Normal
-3.30,-6.10,-4.97,-0.56,0.06,-0.19,-39.14,Normal
-2.70,-5.49,-4.60,-0.43,0.34,-0.18,-39.23,Normal
-3.22,-5.74,-4.72,-0.64,0.63,-0.09,-39.14,Normal
-3.46,-4.98,-4.26,-0.26,0.89,0.09,-39.39,Normal
-3.29,-5.25,-5.32,-0.68,0.90,0.45,-39.72,Normal
-2.68,-4.47,-4.96,-0.39,1.00,0.48,-39.64,Normal
-2.84,-3.99,-4.57,-1.23,0.72,0.62,-39.39,Normal
-3.17,-4.41,-5.15,-0.63,0.83,0.95,-39.14,Normal
-1.81,-3.47,-4.87,-0.63,0.83,1.33,-39.31,Normal
-2.04,-4.05,-5.45,-0.29,1.50,1.34,-39.55,Normal
-2.05,-3.56,-5.38,0.25,1.71,1.22,-39.64,Normal
-2.51,-4.30,-4.84,-1.14,0.91,1.02,-39.64,Normal
-2.13,-4.66,-3.49,-1.08,0.31,0.85,-39.55,Normal
1.83,-3.22,-5.94,-0.25,0.30,0.72,-39.55,Normal
3.15,-2.82,-5.40,-1.10,1.18,0.47,-39.80,Normal
1.35,-4.06,-3.71,-1.76,1.72,0.58,-40.30,Normal
5.04,-0.54,-2.93,-0.13,1.38,1.11,-39.97,Normal
6.07,2.16,-6.38,3.61,4.37,-0.18,-40.55,Normal
5.78,-18.88,-20.26,1.68,3.24,4.37,-40.14,Normal
14.98,-2.48,-10.68,4.37,1.51,-4.37,-39.64,Normal
-10.05,-34.25,-11.94,-4.37,-0.81,0.51,-39.48,Normal
7.90,-4.15,4.52,-3.70,4.37,4.37,-39.80,Normal
42.61,-17.85,-24.49,-4.09,4.37,3.06,-40.05,Normal
-3.10,5.13,5.24,4.37,4.37,-4.37,-39.89,Normal
2.46,0.53,-3.86,4.37,4.37,-4.37,-39.89,Normal
-2.26,1.73,-3.97,4.37,3.43,-4.37,-39.72,Normal
-6.56,-1.62,-3.40,4.37,4.37,-4.37,-40.14,Normal
-3.07,-6.34,-15.96,4.37,0.60,-0.83,-39.48,Normal
0.67,-0.05,-8.08,-2.47,-4.37,-0.69,-40.22,Normal
-2.24,2.31,0.59,-4.37,-4.37,-2.37,-40.14,Normal
-3.24,0.08,1.42,-4.37,-4.11,-4.37,-40.05,Normal
-7.82,-6.33,0.50,-4.37,-2.01,-4.37,-39.72,Normal
-15.75,-6.09,1.58,-4.37,-2.94,-2.46,-39.55,Normal
-7.43,-7.50,0.14,-4.37,-4.37,0.44,-40.05,Normal
-4.96,-8.54,-1.79,-4.37,-3.73,-0.25,-39.55,Normal
-9.65,-13.21,9.27,-3.40,-2.09,-0.88,-39.72,Normal
-2.69,-5.07,5.73,0.75,-0.75,-0.08,-39.89,Normal
-9.39,-5.82,6.20,0.96,2.17,0.14,-39.80,Normal
-8.69,-2.96,5.82,0.19,-1.15,0.23,-40.14,Normal
-6.11,-2.88,7.73,-0.64,-1.33,-0.06,-40.38,Normal
-7.58,-5.66,8.21,-0.33,-0.88,-0.16,-39.89,Normal
-4.57,-4.95,7.96,-0.29,-1.01,0.24,-40.05,Normal
-5.94,-4.44,8.09,0.08,0.48,0.25,-40.05,Normal
-8.19,-4.59,7.64,-0.12,-0.30,0.05,-40.05,Normal
-5.28,-4.41,8.57,-0.09,-1.06,-0.03,-40.05,Normal
-6.06,-4.12,8.69,0.07,0.25,-0.03,-40.14,Normal
