ax,ay,az,gx,gy,gz,Altitude,Activity
1.10,-9.65,1.63,-0.20,-0.05,-0.09,-39.39,Normal
1.06,-10.23,1.75,-0.15,-0.05,-0.09,-39.23,Normal
1.11,-10.33,1.85,-0.08,-0.08,-0.08,-38.97,Normal
1.33,-9.93,1.90,-0.06,-0.05,-0.07,-38.73,Normal
1.28,-9.78,1.80,-0.10,-0.05,-0.05,-38.81,Normal
1.13,-9.87,1.78,-0.10,-0.04,-0.03,-39.14,Normal
1.23,-9.90,1.81,-0.11,-0.06,-0.01,-38.73,Normal
1.26,-9.94,1.89,-0.11,-0.03,-0.02,-39.72,Normal
1.18,-10.08,2.07,-0.11,-0.02,-0.03,-39.06,Normal
1.22,-9.96,1.81,-0.11,0.01,-0.02,-39.48,Normal
1.36,-10.04,2.03,-0.08,-0.00,-0.02,-39.31,Normal
1.12,-9.80,1.90,-0.12,0.01,0.00,-39.48,Normal
1.22,-9.87,1.92,-0.12,-0.02,-0.00,-39.64,Normal
1.23,-10.18,1.93,-0.10,-0.03,-0.01,-39.06,Normal
1.28,-10.09,2.13,-0.07,-0.04,-0.03,-39.55,Normal
1.25,-9.75,2.01,-0.08,-0.02,-0.02,-39.55,Normal
1.15,-9.79,2.01,-0.15,-0.03,-0.01,-39.64,Normal
1.19,-9.99,1.91,-0.12,-0.02,-0.02,-39.64,Normal
1.24,-10.09,1.98,-0.09,-0.04,-0.03,-39.64,Normal
1.26,-9.79,1.68,-0.08,-0.02,-0.03,-39.14,Normal
1.28,-9.75,1.97,-0.10,-0.03,-0.02,-39.55,Normal
1.31,-10.00,2.09,-0.16,-0.04,-0.01,-39.23,Normal
1.29,-9.97,1.87,-0.11,-0.02,-0.02,-39.72,Normal
1.17,-9.85,1.90,-0.12,-0.02,-0.01,-39.48,Normal
1.21,-9.95,1.93,-0.11,-0.01,-0.02,-39.14,Normal
1.29,-9.98,1.96,-0.12,-0.04,-0.02,-39.31,Normal
1.28,-9.92,1.99,-0.10,-0.02,-0.01,-39.64,Normal
1.26,-9.84,1.99,-0.13,-0.01,-0.01,-39.64,Normal
1.24,-9.89,1.96,-0.12,-0.01,-0.01,-38.97,Normal
1.19,-10.00,2.04,-0.12,-0.03,-0.02,-39.39,Normal
1.18,-9.99,2.04,-0.11,-0.03,-0.01,-39.31,Normal
1.25,-9.91,2.21,-0.12,-0.03,-0.01,-39.06,Normal
1.27,-9.98,2.28,-0.14,-0.00,0.00,-39.89,Normal
1.13,-9.77,2.06,-0.23,-0.00,0.04,-39.23,Normal
1.11,-10.11,2.26,-0.18,-0.00,0.02,-39.39,Normal
1.03,-9.72,2.10,-0.21,-0.05,0.02,-39.31,Normal
1.13,-9.85,1.90,-0.21,-0.08,0.01,-39.31,Normal
0.98,-9.81,1.92,-0.29,-0.10,0.03,-39.39,Normal
1.24,-10.04,1.88,-0.26,-0.14,0.01,-39.55,Normal
1.21,-9.85,1.79,-0.23,-0.13,0.02,-39.39,Normal
1.27,-9.86,1.86,-0.29,-0.12,0.05,-39.55,Normal
1.13,-9.87,1.79,-0.31,-0.05,0.09,-39.48,Normal
1.08,-10.06,1.77,-0.34,-0.07,0.12,-39.72,Normal
1.08,-9.91,1.56,-0.30,-0.04,0.15,-39.80,Normal
0.65,-9.71,1.30,-0.39,-0.06,0.14,-39.55,Normal
0.69,-10.20,1.36,-0.29,-0.10,0.15,-39.31,Normal
0.64,-9.78,1.00,-0.30,-0.22,0.14,-39.39,Normal
0.75,-9.98,1.10,-0.25,-0.24,0.10,-39.55,Normal
0.48,-9.73,0.63,-0.37,-0.20,0.12,-39.31,Normal
0.33,-9.84,0.74,-0.42,-0.19,0.14,-39.64,Normal
0.24,-9.62,0.55,-0.46,-0.20,0.16,-39.72,Normal
0.16,-9.66,0.34,-0.50,-0.22,0.18,-39.06,Normal
0.03,-9.60,0.18,-0.59,-0.19,0.19,-39.64,Normal
-0.17,-9.78,0.07,-0.60,-0.19,0.19,-39.39,Normal
-0.05,-9.85,-0.12,-0.62,-0.22,0.21,-39.55,Normal
-0.33,-9.19,-0.75,-0.58,-0.16,0.20,-39.55,Normal
-0.45,-9.70,-0.81,-0.73,-0.23,0.25,-39.80,Normal
-0.61,-9.13,-1.58,-0.60,-0.06,0.21,-39.48,Normal
-0.87,-9.27,-1.67,-0.66,-0.13,0.20,-39.64,Normal
-0.87,-9.16,-1.67,-0.55,-0.12,0.16,-39.97,Normal
-1.58,-8.76,-2.25,-0.61,-0.08,0.15,-39.48,Normal
-1.20,-9.34,-2.47,-0.47,-0.10,0.07,-39.64,Normal
-0.96,-9.00,-2.43,-0.54,-0.15,0.09,-39.80,Normal
-1.03,-8.96,-2.67,-0.58,-0.03,0.08,-39.39,Normal
-1.37,-9.00,-2.70,-0.49,0.07,0.07,-39.97,Normal
-1.56,-8.58,-3.08,-0.44,0.01,0.09,-39.80,Normal
-1.40,-8.86,-2.82,-0.47,-0.06,0.09,-39.48,Normal
-1.26,-7.79,-3.24,-0.40,-0.08,0.13,-39.64,Normal
-1.02,-8.12,-3.03,-0.51,0.07,0.17,-39.31,Normal
-1.56,-7.32,-3.46,-0.35,0.13,0.18,-39.64,Normal
-1.81,-7.82,-3.44,-0.47,-0.02,0.17,-39.14,Normal
-1.63,-8.30,-3.65,-0.23,-0.07,0.09,-39.80,Normal
-2.09,-8.02,-3.64,-0.21,-0.07,0.12,-39.39,Normal
-1.39,-7.49,-3.89,-0.27,0.33,0.12,-39.39,Normal
-1.70,-8.03,-3.48,-0.30,0.02,0.07,-39.64,Normal
-1.69,-7.97,-3.35,0.00,0.02,-0.02,-39.55,Normal
-1.18,-8.86,-3.91,0.28,-0.22,-0.13,-39.48,Normal
-2.98,-7.96,-3.89,0.23,-0.02,-0.04,-39.55,Normal
-0.95,-7.29,-4.00,-0.14,0.01,-0.08,-39.48,Normal
-0.75,-7.24,-3.20,-0.19,-0.16,-0.04,-39.48,Normal
-1.42,-7.31,-2.86,-0.37,0.03,0.02,-39.55,Normal
-2.34,-8.30,-3.39,-0.44,-0.17,0.08,-39.89,Normal
-2.12,-7.75,-3.73,-0.28,-0.01,0.06,-39.89,Normal
-1.42,-7.92,-3.42,-0.38,-0.32,-0.00,-39.55,Normal
-0.99,-7.29,-3.43,-0.34,0.02,0.00,-39.64,Normal
-1.90,-7.81,-3.79,-0.38,0.05,0.00,-39.39,Normal
-1.87,-7.80,-4.14,-0.52,0.08,-0.03,-38.97,Normal
-1.07,-7.50,-3.91,-0.40,0.01,-0.04,-39.80,Normal
-1.54,-7.06,-3.80,-0.45,0.08,0.03,-39.55,Normal
-1.55,-7.13,-4.16,-0.36,0.08,-0.01,-39.39,Normal
-1.67,-6.74,-4.35,-0.32,0.02,0.03,-39.80,Normal
-1.92,-6.81,-4.57,-0.30,-0.02,0.03,-39.48,Normal
-1.59,-7.05,-4.10,-0.26,-0.01,0.05,-39.64,Normal
-1.13,-6.80,-4.05,-0.25,0.01,0.05,-39.64,Normal
-1.05,-5.97,-2.80,-0.25,0.30,0.17,-39.89,Normal
-0.75,-5.27,-2.70,-0.03,0.02,-0.05,-39.80,Normal
-1.02,-5.17,-2.29,0.22,0.23,-0.19,-39.89,Normal
-0.64,-4.67,-1.39,0.56,-0.27,-0.30,-39.48,Normal
0.23,-3.98,-1.66,0.63,-0.13,-0.33,-39.89,Normal
0.75,-5.12,-2.14,0.33,-0.85,-0.24,-39.64,Normal
1.63,-12.08,-1.74,-2.03,-0.99,1.17,-39.80,Normal
