ax,ay,az,gx,gy,gz,Altitude,Activity
1.75,-9.62,0.30,-0.11,-0.03,-0.01,-23.54,Normal
1.73,-9.64,0.54,-0.11,-0.02,0.00,-24.28,Normal
1.76,-9.88,0.49,-0.10,-0.06,-0.02,-24.12,Normal
1.77,-9.65,0.49,-0.08,-0.03,-0.03,-23.87,Normal
1.73,-9.75,0.59,-0.10,-0.03,-0.03,-24.12,Normal
1.75,-9.65,0.49,-0.11,-0.03,-0.02,-24.20,Normal
1.86,-9.75,0.55,-0.12,-0.04,-0.02,-23.62,Normal
1.81,-9.72,0.55,-0.12,-0.03,-0.02,-24.20,Normal
1.79,-9.66,0.51,-0.13,-0.04,-0.02,-23.37,Normal
1.86,-9.71,0.66,-0.14,-0.05,-0.02,-23.95,Normal
1.80,-9.63,0.58,-0.14,-0.04,-0.01,-24.12,Normal
1.87,-9.65,0.56,-0.14,-0.06,-0.01,-23.54,Normal
1.87,-9.73,0.54,-0.13,-0.04,-0.01,-23.87,Normal
1.76,-9.82,0.63,-0.16,-0.08,-0.01,-24.12,Normal
1.70,-9.60,0.45,-0.10,-0.03,-0.01,-23.95,Normal
1.69,-9.71,0.45,-0.13,-0.01,-0.00,-24.12,Normal
1.77,-9.64,0.42,-0.12,-0.03,-0.01,-23.87,Normal
1.75,-9.71,0.47,-0.13,-0.04,-0.01,-24.03,Normal
1.72,-9.73,0.44,-0.11,-0.02,-0.01,-24.54,Normal
1.75,-9.68,0.45,-0.12,-0.04,-0.01,-23.87,Normal
1.59,-9.69,0.46,-0.14,-0.03,-0.01,-23.95,Normal
1.72,-9.69,0.35,-0.14,-0.04,-0.00,-24.28,Normal
1.62,-9.68,0.40,-0.15,-0.05,-0.01,-24.03,Normal
1.59,-9.84,0.47,-0.14,-0.06,-0.01,-23.95,Normal
1.47,-9.66,0.37,-0.13,-0.03,-0.00,-24.03,Normal
1.73,-9.83,0.41,-0.06,-0.03,-0.03,-24.37,Normal
1.66,-9.65,0.49,-0.08,-0.03,-0.04,-24.28,Normal
1.61,-9.73,0.39,-0.05,-0.02,-0.03,-23.87,Normal
1.59,-9.68,0.49,-0.10,-0.03,-0.03,-24.03,Normal
1.74,-9.80,0.63,-0.08,-0.03,-0.05,-23.87,Normal
1.66,-9.70,0.47,-0.05,-0.03,-0.06,-24.20,Normal
1.77,-9.69,0.49,-0.05,-0.02,-0.06,-23.95,Normal
1.74,-9.65,0.51,-0.06,-0.04,-0.07,-24.12,Normal
1.82,-9.75,0.60,-0.07,-0.04,-0.08,-23.95,Normal
1.76,-9.62,0.52,-0.08,-0.02,-0.09,-24.03,Normal
1.78,-9.64,0.39,-0.10,-0.01,-0.09,-23.95,Normal
1.89,-9.74,0.53,-0.04,-0.02,-0.12,-23.95,Normal
1.81,-9.61,0.42,-0.07,-0.06,-0.15,-23.95,Normal
1.95,-9.68,0.42,-0.04,-0.06,-0.17,-23.95,Normal
1.87,-9.66,0.40,-0.02,-0.06,-0.20,-23.54,Normal
2.02,-9.58,0.43,0.00,-0.07,-0.24,-23.95,Normal
1.88,-9.44,0.31,0.05,-0.07,-0.28,-23.54,Normal
1.96,-9.35,0.48,0.10,-0.09,-0.32,-23.87,Normal
1.76,-8.96,0.58,0.11,-0.09,-0.35,-23.87,Normal
2.10,-9.28,0.80,0.09,-0.14,-0.37,-23.54,Normal
1.89,-8.29,0.86,0.16,-0.12,-0.35,-23.95,Normal
2.20,-8.65,0.92,0.16,-0.11,-0.35,-24.12,Normal
2.00,-8.35,1.09,0.10,-0.17,-0.31,-24.28,Normal
2.75,-7.76,1.08,0.18,-0.06,-0.29,-24.20,Normal
2.55,-6.93,1.43,0.12,0.09,-0.23,-24.12,Normal
2.59,-6.83,1.53,0.17,0.15,-0.13,-24.12,Normal
2.35,-6.65,1.41,0.11,0.30,-0.04,-24.54,Normal
2.30,-7.50,1.43,0.06,0.28,0.04,-24.20,Normal
1.70,-5.94,1.23,0.09,0.40,0.10,-23.54,Normal
1.73,-4.85,0.91,0.11,0.31,0.11,-23.87,Normal
1.47,-5.62,0.56,0.27,0.34,-0.03,-23.95,Normal
1.73,-5.78,0.32,0.25,0.11,-0.09,-24.37,Normal
1.26,-6.21,0.74,0.15,0.47,0.01,-24.20,Normal
-1.30,-6.52,1.63,0.13,-0.46,-0.73,-24.54,Normal
-4.85,-16.32,-2.94,1.17,0.70,-1.73,-24.70,Normal
-0.45,-13.97,-0.41,3.88,-1.57,-4.37,-25.03,Normal
40.09,-49.02,24.44,0.70,-0.06,3.48,-24.95,Normal
-3.42,1.95,6.45,4.37,3.97,-1.79,-24.95,Normal
1.22,47.00,5.36,4.37,-2.37,-2.47,-24.62,Normal
1.24,-2.11,3.14,-4.37,1.54,-0.33,-24.78,Normal
5.98,-18.49,24.15,-0.77,-4.37,-1.02,-24.95,Normal
10.84,6.35,11.44,1.80,1.83,0.16,-24.70,Normal
5.59,-0.76,9.62,-0.63,0.06,0.29,-25.28,Normal
5.34,-3.77,10.43,-0.11,-0.43,0.50,-25.11,Normal
7.41,-2.79,9.52,-0.08,-0.09,0.32,-25.20,Normal
7.37,-6.04,8.92,-0.19,-0.12,0.06,-24.95,Normal
4.01,-2.90,9.18,-0.37,0.84,0.41,-25.03,Normal
3.46,-7.83,9.98,-0.40,-0.12,0.18,-24.45,Normal
6.08,-4.82,9.67,0.52,0.73,-0.01,-25.20,Normal
3.23,-2.28,10.91,0.47,0.70,0.09,-25.53,Normal
4.31,-2.75,9.91,-0.15,0.33,-0.01,-24.62,Normal
5.67,-7.94,9.57,-0.67,0.18,-0.26,-25.03,Normal
3.59,-3.72,11.15,0.03,-0.12,-0.18,-24.45,Normal
4.41,-1.46,11.32,-0.20,-0.06,-0.13,-24.86,Normal
4.97,-5.09,10.73,-0.12,0.28,-0.14,-24.62,Normal
3.13,-2.04,10.70,0.00,0.10,0.02,-24.62,Normal
4.65,-4.18,10.21,-0.24,-0.41,0.07,-24.62,Normal
5.10,-4.01,10.52,-0.12,-0.12,0.10,-25.03,Normal
4.58,-3.92,10.44,-0.11,-0.23,0.05,-24.54,Normal
5.05,-3.72,10.36,-0.11,-0.10,0.01,-25.45,Normal
5.04,-3.23,10.24,-0.08,0.01,-0.02,-24.78,Normal
5.00,-3.38,10.27,-0.10,-0.03,-0.07,-25.03,Normal
4.98,-3.43,10.46,-0.07,0.01,-0.08,-24.62,Normal
4.44,-3.67,10.66,-0.18,-0.01,-0.06,-24.86,Normal
4.53,-3.81,10.48,-0.17,-0.01,-0.03,-24.37,Normal
4.33,-3.71,10.54,-0.12,-0.09,0.00,-25.20,Normal
4.65,-3.59,10.42,-0.11,-0.07,0.02,-25.20,Normal
4.70,-3.50,10.23,-0.12,-0.05,0.01,-24.70,Normal
4.92,-3.76,10.40,-0.06,-0.07,-0.02,-25.28,Normal
4.87,-3.50,10.48,-0.11,-0.05,-0.03,-24.86,Normal
4.66,-3.61,10.54,-0.11,-0.03,-0.03,-24.78,Normal
4.73,-3.40,10.29,-0.14,0.00,-0.02,-25.45,Normal
4.53,-3.39,10.25,-0.15,0.03,-0.01,-25.11,Normal
4.70,-3.67,10.51,-0.11,-0.05,-0.02,-25.37,Normal
4.64,-3.51,10.52,-0.12,-0.04,-0.01,-24.78,Normal
4.73,-3.56,10.42,-0.10,-0.04,-0.01,-24.95,Normal
4.75,-3.56,10.49,-0.10,-0.04,-0.01,-25.28,Normal
4.65,-3.59,10.56,-0.13,-0.04,-0.01,-24.78,Normal
4.77,-3.53,10.46,-0.11,-0.03,-0.02,-24.54,Normal
4.75,-3.58,10.44,-0.10,-0.04,-0.02,-24.95,Normal
4.65,-3.58,10.64,-0.13,-0.04,-0.01,-25.11,Normal
4.69,-3.68,10.56,-0.08,-0.05,-0.01,-24.95,Normal
4.52,-3.66,10.53,-0.15,-0.03,-0.00,-24.37,Normal
4.80,-3.55,10.53,-0.11,-0.04,-0.01,-24.78,Normal
4.71,-3.56,10.52,-0.11,-0.04,-0.01,-25.20,Normal
4.70,-3.54,10.46,-0.12,-0.02,-0.01,-24.54,Normal
4.83,-3.46,10.34,-0.14,-0.04,-0.01,-24.70,Normal
4.72,-3.57,10.53,-0.12,-0.03,-0.01,-24.95,Normal
4.60,-3.52,10.52,-0.11,-0.03,-0.01,-24.70,Normal
4.69,-3.48,10.45,-0.11,-0.04,-0.01,-24.78,Normal
4.63,-3.55,10.46,-0.12,-0.05,-0.01,-24.86,Normal
4.77,-3.72,10.60,-0.09,-0.05,-0.01,-24.86,Normal
4.54,-3.67,10.56,-0.14,-0.04,-0.00,-25.20,Normal
4.59,-3.61,10.46,-0.12,-0.03,-0.01,-24.78,Normal
4.61,-3.54,10.58,-0.12,-0.04,-0.01,-25.03,Normal
4.73,-3.63,10.46,-0.12,-0.03,-0.01,-24.70,Normal
4.65,-3.60,10.49,-0.14,-0.04,-0.01,-24.62,Normal
4.64,-3.58,10.57,-0.13,-0.03,-0.01,-24.86,Normal
4.64,-3.70,10.48,-0.11,-0.03,-0.01,-24.86,Normal
4.69,-3.63,10.57,-0.10,-0.06,-0.03,-24.86,Normal
4.64,-3.61,10.49,-0.12,-0.03,-0.02,-24.95,Normal
4.51,-3.50,10.53,-0.19,-0.01,-0.02,-25.20,Normal
4.73,-3.52,10.13,-0.13,-0.02,-0.03,-25.20,Normal
4.75,-3.72,10.50,-0.12,-0.02,-0.04,-24.86,Normal
4.79,-3.56,10.47,-0.12,-0.01,-0.03,-24.86,Normal
4.52,-3.54,10.52,-0.11,-0.04,-0.03,-25.03,Normal
4.60,-3.56,10.46,-0.11,-0.01,-0.04,-24.78,Normal
4.64,-3.52,10.39,-0.11,-0.02,-0.02,-25.37,Normal
4.73,-3.53,10.62,-0.11,-0.03,-0.01,-24.95,Normal
4.51,-3.47,10.47,-0.09,-0.01,-0.01,-24.86,Normal
4.64,-3.67,10.40,-0.11,-0.05,-0.02,-24.86,Normal
4.68,-3.50,10.69,-0.10,-0.22,-0.07,-25.03,Normal
4.69,-3.54,10.37,-0.15,-0.12,-0.02,-24.95,Normal
4.58,-3.38,10.66,-0.14,0.04,0.01,-24.86,Normal
4.47,-3.39,10.32,-0.17,0.04,-0.00,-24.62,Normal
4.90,-3.62,10.42,-0.09,-0.01,-0.01,-24.62,Normal
4.77,-3.51,10.42,-0.12,-0.04,-0.01,-24.95,Normal
4.71,-3.52,10.47,-0.10,0.01,-0.02,-24.86,Normal
4.49,-3.62,10.46,-0.12,0.02,-0.02,-24.78,Normal
4.58,-3.59,10.62,-0.14,-0.04,-0.01,-24.62,Normal
4.64,-3.52,10.62,-0.10,-0.01,-0.01,-25.11,Normal
4.55,-3.47,10.58,-0.12,-0.01,-0.01,-25.11,Normal
4.63,-3.46,10.47,-0.15,0.01,-0.01,-24.62,Normal
4.52,-3.64,10.49,-0.11,0.03,-0.03,-24.95,Normal
4.63,-3.52,10.50,-0.11,0.04,-0.04,-24.45,Normal
4.47,-3.47,10.64,-0.11,0.02,-0.04,-25.11,Normal
4.56,-3.40,10.68,-0.13,0.04,-0.04,-24.62,Normal
4.47,-3.29,10.38,-0.14,0.06,-0.01,-24.62,Normal
4.53,-3.54,10.56,-0.12,0.00,-0.02,-24.70,Normal
4.34,-3.47,10.74,-0.11,-0.01,-0.01,-24.62,Normal
4.33,-3.46,10.67,-0.11,-0.02,-0.00,-24.54,Normal
4.28,-3.41,10.55,-0.14,-0.02,0.00,-24.62,Normal
4.21,-3.52,10.62,-0.13,-0.04,-0.01,-24.37,Normal
4.50,-3.62,10.69,-0.13,-0.06,-0.00,-24.78,Normal
4.36,-3.40,10.74,-0.13,-0.06,-0.02,-24.78,Normal
4.47,-3.49,10.60,-0.12,-0.05,-0.03,-25.11,Normal
4.51,-3.51,10.66,-0.10,-0.04,-0.02,-24.54,Normal
4.51,-3.55,10.63,-0.11,-0.03,-0.02,-24.28,Normal
4.36,-3.34,10.85,-0.16,-0.10,-0.03,-24.45,Normal
4.63,-3.56,10.48,-0.27,-0.20,-0.03,-24.70,Normal
4.26,-3.32,10.78,0.11,0.14,-0.03,-25.03,Normal
4.59,-3.39,11.07,-0.00,0.03,-0.02,-24.54,Normal
4.19,-3.31,10.77,-0.08,0.04,-0.01,-25.03,Normal
4.43,-3.40,10.62,-0.10,0.02,-0.01,-24.70,Normal
4.36,-3.83,10.67,0.10,0.08,-0.03,-24.95,Normal
4.48,-3.17,11.09,0.03,0.18,0.01,-24.62,Normal
3.80,-3.28,10.93,-0.10,0.03,-0.01,-25.03,Normal
4.27,-3.21,10.98,-0.00,0.08,-0.01,-25.11,Normal
3.98,-3.17,11.07,-0.20,-0.11,-0.01,-25.11,Normal
4.66,-3.55,10.47,-0.17,-0.14,-0.02,-24.70,Normal
4.25,-3.24,10.64,-0.19,-0.13,-0.01,-25.03,Normal
4.28,-3.31,10.93,-0.03,-0.09,-0.04,-25.11,Normal
4.03,-3.07,10.80,0.03,-0.14,-0.07,-24.78,Normal
4.40,-3.19,10.71,0.11,-0.15,-0.11,-24.78,Normal
4.47,-3.32,10.72,0.21,-0.06,-0.12,-24.70,Normal
4.68,-2.83,11.00,0.09,-0.06,-0.11,-24.95,Normal
4.52,-2.80,10.60,-0.13,-0.08,-0.05,-24.54,Normal
4.36,-2.77,11.03,-0.12,-0.00,-0.02,-24.86,Normal
4.46,-2.78,10.91,-0.12,0.04,-0.05,-25.03,Normal
4.58,-2.58,10.88,-0.06,0.04,-0.03,-24.37,Normal
4.89,-2.74,10.88,-0.16,0.19,0.09,-24.86,Normal
2.73,-3.62,12.09,-0.05,0.20,0.05,-24.70,Normal
4.24,-3.30,11.42,-0.07,0.20,0.04,-24.95,Normal
3.71,-2.85,11.12,-0.05,0.24,0.08,-24.95,Normal
3.48,-2.65,11.34,-0.07,0.13,0.05,-24.95,Normal
3.57,-2.78,11.20,-0.10,0.08,0.01,-24.78,Normal
4.02,-3.43,9.06,-0.08,
