ax,ay,az,gx,gy,gz,Altitude,Activity
0.27,-10.02,1.92,-0.11,-0.13,-0.03,-38.97,Normal
0.27,-9.89,1.89,-0.11,-0.12,-0.03,-38.89,Normal
0.30,-9.93,1.92,-0.14,-0.12,-0.03,-38.89,Normal
0.37,-9.98,2.01,-0.13,-0.09,-0.02,-38.97,Normal
0.29,-9.96,1.92,-0.13,-0.06,-0.02,-38.81,Normal
0.31,-9.93,1.92,-0.14,-0.05,-0.02,-38.81,Normal
0.30,-9.99,1.91,-0.14,
0.31,-9.90,1.79,-0.14,-0.03,-0.02,-39.06,Normal
0.26,-9.95,2.03,-0.16,-0.03,-0.01,-39.23,Normal
0.20,-9.95,1.86,-0.15,-0.04,0.00,-38.89,Normal
0.22,-9.93,1.91,-0.13,-0.04,-0.02,-39.06,Normal
0.09,-9.96,1.88,-0.14,-0.04,-0.02,-38.97,Normal
0.19,-9.90,1.84,-0.11,-0.04,-0.03,-39.23,Normal
0.15,-9.94,1.89,-0.13,-0.04,-0.03,-38.97,Normal
0.18,-9.96,1.92,-0.14,-0.03,-0.04,-39.23,Normal
0.12,-9.92,1.90,-0.13,-0.04,-0.05,-38.89,Normal
0.18,-10.00,1.95,-0.14,-0.05,-0.06,-39.06,Normal
0.24,-9.92,1.91,-0.13,-0.06,-0.06,-39.14,Normal
0.29,-10.04,1.91,-0.12,-0.05,-0.07,-38.89,Normal
,-0.02,-0.05,-39.14,Normal
0.45,-9.77,1.84,-0.10,0.57,-10.10,1.88,-0.12,0.02,-0.04,-39.14,Normal
0.00,-0.01,-39.31,Normal
0.55,-9.97,1.81,-0.09,
0.50,-9.93,1.79,-0.09,-0.03,-0.01,-39.31,Normal0.53,-10.03,1.87,-0.13,-0.03,-0.02,-38.89,Normal
0.54,-9.85,1.89,-0.14,-0.02,-0.02,-38.89,Normal
0.43,-10.01,1.85,-0.16,-0.03,-0.02,-39.23,Normal0.45,-9.96,1.86,-0.15,-0.04,-0.02,-39.39,Normal
0.33,-9.97,1.79,-0.17,-0.05,-0.02,-39.39,Normal
-0.07,-0.02,-39.23,Normal0.18,-9.82,1.83,-0.14,-0.04,-0.04,-38.89,Normal
-0.25,-9.90,1.58,-0.07,-0.09,-0.06,-39.48,Normal
-0.43,-9.89,1.04,-0.10,-0.16,-0.09,-39.06,Normal
-0.95,-9.71,0.52,0.08,-0.10,-0.13,-39.14,Normal
0.07,-9.53,0.48,0.17,-0.04,-0.12,-39.23,Normal
2.09,-7.23,1.422.51,-11.77,-0.01,0.03,1.06,0.29,-39.64,Normal
4.22,-12.67,2.04,0.65,1.07,0.53,-39.89,Normal
0.37,-11.27,-1.36,1.77,1.21,0.89,-39.39,Normal
-1.05,-7.13,1.30,0.24,0.69,1.72,-39.39,Normal
-1.34,-3.30,7.05,0.34,2.05,1.95,-39.89,Normal
1.15,3.13,2.67,1.85,-0.29,1.15,-39.64,Normal
0.24,-0.41,1.82,-0.75,-0.12,1.24,-39.39,Normal
2.29,-2.48,0.30,-0.57,0.81,1.39,-39.72,Normal
-5.68,-6.97,-1.45,0.12,2.34,2.20,-39.31,Normal
-8.18,-0.76,0.05,1.07,1.14,2.31,-39.31,Normal
-10.63,-7.95,-2.34,0.34,-0.40,1.13,-39.55,Normal
-12.24,-22.97,-6.30,-4.37,-1.31,-4.37,-39.97,Normal
-15.33,-6.88,7.64,2.19,-0.44,-2.28,-39.80,Normal
5.06,-2.00,-3.09,-1.35,-1.98,-0.87,-40.22,Normal
-5.16,-6.79,1.00,-0.15,0.27,-0.85,-40.30,Normal
-6.46,-26.86,-5.86,4.3l
1.36,11.14,4.74,4.37,-4.37,-1.77,-40.47,Normal
5.78,13.45,13.34,-0.47,0.65,-0.07,-40.22,Normal
-7.98,11.17,26.63,4.37,-3.42,0.13,-40.72,Normal
16.01,7.37,10.18,1.68,-2.12,-0.70,-39.89,Normal
4.84,4.06,7.95,0.80,0.3.41,3.83,10.79,-0.03,-1.04,-1.13,-40.22,Normal
4.68,3.06,9.94,-0.29,-0.73,-0.45,-40.30,Normal
3.85,2.19,11.39,-0.22,-0.63,-0.42,-40.55,Normal
5.22,2.83,10.17,-0.06,-0.55,-0.22,-40.14,Normal
5.88,3.70,9.47,-0.07,0.10,-0.21,-40.14,Normal
3.30,4.68,11.17,-0.34,0.26,-0.05,-40.38,Normal
4.22,3.38,10.94,-0.48,0.34,0.35,-40.80,Normal
4.48,1.45,11.67,-0.19,0.09,0.12,-40.14,Normal
3.09,0.75,10.47,-0.38,0.46,-0.50,-40.14,Normal
3.23,4.62,12.19,-0.03,-0.37,-0.06,-40.14,Normal
4.09,2.35,11.17,-0.84,0.38,-0.29,-39.89,Normal
1.88,-1.16,12.42,-0.55,0.11,-0.03,-40.55,Normal
2.26,-0.01,12.31,-0.28,-0.04,-0.08,-40.38,Normal
4.97,-3.44,11.81,-0.79,-0.08,-0.13,-40.14,Normal
0.89,-0.65,13.13,0.36,-0.01,0.29,-40.72,Normal
2.85,2.39,11.75,-0.14,-0.03,0.26,-40.88,Normal
4.20,0.94,11.25,0.02,0.05,0.08,-40.38,Normal
3.30,2.43,11.14,0.14,-0.08,0.04,-40.30,Normal
3.62,2.76,11.54,0.12,-0.11,0.02,-40.80,Normal
3.03,2.07,11.49,-0.03,-0.01,0.05,-40.64,Normal
3.25,1.45,11.77,-0.08,0.01,0.04,-40.55,Normal
3.31,1.37,11.53,-0.14,0.02,-0.01,-40.64,Normal
3.51,0.88,11.58,-0.12,0.03,-0.09,-40.22,Normal
3.19,1.16,11.68,-0.07,0.02,-0.12,-40.30,Normal
2.78,1.46,11.85,-0.07,0.03,-0.11,-40.38,Normal
2.80,1.82,11.87,-0.10,0.04,-0.08,-40.47,Normal
3.07,2.09,11.42,-0.16,0.05,-0.05,-40.05,Normal
3.18,1.73,11.31,-0.14,-0.02,-0.05,-40.14,Normal
3.21,1.64,11.58,-0.13,-0.04,-0.02,-40.72,Normal
2.91,1.42,11.63,-0.11,-0.05,0.02,-40.72,Normal
2.85,1.53,11.73,-0.09,-0.03,0.04,-40.05,Normal
2.76,1.49,11.86,-0.08,-0.05,0.03,-40.38,Normal
3.05,1.62,11.56,-0.10,-0.00,0.02,-40.47,Normal
3.16,1.63,11.39,-0.13,-0.00,0.00,-40.55,Normal
3.25,1.99,11.53,-0.15,-0.03,-0.02,-40.30,Normal
3.13,1.79,11.86,-0.10,-0.07,-0.04,-40.88,Normal
2.83,1.52,11.65,-0.12,-0.07,-0.03,-40.47,Normal
3.00,1.60,11.51,-0.09,-0.01,-0.04,-40.30,Normal
2.91,1.79,11.56,-0.12,-0.03,-0.03,-40.55,Normal
2.91,1.75,11.69,-0.10,-0.04,-0.02,-40.64,Normal
3.10,1.79,11.58,-0.11,-0.05,-0.01,-40.72,Normal
3.06,1.51,11.56,-0.11,-0.04,0.00,-40.72,Normal
2.77,1.69,11.68,-0.14,-0.05,0.00,-40.64,Normal
2.80,1.72,11.59,-0.12,-0.01,-0.02,-40.30,Normal
3.09,1.77,11.73,-0.11,-0.01,-0.02,-40.38,Normal
3.11,1.68,11.61,-0.11,-0.05,-0.04,-39.89,Normal
2.98,1.65,11.47,-0.20,-0.02,-0.01,-40.47,Normal
3.03,1.49,11.57,-0.15,-0.02,-0.02,-40.14,Normal
2.86,1.83,11.70,-0.12,-0.05,-0.02,-40.38,Normal
2.79,1.70,11.60,-0.12,-0.02,-0.01,-40.47,Normal
3.01,1.76,11.63,-0.13,-0.02,-0.01,-40.38,Normal
2.96,1.80,11.67,-0.11,-0.03,-0.01,-40.80,Normal
2.96,1.53,11.58,-0.12,-0.01,-0.02,-40.97,Normal
2.98,1.69,11.49,-0.14,-0.03,-0.02,-40.38,Normal
3.07,1.62,11.74,-0.09,-0.02,-0.02,-40.64,Normal
2.90,1.70,11.43,-0.21,-0.01,-0.00,-40.38,Normal
2.83,1.81,11.50,-0.13,0.00,-0.02,-40.72,Normal
2.92,1.73,11.62,-0.16,-0.05,-0.02,-40.38,Normal
2.89,1.56,11.50,-0.16,-0.03,-0.02,-40.38,Normal
3.01,1.54,11.65,-0.12,-0.02,-0.01,-40.64,Normal
3.04,1.73,11.67,-0.14,-0.05,0.01,-40.80,Normal
2.82,1.62,11.59,-0.17,-0.02,0.03,-40.22,Normal
2.96,1.91,11.73,-0.17,-0.03,0.02,-40.38,Normal
2.81,1.46,11.65,-0.20,-0.02,-0.00,-39.89,Normal
2.94,1.64,11.62,-0.16,-0.05,-0.02,-40.38,Normal
2.71,1.51,11.65,-0.16,-0.03,-0.04,-40.22,Normal
2.97,1.55,11.69,-0.16,-0.04,-0.03,-40.38,Normal
2.95,1.45,11.77,-0.13,-0.04,-0.02,-40.30,Normal
2.99,1.57,11.65,-0.12,-0.04,-0.02,-40.05,Normal
2.93,1.44,11.61,-0.12,-0.04,-0.01,-40.30,Normal
2.83,1.47,11.65,-0.13,-0.03,-0.01,-40.14,Normal
2.78,1.84,11.69,-0.11,-0.04,-0.02,-40.47,Normal
2.89,1.49,11.50,-0.15,-0.06,-0.01,-40.14,Normal
2.81,1.21,11.74,-0.12,-0.03,-0.02,-40.55,Normal
2.78,1.30,11.68,-0.17,-0.01,-0.01,-40.14,Normal
2.83,1.36,11.93,-0.08,-0.06,-0.03,-40.05,Normal
2.92,1.78,11.93,-0.05,-0.08,-0.03,-40.22,Normal
2.81,1.51,11.64,-0.00,-0.05,-0.04,-40.14,Normal
3.24,1.52,11.01,0.02,-0.11,-0.03,-40.14,Normal
2.70,1.36,11.13,-0.44,0.10,0.02,-39.97,Normal
3.06,1.74,11.65,-0.10,-0.05,-0.02,-40.64,Normal
2.71,1.88,11.92,0.10,-0.21,-0.07,-40.38,Normal
2.87,1.80,11.44,0.02,-0.10,-0.08,-39.89,Normal
