ax,ay,az,gx,gy,gz,Altitude,Activity
6.32,-6.90,6.14,-0.15,-0.05,-0.01,-62.84,Normal
6.27,-6.90,6.20,-0.13,-0.08,-0.03,-62.84,Normal
6.43,-7.17,6.11,-0.08,-0.04,-0.04,-62.92,Normal
6.29,-6.83,5.97,-0.23,-0.02,0.02,-63.17,Normal
6.20,-6.56,6.02,-0.03,-0.03,-0.03,-63.34,Normal
6.38,-7.54,6.18,-0.14,-0.02,0.02,-63.25,Normal
6.17,-6.78,5.96,-0.15,-0.03,-0.01,-63.25,Normal
6.21,-6.80,6.19,-0.09,-0.05,-0.02,-63.34,Normal
6.24,-7.26,6.14,-0.15,-0.01,0.01,-63.34,Normal
6.08,-6.64,6.11,-0.14,-0.03,-0.01,-63.75,Normal
6.41,-7.16,6.01,-0.10,-0.04,-0.01,-63.17,Normal
6.27,-7.21,6.04,-0.10,-0.02,-0.02,-62.59,Normal
6.22,-6.89,6.00,-0.12,-0.03,-0.02,-63.00,Normal
6.38,-7.13,6.23,-0.09,-0.02,-0.02,-63.50,Normal
6.20,-7.03,5.96,-0.09,0.02,-0.01,-63.25,Normal
6.27,-6.89,6.03,-0.09,0.02,-0.02,-63.00,Normal
6.31,-7.19,6.03,-0.06,0.07,-0.01,-63.25,Normal
6.13,-6.89,5.96,-0.01,0.10,-0.04,-63.41,Normal
6.26,-6.93,6.22,0.01,0.13,-0.04,-62.92,Normal
6.52,-7.08,6.49,0.01,0.19,-0.02,-63.09,Normal
6.06,-6.67,6.42,.0,0.24,0.02,-63.34,Normal
6.08,-6.90,6.79,0.05,0.27,0.01,-63.17,Normal
6.02,-6.72,6.82,-0.05,0.32,0.07,-63.58,Normal
5.90,-6.53,7.03,0.03,0.36,0.04,-63.09,Normal
6.04,-6.85,7.26,-0.12,0.41,0.10,-63.17,Normal
5.45,-7.00,7.06,0.03,0.42,0.14,-63.17,Normal
5.83,-6.70,7.19,0.07,0.48,0.15,-63.41,Normal
4.91,-6.67,7.36,-0.03,0.52,0.20,-63.00,Normal
4.87,-6.90,7.85,0.10,0.46,0.10,-63.34,Normal
4.66,-7.34,8.31,0.08,0.40,0.07,-63.09,Normal
3.96,-6.34,8.59,0.04,0.29,0.05,-63.58,Normal
4.41,-7.75,8.53,0.09,0.20,0.00,-63.75,Normal
3.83,-6.00,8.54,-0.03,0.19,0.03,-63.41,Normal
4.24,-7.31,8.39,0.07,0.16,-0.06,-63.17,Normal
3.92,-6.92,8.56,0.09,0.10,-0.07,-63.17,Normal
4.30,-6.03,8.72,0.26,0.12,-0.12,-63.17,Normal
4.22,-6.75,8.95,0.11,0.11,-0.10,-63.66,Normal
4.30,-5.32,8.95,0.13,0.16,-0.13,-63.50,Normal
4.53,-6.11,9.23,-0.08,0.24,-0.08,-63.50,Normal
3.97,-5.78,9.05,-0.01,0.21,-0.09,-63.66,Normal
4.00,-6.31,9.34,-0.06,0.15,-0.03,-63.41,Normal
3.80,-5.98,9.35,0.08,0.19,-0.05,-63.66,Normal
3.87,-6.21,9.47,0.08,0.14,-0.03,-63.50,Normal
3.32,-5.48,9.93,0.04,0.11,0.03,-63.58,Normal
3.85,-5.89,9.24,0.03,0.02,0.05,-63.41,Normal
3.74,-5.86,9.96,0.03,0.03,0.05,-63.66,Normal
4.01,-5.57,9.50,0.09,0.02,0.01,-63.41,Normal
3.80,-5.63,9.91,-0.01,0.01,-0.01,-63.41,Normal
3.62,-5.45,9.83,0.03,0.06,0.01,-63.58,Normal
3.55,-5.51,9.85,0.00,-0.02,0.03,-63.34,Normal
3.65,-5.56,9.95,-0.02,-0.00,0.02,-63.41,Normal
3.58,-5.33,9.77,-0.04,-0.03,0.01,-63.00,Normal
3.54,-5.29,9.95,-0.07,0.04,0.01,-63.50,Normal
3.58,-5.53,9.88,-0.11,0.00,-0.01,-63.00,Normal
3.54,-5.39,9.96,-0.10,-0.01,-0.02,-63.34,Normal
3.42,-5.30,10.06,-0.10,0.02,-0.02,-63.17,Normal
3.43,-5.38,10.00,-0.12,-0.02,-0.04,-63.66,Normal
3.44,-5.32,9.96,-0.12,-0.00,-0.03,-63.34,Normal
3.58,-5.57,10.04,-0.13,-0.03,-0.03,-63.34,Normal
3.53,-5.56,9.89,-0.11,-0.00,-0.03,-63.25,Normal
3.59,-5.34,10.04,-0.12,-0.02,-0.03,-63.50,Normal
3.45,-5.46,9.98,-0.11,-0.02,-0.01,-63.41,Normal
3.35,-5.39,10.30,-0.10,0.01,0.02,-63.34,Normal
3.24,-5.27,10.26,-0.07,0.02,0.01,-63.50,Normal
3.26,-5.29,10.34,-0.10,0.02,0.03,-63.50,Normal
3.52,-5.55,10.21,-0.13,0.06,0.04,-63.41,Normal
3.70,-5.30,9.93,-0.10,0.07,0.02,-64.08,Normal
3.73,-5.66,9.84,-0.09,0.12,-0.02,-63.50,Normal
3.89,-5.53,9.99,-0.01,0.10,-0.06,-63.50,Normal
3.28,-5.85,10.27,0.06,0.19,-0.05,-63.17,Normal
3.29,-5.34,10.42,0.13,0.26,0.04,-63.34,Normal
2.94,-4.98,10.81,0.19,0.34,0.11,-63.50,Normal
2.34,-4.70,10.78,0.13,0.37,0.14,-63.50,Normal
2.10,-4.85,11.36,0.08,0.41,0.21,-63.34,Normal
2.00,-4.99,10.98,0.15,0.47,0.28,-63.25,Normal
1.99,-5.00,11.14,0.19,0.41,0.30,-63.25,Normal
1.55,-4.86,11.09,0.48,0.47,0.41,-63.58,Normal
1.43,-5.03,11.53,0.74,0.77,0.56,-63.09,Normal
-0.27,-2.89,11.73,0.80,0.98,0.38,-63.25,Normal
-0.88,-2.01,10.59,0.51,1.13,0.43,-63.25,Normal
-1.58,-0.88,10.44,0.00,0.80,0.42,-63.25,Normal
-1.63,-2.30,10.07,-0.51,0.55,0.51,-63.25,Normal
-0.95,-2.09,10.88,-0.98,0.06,0.13,-63.09,Normal
-0.01,-3.55,10.43,-1.21,-0.22,-0.28,-63.17,Normal
-0.61,-4.85,12.63,-1.19,-0.37,-0.58,-63.34,Normal
0.53,-6.76,12.63,-0.95,-0.02,-0.20,-63.50,Normal
0.45,-8.11,10.95,-0.78,0.54,-0.27,-63.09,Normal
-0.12,-6.55,9.99,-0.78,0.85,-0.10,-63.50,Normal
-0.96,-5.96,9.22,-0.86,0.96,0.12,-63.25,Normal
-1.50,-6.70,9.82,-0.72,0.85,0.08,-63.09,Normal
-2.41,-6.73,9.54,-0.50,0.63,0.02,-63.00,Normal
-2.60,-5.65,9.62,-0.32,0.61,0.03,-63.09,Normal
-3.34,-6.22,9.02,-0.46,0.63,0.10,-63.34,Normal
-3.82,-6.29,8.53,-0.57,0.61,0.15,-62.92,Normal
-4.33,-6.52,8.07,-0.58,0.47,0.15,-63.34,Normal
-4.18,-6.78,7.51,-0.68,0.25,0.17,-63.09,Normal
-3.85,-7.81,7.47,-0.60,0.17,0.10,-63.50,Normal
-3.74,-7.59,7.91,-0.41,0.14,0.07,-63.34,Normal
-3.84,-7.05,7.98,-0.38,0.10,0.09,-63.50,Normal
-3.68,-7.01,7.95,-0.51,0.11,0.13,-63.41,Normal
