ax,ay,az,gx,gy,gz,Altitude,Activity
0.38,-10.11,1.25,-0.14,-0.05,-0.02,-23.45,Normal
0.23,-9.73,1.11,-0.13,-0.01,-0.01,-24.28,Normal
0.28,-10.06,1.26,-0.10,-0.01,-0.02,-23.95,Normal
0.29,-9.91,1.22,-0.12,-0.03,-0.01,-23.87,Normal
0.31,-9.95,1.36,-0.12,-0.02,-0.01,-23.87,Normal
0.26,-9.87,1.19,-0.11,-0.03,-0.01,-23.62,Normal
0.27,-9.92,1.25,-0.11,-0.03,-0.01,-23.54,Normal
0.25,-9.84,1.27,-0.11,-0.03,-0.00,-24.12,Normal
0.29,-9.74,1.11,-0.13,0.01,0.00,-24.20,Normal
0.24,-10.05,1.11,-0.12,0.03,0.01,-24.12,Normal
0.34,-10.15,1.33,-0.12,-0.05,-0.02,-23.87,Normal
0.13,-9.85,1.13,-0.12,-0.03,-0.02,-23.62,Normal
0.28,-9.98,1.27,-0.09,-0.02,-0.02,-24.20,Normal
0.18,-9.90,1.33,-0.11,-0.05,-0.03,-23.45,Normal
0.24,-9.95,1.24,-0.12,-0.03,-0.03,-23.87,Normal
0.26,-9.90,1.30,-0.12,-0.04,-0.04,-23.37,Normal
0.27,-9.88,1.34,-0.11,-0.05,-0.04,-23.62,Normal
0.24,-9.91,1.32,-0.12,-0.05,-0.04,-23.87,Normal
0.30,-9.92,1.36,-0.12,-0.08,-0.05,-24.45,Normal
0.37,-10.01,1.38,-0.16,-0.06,-0.03,-23.87,Normal
0.24,-9.99,1.36,-0.14,-0.05,-0.02,-24.20,Normal
0.35,-9.88,1.13,-0.08,-0.01,-0.02,-24.20,Normal
0.18,-9.91,1.24,-0.14,-0.02,-0.02,-23.87,Normal
0.17,-9.91,1.28,-0.09,-0.00,-0.01,-24.12,Normal
0.34,-9.90,1.38,-0.14,-0.02,-0.01,-23.95,Normal
0.24,-9.96,1.30,-0.13,-0.04,-0.01,-23.62,Normal
0.19,-9.87,1.31,-0.13,-0.05,-0.01,-23.62,Normal
0.27,-9.95,1.28,-0.14,-0.07,-0.03,-23.45,Normal
0.24,-9.84,1.21,-0.13,-0.08,-0.04,-24.03,Normal
0.07,-9.97,1.43,-0.13,-0.08,-0.05,-24.03,Normal
0.12,-10.06,1.46,-0.15,-0.07,-0.04,-24.03,Normal
0.34,-9.94,1.20,-0.07,-0.06,-0.06,-24.28,Normal
0.27,-9.78,1.21,-0.19,-0.07,-0.04,-24.03,Normal
0.39,-9.95,1.25,-0.12,-0.07,-0.04,-24.03,Normal
0.34,-9.93,1.24,-0.16,-0.09,-0.03,-24.03,Normal
0.38,-9.89,1.24,-0.13,-0.08,-0.03,-24.12,Normal
0.35,-9.86,1.22,-0.16,-0.08,-0.02,-23.87,Normal
0.39,-9.86,1.10,-0.17,-0.07,-0.02,-23.62,Normal
0.36,-9.89,1.15,-0.16,-0.07,-0.01,-24.28,Normal
0.49,-9.79,0.90,-0.17,-0.06,-0.01,-24.12,Normal
0.32,-9.96,1.05,-0.20,-0.02,0.01,-24.03,Normal
0.35,-9.91,1.06,-0.14,-0.14,-0.04,-24.37,Normal
0.26,-9.79,0.93,-0.13,-0.14,-0.07,-23.20,Normal
0.27,-10.04,1.10,-0.14,-0.18,-0.08,-24.20,Normal
0.37,-9.87,1.09,-0.12,-0.14,-0.08,-24.28,Normal
0.54,-9.94,1.07,-0.16,-0.16,-0.07,-23.20,Normal
0.54,-9.94,1.04,-0.13,-0.08,-0.05,-23.62,Normal
0.49,-9.87,1.09,-0.15,-0.08,-0.04,-24.12,Normal
0.52,-9.90,1.01,-0.16,-0.07,-0.03,-23.54,Normal
0.56,-9.95,1.13,-0.14,-0.07,-0.03,-23.20,Normal
0.51,-9.84,1.14,-0.17,-0.05,-0.02,-24.28,Normal
0.43,-9.83,1.05,-0.14,-0.04,-0.01,-24.03,Normal
0.61,-9.92,0.98,-0.13,-0.03,-0.02,-23.62,Normal
0.50,-9.87,0.84,-0.16,-0.03,-0.02,-24.03,Normal
0.46,-9.95,0.90,-0.15,-0.02,-0.02,-24.28,Normal
0.47,-9.84,0.91,-0.15,-0.03,-0.02,-23.62,Normal
0.43,-9.92,0.96,-0.13,-0.02,-0.02,-24.12,Normal
0.53,-9.93,1.01,-0.14,-0.02,-0.02,-24.03,Normal
0.49,-9.92,0.93,-0.11,-0.01,-0.02,-23.62,Normal
0.53,-9.92,0.95,-0.12,-0.04,-0.02,-23.45,Normal
0.53,-9.96,1.04,-0.12,-0.05,-0.02,-24.03,Normal
0.27,-9.85,1.00,-0.09,-0.03,-0.01,-23.95,Normal
0.57,-9.97,1.02,-0.08,-0.06,-0.03,-23.95,Normal
0.44,-9.77,0.87,-0.11,-0.04,-0.01,-24.03,Normal
0.54,-9.87,0.93,-0.11,-0.04,-0.01,-24.20,Normal
0.50,-9.84,0.88,-0.11,-0.06,-0.02,-24.03,Normal
0.47,-9.88,1.02,-0.12,-0.04,-0.02,-24.03,Normal
0.42,-9.91,0.97,-0.14,-0.05,-0.01,-24.03,Normal
0.55,-9.86,1.02,-0.12,-0.05,-0.02,-24.54,Normal
0.50,-9.86,0.99,-0.13,-0.05,-0.02,-24.54,Normal
0.50,-9.84,1.09,-0.15,-0.04,-0.02,-23.62,Normal
0.36,-9.94,0.98,-0.13,0.00,-0.00,-23.87,Normal
0.53,-10.02,0.92,-0.09,-0.05,-0.02,-24.28,Normal
0.49,-9.75,0.98,-0.14,-0.02,-0.02,-24.03,Normal
0.44,-9.84,0.93,-0.11,-0.04,-0.03,-23.62,Normal
0.48,-9.86,0.99,-0.13,-0.06,-0.03,-23.87,Normal
0.56,-9.92,1.14,-0.12,-0.03,-0.03,-24.37,Normal
0.53,-9.86,1.08,-0.14,-0.03,-0.02,-24.03,Normal
0.46,-9.77,1.12,-0.15,-0.05,-0.02,-23.54,Normal
0.51,-9.93,1.14,-0.16,-0.05,-0.01,-23.87,Normal
0.50,-9.80,1.25,-0.20,-0.06,-0.00,-23.95,Normal
