ax,ay,az,gx,gy,gz,Altitude,Activity
1.34,-9.95,1.58,-0.11,-0.06,-0.05,-24.12,Normal
1.31,-9.93,1.66,-0.11,-0.07,-0.04,-24.45,Normal
1.32,-9.88,1.57,-0.11,-0.06,-0.03,-24.20,Normal
1.47,-10.03,1.69,-0.10,-0.05,-0.03,-23.62,Normal
1.43,-9.70,1.48,-0.11,-0.03,-0.02,-24.28,Normal
1.41,-9.95,1.66,-0.07,-0.03,-0.02,-23.95,Normal
1.41,-9.97,1.63,-0.10,-0.04,-0.01,-24.45,Normal
1.40,-9.92,1.64,-0.12,-0.02,-0.01,-23.95,Normal
1.36,-9.85,1.66,-0.13,-0.03,-0.01,-24.12,Normal
1.40,-9.87,1.72,-0.12,-0.03,-0.01,-23.87,Normal
1.42,-9.89,1.64,-0.13,-0.03,-0.01,-23.45,Normal
1.36,-9.88,1.45,-0.13,-0.01,-0.01,-23.54,Normal
1.34,-9.84,1.65,-0.12,0.01,-0.01,-23.45,Normal
1.38,-10.03,1.64,-0.11,-0.03,-0.01,-23.37,Normal
1.40,-9.77,1.59,-0.13,-0.02,-0.02,-24.20,Normal
1.38,-10.03,1.66,-0.12,-0.02,-0.01,-24.20,Normal
1.33,-9.88,1.63,-0.13,-0.01,-0.00,-24.03,Normal
1.42,-9.99,1.76,-0.13,-0.02,-0.01,-24.28,Normal
1.32,-9.82,1.69,-0.10,-0.03,-0.01,-24.12,Normal
1.34,-9.95,1.63,-0.11,-0.04,-0.01,-23.95,Normal
1.37,-9.91,1.68,-0.11,-0.05,-0.02,-24.12,Normal
1.40,-9.91,1.70,-0.11,-0.06,-0.02,-24.20,Normal
1.43,-9.96,1.77,-0.12,-0.04,-0.01,-23.95,Normal
1.30,-9.82,1.65,-0.10,-0.07,-0.01,-24.12,Normal
1.33,-9.98,1.76,-0.08,-0.06,-0.02,-23.95,Normal
1.30,-9.80,1.75,-0.12,-0.04,-0.01,-24.03,Normal
1.29,-9.94,1.70,-0.08,-0.05,-0.02,-24.37,Normal
1.33,-9.96,1.77,-0.11,-0.07,-0.01,-23.87,Normal
1.32,-9.88,1.81,-0.10,-0.03,-0.00,-24.20,Normal
1.41,-9.91,1.74,-0.09,-0.04,-0.00,-23.54,Normal
1.36,-10.07,1.74,-0.08,-0.04,-0.01,-24.45,Normal
1.31,-9.78,1.78,-0.08,-0.03,-0.01,-23.62,Normal
1.28,-9.79,1.82,-0.12,-0.03,-0.01,-24.54,Normal
1.35,-9.93,1.75,-0.11,-0.02,-0.00,-24.03,Normal
1.42,-10.04,1.78,-0.13,-0.06,-0.01,-24.12,Normal
1.35,-9.79,1.82,-0.11,-0.05,-0.02,-24.12,Normal
1.35,-9.94,1.77,-0.11,-0.04,-0.01,-24.12,Normal
1.26,-9.91,1.91,-0.13,-0.05,-0.01,-23.95,Normal
1.37,-9.95,1.94,-0.14,-0.08,-0.02,-24.12,Normal
1.29,-9.92,1.74,-0.11,-0.07,-0.02,-23.54,Normal
1.24,-9.96,1.82,-0.16,-0.10,-0.00,-24.37,Normal
1.24,-9.93,1.70,-0.15,-0.09,-0.01,-24.20,Normal
1.32,-9.92,1.90,-0.15,-0.10,-0.02,-24.28,Normal
1.29,-9.94,1.80,-0.14,-0.07,-0.01,-24.20,Normal
1.14,-9.91,1.73,-0.14,-0.04,0.01,-24.37,Normal
1.34,-10.04,1.89,-0.17,-0.06,0.00,-24.12,Normal
1.16,-9.80,1.73,-0.12,-0.01,0.00,-23.45,Normal
1.24,-9.92,1.66,-0.15,-0.05,-0.01,-24.28,Normal
1.24,-9.92,1.76,-0.13,-0.05,-0.01,-24.12,Normal
1.28,-9.95,1.76,-0.13,-0.03,-0.01,-24.20,Normal
1.24,-9.92,1.67,-0.13,-0.05,-0.02,-23.87,Normal
1.20,-9.89,1.68,-0.11,-0.05,-0.02,-23.95,Normal
1.28,-9.96,1.70,-0.10,-0.06,-0.02,-24.03,Normal
1.24,-9.90,1.68,-0.11,-0.07,-0.02,-24.03,Normal
1.24,-10.01,1.80,-0.06,-0.03,-0.03,-23.87,Normal
1.05,-9.86,1.72,-0.13,-0.08,-0.02,-23.87,Normal
1.17,-9.97,1.77,-0.09,-0.04,-0.02,-23.87,Normal
1.10,-9.89,1.84,-0.16,-0.04,-0.03,-23.87,Normal
0.91,-9.95,1.82,-0.11,-0.02,-0.04,-24.03,Normal
0.76,-9.92,1.83,-0.11,-0.02,-0.07,-24.12,Normal
0.56,-9.87,1.84,-0.11,-0.03,-0.12,-24.45,Normal
0.64,-9.77,1.83,-0.16,-0.08,-0.20,-23.87,Normal
0.79,-10.01,1.86,-0.18,-0.07,-0.28,-24.03,Normal
1.05,-9.81,1.77,-0.17,-0.02,-0.34,-24.28,Normal
1.18,-9.89,1.71,-0.27,-0.01,-0.37,-23.54,Normal
1.45,-9.77,1.92,-0.18,0.12,-0.39,-24.12,Normal
1.59,-9.55,1.81,-0.25,0.11,-0.43,-24.45,Normal
1.75,-9.59,1.86,-0.20,0.21,-0.47,-23.87,Normal
1.80,-9.34,1.70,-0.29,0.25,-0.49,-23.45,Normal
1.87,-9.39,1.75,-0.29,0.28,-0.52,-23.87,Normal
2.03,-9.11,1.66,-0.31,0.32,-0.54,-23.87,Normal
1.95,-8.92,1.60,-0.33,0.35,-0.58,-24.03,Normal
2.11,-8.36,1.59,-0.41,0.38,-0.59,-24.03,Normal
1.96,-7.75,1.70,-0.41,0.41,-0.57,-23.62,Normal
1.81,-6.86,1.69,-0.52,0.41,-0.55,-24.37,Normal
2.37,-6.29,1.80,-0.58,0.46,-0.57,-24.28,Normal
2.26,-5.09,1.92,-0.26,0.61,-0.59,-24.03,Normal
3.01,-5.93,1.63,-0.55,0.48,-0.63,-24.28,Normal
2.77,-5.33,1.56,-0.58,0.76,-0.65,-23.95,Normal
2.42,-4.61,0.79,-0.68,0.91,-0.85,-24.12,Normal
-0.35,-5.16,2.37,-0.71,0.87,-1.19,-24.54,Normal
-3.18,-2.73,2.80,-0.70,0.43,-1.52,-24.45,Normal
3.35,-5.00,-3.12,-1.46,-0.90,-1.62,-24.12,Normal
19.17,-7.06,-9.13,-1.31,-0.66,-1.38,-24.54,Normal
11.14,-10.83,19.75,-1.94,4.14,0.33,-24.45,Normal
43.05,-17.28,-25.84,2.35,4.37,-4.20,-24.70,Normal
-8.05,7.44,18.34,3.75,4.37,-2.82,-25.03,Normal
0.17,4.44,7.41,0.26,0.29,-0.61,-25.03,Normal
11.85,4.34,6.12,-3.52,-1.82,-0.31,-25.37,Normal
7.58,-2.90,7.80,-0.21,0.87,0.37,-25.11,Normal
10.63,0.22,8.62,0.38,1.05,0.13,-25.20,Normal
8.65,-3.60,11.39,-0.47,0.61,0.32,-25.28,Normal
7.76,-1.64,9.04,0.48,0.51,0.58,-25.45,Normal
6.93,-3.32,9.58,-0.06,-0.25,0.52,-25.45,Normal
6.42,-2.60,8.60,0.14,-0.48,0.61,-25.28,Normal
7.58,-3.35,8.53,0.18,-0.37,0.49,-25.28,Normal
8.35,-3.19,7.81,0.33,-0.30,0.49,-25.20,Normal
8.23,-2.71,9.22,0.24,-0.31,0.43,-25.28,Normal
6.84,-2.48,5.34,0.24,-0.18,0.62,-24.86,Normal
8.41,-2.60,5.78,0.04,-0.32,0.57,-25.45,Normal
7.49,-6.81,5.42,-0.38,-0.10,0.56,-24.95,Normal
6.78,-4.26,4.87,-0.04,0.23,0.45,-24.70,Normal
7.96,-7.33,6.79,0.11,0.51,0.22,-25.20,Normal
5.44,-5.15,9.15,0.30,0.64,0.26,-25.20,Normal
7.01,-4.41,9.03,0.13,0.43,-0.07,-25.28,Normal
7.16,-3.30,9.27,0.06,0.59,-0.19,-24.86,Normal
6.41,-4.36,8.43,-0.62,0.25,-0.21,-25.45,Normal
5.84,-5.61,8.78,-0.10,0.31,-0.00,-24.95,Normal
4.88,-4.13,9.36,0.02,0.01,0.06,-24.70,Normal
6.12,-3.88,9.06,0.03,-0.09,0.08,-25.45,Normal
6.88,-4.26,9.06,-0.10,-0.19,0.02,-25.28,Normal
6.62,-4.42,8.44,-0.16,-0.11,-0.01,-24.95,Normal
6.53,-4.57,8.37,-0.15,-0.16,-0.03,-25.03,Normal
6.63,-4.47,8.59,-0.09,-0.11,-0.04,-25.37,Normal
6.95,-3.99,8.70,-0.04,0.00,-0.05,-24.54,Normal
7.08,-3.99,8.42,-0.10,0.10,-0.02,-24.37,Normal
6.52,-4.38,8.76,-0.08,0.06,-0.02,-24.70,Normal
6.31,-4.29,8.79,-0.10,-0.01,0.01,-25.53,Normal
6.53,-4.12,8.97,-0.08,-0.00,0.02,-25.20,Normal
6.48,-4.18,9.04,-0.11,-0.02,0.02,-25.20,Normal
6.24,-4.30,8.86,-0.15,-0.04,-0.00,-25.37,Normal
6.34,-4.22,8.85,-0.12,-0.06,-0.01,-25.45,Normal
6.65,-4.27,8.82,-0.13,-0.07,-0.02,-25.53,Normal
6.54,-4.28,8.84,-0.13,-0.04,-0.02,-25.45,Normal
6.65,-4.41,8.78,-0.07,-0.04,-0.02,-25.11,Normal
6.50,-4.31,8.79,-0.17,-0.05,-0.01,-24.95,Normal
6.49,-4.32,8.89,-0.11,-0.02,-0.01,-25.20,Normal
6.42,-4.21,8.92,-0.10,-0.04,-0.03,-25.37,Normal
6.43,-4.24,8.90,-0.12,-0.04,-0.01,-25.11,Normal
6.36,-4.24,8.88,-0.12,-0.03,-0.01,-25.20,Normal
6.48,-4.35,8.91,-0.12,-0.04,-0.02,-24.78,Normal
6.44,-4.13,8.77,-0.11,-0.03,-0.02,-24.20,Normal
6.60,-4.35,8.83,-0.12,-0.04,-0.02,-24.95,Normal
6.36,-4.02,8.70,-0.13,-0.05,-0.02,-24.95,Normal
6.56,-4.25,8.85,-0.07,-0.01,-0.02,-25.03,Normal
6.50,-4.39,8.87,-0.13,-0.06,-0.02,-24.95,Normal
6.41,-4.16,8.86,-0.12,-0.03,-0.02,-25.11,Normal
6.50,-4.16,8.83,-0.10,-0.02,-0.01,-24.70,Normal
6.38,-4.25,8.68,-0.11,-0.04,-0.01,-24.62,Normal
6.48,-4.23,8.76,-0.13,-0.04,-0.01,-24.86,Normal
6.44,-4.31,8.94,-0.11,-0.04,-0.02,-24.70,Normal
6.44,-4.21,8.83,-0.12,-0.04,-0.02,-25.20,Normal
6.48,-4.22,8.89,-0.11,-0.03,-0.02,-24.78,Normal
6.41,-4.21,8.89,-0.10,-0.05,-0.03,-24.62,Normal
6.54,-4.30,8.87,-0.07,-0.07,-0.03,-25.20,Normal
