ax,ay,az,gx,gy,gz,Altitude,Activity
0.76,-9.79,1.30,-0.10,-0.06,-0.04,-24.03,Normal
0.81,-9.94,1.29,-0.10,-0.04,-0.03,-23.87,Normal
0.79,-9.92,1.41,-0.12,-0.06,-0.03,-23.54,Normal
0.87,-9.93,1.29,-0.12,-0.05,-0.03,-23.54,Normal
0.85,-9.91,1.30,-0.09,-0.04,-0.03,-23.29,Normal
0.92,-9.93,1.39,-0.11,-0.06,-0.03,-24.12,Normal
0.75,-9.94,1.39,-0.11,-0.05,-0.03,-23.62,Normal
0.81,-9.88,1.16,-0.12,-0.03,-0.02,-23.87,Normal
0.81,-9.77,1.47,-0.13,-0.03,-0.01,-24.12,Normal
0.91,-10.06,1.43,-0.12,-0.07,-0.02,-24.03,Normal
0.74,-9.84,1.32,-0.13,-0.07,-0.02,-24.20,Normal
0.76,-10.06,1.41,-0.13,-0.07,-0.01,-24.03,Normal
0.72,-9.95,1.36,-0.12,-0.05,-0.00,-24.12,Normal
0.87,-10.01,1.42,-0.13,-0.06,0.00,-24.12,Normal
0.71,-9.90,1.35,-0.12,-0.07,-0.01,-23.87,Normal
0.69,-9.88,1.39,-0.12,-0.06,-0.01,-24.03,Normal
0.74,-9.92,1.40,-0.12,-0.05,-0.01,-24.12,Normal
0.83,-9.88,1.30,-0.13,-0.04,-0.01,-24.28,Normal
0.78,-9.84,1.50,-0.11,-0.02,-0.01,-24.28,Normal
0.75,-10.01,1.44,-0.13,-0.05,-0.02,-24.12,Normal
0.69,-9.84,1.32,-0.11,-0.04,-0.03,-24.54,Normal
0.85,-9.93,1.32,-0.14,-0.02,-0.02,-24.45,Normal
0.87,-9.95,1.29,-0.13,0.01,-0.00,-24.70,Normal
0.86,-10.01,1.16,-0.08,0.07,-0.01,-24.28,Normal
0.52,-9.85,1.35,-0.03,0.02,-0.04,-24.45,Normal
0.49,-9.84,1.60,-0.05,-0.03,-0.05,-24.20,Normal
0.71,-9.77,1.79,-0.11,-0.15,-0.06,-24.62,Normal
0.70,-9.89,1.66,-0.13,-0.22,-0.08,-24.70,Normal
0.94,-10.09,1.73,-0.17,-0.26,-0.08,-24.37,Normal
0.91,-9.83,1.63,-0.18,-0.20,-0.05,-24.45,Normal
1.05,-9.96,1.51,-0.16,-0.19,-0.06,-24.12,Normal
0.96,-9.86,1.39,-0.20,-0.17,-0.06,-24.54,Normal
0.99,-10.00,1.45,-0.17,-0.18,-0.07,-24.45,Normal
0.99,-9.87,1.34,-0.14,-0.13,-0.05,-24.45,Normal
1.04,-9.92,1.36,-0.16,-0.09,-0.03,-23.95,Normal
1.00,-9.90,1.25,-0.16,-0.06,-0.01,-24.12,Normal
0.96,-9.89,1.28,-0.16,-0.05,-0.01,-24.28,Normal
0.88,-9.96,1.26,-0.13,-0.05,-0.02,-23.87,Normal
0.74,-10.03,1.47,-0.15,-0.06,-0.02,-24.28,Normal
0.84,-9.82,1.05,-0.11,-0.00,0.00,-24.54,Normal
1.14,-10.05,1.27,-0.10,-0.03,-0.01,-24.37,Normal
0.90,-9.88,1.17,-0.13,-0.02,-0.00,-24.54,Normal
0.93,-9.88,1.24,-0.08,0.00,-0.00,-24.37,Normal
0.86,-9.92,1.26,-0.10,-0.01,-0.01,-24.28,Normal
0.88,-9.92,1.30,-0.09,-0.01,-0.01,-24.12,Normal
0.83,-9.85,1.24,-0.07,-0.02,-0.02,-24.20,Normal
0.88,-9.93,1.23,-0.10,-0.03,-0.01,-24.20,Normal
0.95,-9.95,1.30,-0.09,-0.03,-0.02,-24.20,Normal
0.88,-9.90,1.43,-0.13,-0.02,-0.02,-24.45,Normal
0.83,-9.85,1.27,-0.10,-0.01,-0.01,-24.28,Normal
0.98,-10.02,1.32,-0.08,-0.04,-0.03,-24.37,Normal
0.84,-9.82,1.37,-0.11,-0.05,-0.03,-24.20,Normal
1.00,-9.95,1.34,-0.08,-0.05,-0.04,-24.12,Normal
0.81,-9.95,1.46,-0.10,-0.05,-0.03,-24.28,Normal
0.98,-9.90,1.47,-0.12,-0.05,-0.03,-24.45,Normal
1.07,-9.85,1.38,-0.09,-0.05,-0.02,-24.45,Normal
1.04,-9.90,1.44,-0.10,-0.04,-0.01,-24.12,Normal
1.01,-9.90,1.40,-0.12,-0.03,0.00,-24.12,Normal
0.88,-9.84,1.48,-0.14,-0.03,0.01,-24.12,Normal
0.85,-9.92,1.39,-0.16,-0.02,0.02,-23.87,Normal
0.98,-10.10,1.46,-0.10,-0.05,0.01,-24.37,Normal
0.90,-9.72,1.36,-0.15,-0.06,0.01,-24.28,Normal
0.91,-10.02,1.43,-0.16,-0.06,0.02,-24.45,Normal
0.87,-9.86,1.44,-0.19,-0.05,0.03,-24.12,Normal
1.13,-9.96,1.45,-0.21,-0.07,0.04,-24.28,Normal
1.08,-9.93,1.35,-0.16,-0.06,0.04,-23.95,Normal
1.11,-9.87,1.33,-0.18,-0.07,0.04,-24.20,Normal
1.14,-9.92,1.38,-0.20,-0.08,0.04,-24.54,Normal
1.23,-9.79,1.15,-0.19,-0.08,0.05,-23.62,Normal
1.26,-9.74,1.21,-0.16,-0.09,0.07,-24.54,Normal
1.30,-9.94,1.39,-0.21,-0.19,0.08,-24.03,Normal
1.16,-9.81,1.26,-0.15,-0.18,0.12,-24.54,Normal
1.08,-9.94,1.28,-0.19,-0.21,0.17,-24.12,Normal
0.99,-9.79,1.27,-0.22,-0.25,0.20,-23.87,Normal
0.89,-9.80,1.28,-0.23,-0.29,0.24,-24.03,Normal
0.63,-9.75,1.21,-0.22,-0.31,0.29,-23.95,Normal
0.51,-9.67,1.22,-0.25,-0.35,0.33,-24.12,Normal
0.47,-9.51,1.21,-0.27,-0.38,0.37,-24.12,Normal
0.14,-9.49,1.28,-0.28,-0.42,0.40,-23.62,Normal
-0.05,-9.56,1.21,-0.29,-0.46,0.44,-24.28,Normal
-0.36,-9.22,1.13,-0.33,-0.54,0.47,-24.12,Normal
-0.24,-9.15,1.02,-0.21,-0.60,0.48,-23.95,Normal
-0.55,-8.74,1.01,-0.27,-0.67,0.52,-23.95,Normal
-0.46,-8.48,1.26,-0.24,-0.81,0.58,-24.20,Normal
-0.25,-7.19,1.31,-0.28,-0.83,0.71,-23.95,Normal
-0.40,-6.38,1.55,-0.35,-0.82,0.84,-24.28,Normal
-0.13,-6.87,1.26,-0.42,-0.76,0.95,-24.37,Normal
-0.23,-6.39,1.33,-0.50,-0.68,1.09,-24.20,Normal
-1.32,-6.29,1.46,-0.63,-0.74,1.23,-24.28,Normal
-0.34,-5.46,1.30,-0.70,-1.22,1.19,-24.78,Normal
-0.71,-4.58,0.91,-0.82,-1.43,1.27,-24.03,Normal
-3.64,-4.72,1.13,-0.36,-1.75,1.15,-24.20,Normal
-5.15,-6.25,-2.48,-0.71,-1.06,0.73,-24.28,Normal
-7.37,-5.57,0.94,0.17,-0.34,0.79,-24.78,Normal
-13.39,-3.27,-1.95,-1.16,-2.57,0.55,-24.70,Normal
-5.26,-19.30,21.01,2.86,-4.37,-0.10,-25.28,Normal
-67.98,-40.65,18.17,2.51,-4.12,3.82,-25.45,Normal
14.86,12.83,20.67,0.99,0.60,2.29,-24.70,Normal
-5.47,3.96,-3.05,-0.31,2.18,0.44,-25.20,Normal
-12.04,-3.53,18.15,-1.93,2.25,0.71,-25.03,Normal
-9.77,-0.76,3.70,-0.29,-0.22,0.24,-25.45,Normal
-11.00,-0.55,5.04,0.17,-1.01,0.38,-25.45,Normal
-12.69,0.23,1.61,0.22,-0.37,-0.00,-25.03,Normal
-10.05,-0.25,3.28,0.13,-0.29,-0.23,-25.45,Normal
-8.18,0.09,1.67,0.01,0.24,-0.21,-25.37,Normal
-8.63,-1.11,4.78,0.11,-0.05,-0.39,-25.53,Normal
-10.28,-2.16,3.51,-0.30,-0.40,-0.46,-25.11,Normal
-10.07,-2.50,3.91,-0.08,-0.61,-0.26,-25.53,Normal
-9.58,-2.12,4.00,-0.05,-0.81,-0.31,-25.53,Normal
-8.52,-2.38,4.78,0.06,-0.72,-0.42,-25.03,Normal
-8.44,-1.79,5.59,-0.29,-0.66,-0.54,-25.37,Normal
-8.11,-3.31,6.37,-0.22,-0.59,-0.38,-25.28,Normal
-7.55,-2.61,6.21,-0.14,-0.49,-0.26,-25.03,Normal
-8.03,-3.30,6.42,-0.20,-0.25,-0.19,-25.20,Normal
-7.72,-2.91,6.28,-0.18,-0.12,-0.18,-25.37,Normal
-7.80,-3.62,6.30,-0.20,-0.02,-0.12,-25.28,Normal
-7.98,-3.52,6.29,-0.08,-0.02,-0.05,-24.78,Normal
-8.05,-3.25,6.30,-0.13,-0.01,0.01,-25.03,Normal
-8.06,-3.22,6.29,-0.11,0.01,0.05,-25.28,Normal
-8.47,-3.08,6.26,-0.11,0.03,0.08,-25.37,Normal
-8.42,-3.16,5.90,-0.17,0.11,0.08,-25.11,Normal
-8.52,-3.10,5.81,-0.10,0.04,0.06,-25.53,Normal
-8.61,-2.92,5.78,-0.13,0.01,0.06,-24.70,Normal
-8.61,-2.98,5.79,-0.12,-0.05,0.00,-24.78,Normal
-8.49,-2.93,5.75,-0.13,-0.10,-0.02,-25.28,Normal
-8.46,-2.96,6.00,-0.13,-0.12,-0.04,-25.45,Normal
-8.42,-2.96,6.12,-0.12,-0.14,-0.04,-25.61,Normal
-8.33,-3.04,6.13,-0.12,-0.10,-0.04,-25.61,Normal
-8.24,-2.88,5.92,-0.12,-0.05,-0.03,-25.37,Normal
-8.13,-2.83,5.71,-0.16,-0.08,-0.03,-25.28,Normal
-8.35,-3.16,6.19,-0.11,-0.06,-0.02,-25.11,Normal
-8.28,-2.92,6.26,-0.12,-0.04,-0.00,-25.03,Normal
-8.38,-3.07,6.10,-0.12,-0.04,-0.01,-25.28,Normal
-8.33,-2.94,6.11,-0.12,-0.04,-0.01,-25.28,Normal
-8.37,-3.02,6.05,-0.15,-0.03,-0.01,-25.28,Normal
-8.31,-3.05,6.11,-0.11,-0.04,-0.01,-25.28,Normal
-8.36,-2.95,6.09,-0.11,-0.07,-0.02,-25.03,Normal
-8.40,-3.08,6.15,-0.10,-0.04,-0.01,-25.11,Normal
-8.37,-3.19,6.54,-0.09,-0.03,-0.01,-25.37,Normal
-8.31,-3.02,6.05,-0.14,-0.01,-0.01,-25.03,Normal
-8.32,-2.97,5.94,-0.10,-0.05,-0.02,-24.86,Normal
-8.29,-3.02,6.09,-0.15,-0.04,-0.01,-24.86,Normal
-8.26,-2.98,6.15,-0.13,-0.04,-0.02,-25.03,Normal
-8.30,-3.00,6.20,-0.14,-0.05,-0.02,-24.78,Normal
-8.38,-3.18,6.13,-0.13,-0.05,-0.02,-25.11,Normal
-8.31,-2.99,6.10,-0.11,-0.05,-0.01,-24.95,Normal
-8.22,-3.03,6.10,-0.11,-0.05,-0.01,-25.11,Normal
-8.30,-3.06,6.13,-0.10,-0.05,-0.02,-25.20,Normal
-8.54,-3.27,6.52,-0.08,-0.03,-0.01,-25.37,Normal
-8.34,-3.09,6.17,-0.13,-0.01,-0.01,-25.20,Normal
-8.27,-3.01,5.92,-0.10,-0.02,-0.01,-25.20,Normal
-8.33,-3.04,5.97,-0.12,-0.03,-0.01,-25.20,Normal
-8.22,-2.99,6.10,-0.11,-0.04,-0.01,-25.28,Normal
-8.42,-3.00,6.22,-0.11,-0.06,-0.01,-25.03,Normal
-8.37,-3.02,6.15,-0.12,-0.07,-0.02,-25.11,Normal
-8.26,-2.95,6.16,-0.09,-0.06,-0.02,-24.78,Normal
-8.23,-2.87,6.09,-0.12,-0.05,-0.02,-25.11,Normal
-8.33,-3.02,6.41,-0.12,-0.05,-0.02,-25.20,Normal
-8.33,-3.01,6.18,-0.13,-0.02,-0.01,-25.03,Normal
-8.26,-2.87,5.79,-0.13,-0.02,-0.02,-24.95,Normal
-8.20,-2.86,5.96,-0.16,-0.08,-0.03,-24.78,Normal
-8.37,-3.10,6.26,-0.11,-0.05,-0.02,-25.28,Normal
-8.41,-2.96,6.21,-0.11,-0.04,-0.02,-24.95,Normal
-8.42,-2.98,6.18,-0.11,-0.05,-0.02,-25.37,Normal
-8.41,-2.97,6.04,-0.10,-0.06,-0.03,-24.78,Normal
-8.20,-2.88,6.02,-0.13,-0.10,-0.03,-25.61,Normal
-8.21,-3.03,6.19,-0.09,-0.06,-0.02,-25.37,Normal
-8.22,-2.95,6.20,-0.12,-0.06,-0.03,-25.28,Normal
-8.12,-2.88,6.34,-0.10,-0.05,-0.03,-25.78,Normal
-8.23,-3.05,6.20,-0.12,-0.03,-0.03,-25.53,Normal
-8.23,-3.05,6.28,-0.14,-0.01,-0.02,-25.28,Normal
-8.26,-2.99,6.25,-0.11,-0.01,-0.01,-25.53,Normal
-8.40,-3.01,6.19,-0.12,0.01,-0.00,-25.11,Normal
-8.37,-3.05,6.17,-0.11,-0.01,-0.00,-25.37,Normal
-8.28,-2.92,6.17,-0.11,-0.05,-0.01,-25.37,Normal
-8.31,-2.98,6.20,-0.10,-0.05,-0.02,-25.78,Normal
-8.40,-3.07,6.50,-0.10,0.03,-0.01,-25.37,Normal
-8.36,-3.08,6.16,-0.14,0.04,-0.01,-25.45,Normal
-7.98,-2.98,6.01,-0.11,0.01,-0.02,-25.69,Normal
-8.57,-3.05,6.40,-0.14,0.04,-0.01,-25.53,Normal
-8.32,-3.01,6.10,-0.10,0.02,-0.01,-25.53,Normal
-8.28,-2.93,5.98,-0.12,-0.00,-0.01,-25.53,Normal
-8.49,-3.00,6.13,-0.12,-0.02,-0.02,-25.53,Normal
-8.40,-3.08,6.03,-0.08,-0.07,-0.03,-25.61,Normal
-8.34,-2.88,6.21,-0.11,-0.05,-0.03,-25.11,Normal
-8.35,-2.99,6.14,-0.11,-0.04,-0.03,-25.53,Normal
-8.50,-2.92,6.09,-0.12,-0.02,-0.04,-24.95,Normal
-8.26,-2.99,6.04,-0.13,-0.02,-0.04,-25.20,Normal
-8.28,-2.96,6.11,-0.15,-0.03,-0.05,-25.28,Normal
-8.31,-3.10,6.14,-0.14,0.02,-0.05,-25.37,Normal
-8.20,-3.12,5.87,-0.16,0.09,-0.04,-25.20,Normal
-8.30,-2.94,5.93,-0.17,0.08,-0.03,-25.11,Normal
-8.36,-3.16,5.96,-0.15,0.06,-0.00,-25.53,Normal
-8.33,-3.06,5.81,-0.20,0.07,-0.01,-25.61,Normal
-8.18,-3.18,5.43,-0.16,0.16,0.00,-25.45,Normal
-8.39,-2.92,5.64,-0.08,0.17,0.02,-25.45,Normal
-8.85,-3.07,5.88,-0.07,0.08,0.03,-25.45,Normal
-8.58,-2.94,5.41,-0.09,-0.03,-0.01,-24.70,Normal
-8.58,-3.02,5.37,-0.08,-0.04,-0.01,-25.03,Normal
-8.45,-2.99,5.71,-0.08,-0.05,-0.03,-25.11,Normal
-8.51,-2.94,5.54,-0.09,0.00,-0.01,-25.03,Normal
-8.49,-3.10,5.67,-0.09,-0.01,-0.02,-25.53,Normal
-8.57,-2.94,5.64,-0.12,-0.02,-0.01,-25.11,Normal
-8.07,-2.94,5.56,-0.14,-0.00,0.01,-25.45,Normal
-8.60,-2.79,5.61,-0.16,-0.03,-0.00,-25.53,Normal
-8.79,-3.11,5.64,-0.04,0.08,-0.02,-24.95,Normal
-8.61,-2.90,5.50,-0.01,0.09,-0.01,-25.11,Normal
-8.66,-2.95,5.50,-0.12,0.06,0.01,-25.03,Normal
-8.84,-2.92,5.48,-0.12,0.05,0.02,-24.95,Normal
-8.59,-2.91,5.32,-0.13,0.04,-0.01,-25.11,Normal
-8.40,-2.83,5.36,-0.12,0.02,0.01,-25.20,Normal
-8.73,-2.80,5.16,-0.13,-0.03,-0.00,-25.28,Normal
-8.71,-2.88,5.35,-0.12,-0.03,-0.01,-24.95,Normal
-8.80,-2.95,5.30,-0.10,-0.02,-0.02,-25.28,Normal
-8.68,-2.88,5.34,-0.14,-0.05,-0.02,-25.78,Normal
-8.48,-2.81,5.37,-0.12,-0.03,-0.00,-25.11,Normal
-8.70,-2.72,5.43,-0.08,-0.02,-0.03,-25.28,Normal
-8.53,-2.92,5.21,-0.05,0.02,-0.03,-24.86,Normal
-8.63,-2.91,5.30,-0.17,-0.05,-0.01,-25.03,Normal
-8.68,-2.92,5.20,-0.13,-0.04,-0.01,-24.95,Normal
-8.68,-2.96,5.21,-0.12,-0.04,-0.01,-24.95,Normal
-8.63,-2.96,5.22,-0.13,-0.06,-0.01,-25.53,Normal
-8.67,-2.93,5.38,-0.15,-0.07,-0.01,-24.95,Normal
-8.68,-2.83,5.42,-0.14,-0.04,-0.03,-25.03,Normal
-8.53,-2.95,5.17,-0.14,-0.06,-0.02,-25.53,Normal
-8.56,-2.84,5.27,-0.11,-0.02,-0.00,-25.20,Normal
-8.59,-2.99,5.32,-0.11,-0.04,-0.02,-25.20,Normal
-8.66,-2.81,5.33,-0.11,-0.05,-0.02,-24.78,Normal
-8.77,-2.85,5.29,-0.15,-0.05,-0.03,-25.03,Normal
-8.46,-2.93,5.30,-0.15,-0.02,-0.00,-24.95,Normal
-7.49,-4.39,2.99,0.08,
