ax,ay,az,gx,gy,gz,Altitude,Activity
1.86,-9.79,1.37,-0.13,-0.04,-0.03,-38.31,Normal
1.92,-9.71,1.54,-0.07,-0.05,-0.03,-38.06,Normal
2.07,-9.59,1.53,-0.05,-0.06,-0.03,-38.48,Normal
2.11,-9.58,1.39,-0.05,-0.00,-0.04,-38.31,Normal
2.12,-9.97,1.51,-0.16,-0.04,-0.03,-38.40,Normal
2.41,-10.18,1.53,-0.09,0.00,-0.04,-38.65,Normal
2.39,-10.01,1.35,-0.14,-0.00,-0.05,-38.40,Normal
2.32,-10.15,1.52,-0.17,0.02,-0.03,-37.82,Normal
2.01,-9.86,1.47,-0.14,0.02,0.01,-37.98,Normal
2.00,-9.97,1.69,-0.06,-0.03,0.01,-37.98,Normal
1.74,-9.24,1.43,-0.03,-0.03,0.00,-38.06,Normal
1.97,-9.56,1.40,-0.17,-0.10,0.01,-37.98,Normal
1.80,-9.64,1.43,-0.15,-0.10,0.01,-38.40,Normal
1.82,-9.97,1.42,-0.15,-0.11,-0.00,-38.23,Normal
2.12,-10.02,1.48,-0.09,-0.06,-0.02,-38.65,Normal
2.06,-9.53,1.46,-0.16,-0.02,-0.01,-38.23,Normal
2.01,-9.61,1.59,-0.07,0.05,-0.03,-37.90,Normal
1.80,-9.82,1.29,-0.15,0.06,-0.07,-38.48,Normal
1.99,-10.41,1.53,-0.13,0.01,-0.14,-37.98,Normal
2.35,-9.87,1.75,-0.11,0.10,-0.12,-38.40,Normal
2.52,-9.61,1.65,-0.19,0.13,-0.07,-38.40,Normal
2.86,-9.56,1.46,-0.24,0.22,0.01,-38.65,Normal
2.66,-9.41,1.18,-0.25,0.28,0.08,-38.48,Normal
2.42,-9.75,1.15,-0.23,0.35,0.14,-38.31,Normal
2.31,-9.82,1.29,-0.14,0.35,0.15,-38.31,Normal
2.34,-10.00,1.18,-0.04,0.37,0.13,-38.56,Normal
2.24,-9.84,1.17,-0.12,0.33,0.11,-38.23,Normal
2.12,-9.74,1.36,-0.12,0.34,0.12,-38.23,Normal
1.90,-9.68,1.33,-0.12,0.33,0.11,-38.48,Normal
2.11,-9.80,1.46,-0.11,0.28,0.11,-38.56,Normal
2.01,-9.72,1.47,-0.05,0.26,0.10,-38.40,Normal
1.98,-9.63,1.37,-0.13,0.24,0.11,-38.97,Normal
1.90,-9.82,1.54,-0.09,0.22,0.11,-38.73,Normal
1.81,-9.78,1.45,-0.10,0.21,0.12,-38.48,Normal
1.76,-9.92,1.44,-0.10,0.17,0.13,-38.89,Normal
1.69,-9.96,1.53,-0.11,0.08,0.14,-38.89,Normal
1.70,-9.78,1.58,-0.07,0.05,0.15,-38.31,Normal
1.94,-9.83,1.64,-0.05,0.05,0.17,-38.56,Normal
1.68,-9.83,1.58,-0.08,0.06,0.21,-38.40,Normal
1.57,-9.94,1.67,-0.08,0.06,0.23,-38.56,Normal
1.67,-9.81,1.75,-0.03,0.09,0.26,-38.65,Normal
1.47,-9.69,1.82,-0.03,0.11,0.30,-38.56,Normal
1.52,-9.41,1.70,-0.04,0.15,0.34,-38.40,Normal
1.42,-9.32,1.66,-0.10,0.22,0.38,-38.56,Normal
1.33,-9.26,1.81,-0.10,0.29,0.43,-38.14,Normal
1.13,-9.18,1.91,-0.10,0.50,0.48,-38.56,Normal
1.19,-9.27,1.81,-0.19,0.60,0.54,-38.31,Normal
0.64,-9.47,2.13,-0.26,0.74,0.59,-38.23,Normal
0.48,-9.00,1.41,-0.22,0.69,0.56,-38.40,Normal
0.75,-8.21,1.70,-0.62,0.62,0.62,-38.56,Normal
0.01,-6.73,2.15,-0.51,0.49,0.56,-38.48,Normal
0.19,-4.49,2.25,-0.26,0.32,0.39,-38.56,Normal
-0.80,-3.51,2.24,-0.13,0.03,0.17,-38.89,Normal
0.31,-4.18,2.31,-0.54,-0.49,0.26,-38.31,Normal
-0.19,-2.36,4.23,0.20,-1.22,0.40,-38.89,Normal
0.94,3.20,3.14,0.83,-0.42,0.09,-38.65,Normal
1.25,-3.27,-2.60,-1.40,0.35,-0.22,-38.97,Normal
-8.92,-11.83,-2.94,-2.91,0.88,1.46,-38.97,Normal
4.10,-15.55,-3.45,-0.86,-0.55,0.91,-39.48,Normal
-1.78,-11.95,-5.14,0.29,1.79,0.86,-39.31,Normal
4.07,-10.43,-9.44,0.36,3.39,2.75,-39.31,Normal
2.56,-7.73,-7.82,-0.69,3.35,3.05,-39.39,Normal
-12.92,-9.22,-11.10,2.09,4.37,3.56,-39.39,Normal
-4.14,-0.80,-28.87,0.57,4.37,1.24,-39.64,Normal
-7.76,-11.43,-12.28,2.49,4.37,1.67,-39.89,Normal
-4.30,-2.95,-8.62,-1.86,3.43,1.19,-39.48,Normal
