ax,ay,az,gx,gy,gz,Altitude,Activity
2.12,-10.03,1.61,-0.18,0.03,-0.02,-63.25,Normal
2.04,-9.67,1.60,-0.15,0.02,-0.02,-62.92,Normal
2.00,-9.82,1.63,-0.14,0.01,-0.02,-63.00,Normal
2.09,-9.70,1.54,-0.14,0.02,-0.01,-63.09,Normal
2.03,-9.84,1.64,-0.14,0.00,0.00,-63.09,Normal
2.09,-9.73,1.66,-0.12,-0.00,0.01,-63.09,Normal
1.97,-9.84,1.50,-0.13,-0.02,0.01,-63.17,Normal
2.04,-9.84,1.55,-0.12,-0.03,0.01,-63.41,Normal
2.01,-9.76,1.61,-0.10,-0.02,0.01,-63.09,Normal
2.01,-9.76,1.56,-0.10,-0.04,0.00,-63.25,Normal
2.00,-9.76,1.70,-0.11,-0.03,-0.00,-63.25,Normal
2.00,-9.82,1.74,-0.10,-0.04,-0.01,-63.50,Normal
2.03,-9.71,1.57,-0.10,-0.03,-0.02,-63.66,Normal
2.01,-9.87,1.69,-0.13,-0.03,-0.02,-62.84,Normal
2.04,-9.78,1.60,-0.11,-0.04,-0.02,-62.67,Normal
1.97,-9.71,1.69,-0.13,-0.05,-0.02,-63.00,Normal
2.03,-9.79,1.73,-0.11,-0.06,-0.03,-63.41,Normal
2.03,-9.73,1.57,-0.09,-0.06,-0.03,-62.92,Normal
2.05,-9.81,1.70,-0.11,-0.04,-0.03,-63.50,Normal
2.09,-9.80,1.64,-0.11,-0.06,-0.03,-63.25,Normal
2.11,-9.82,1.59,-0.11,-0.06,-0.02,-63.34,Normal
2.00,-9.70,1.58,-0.15,-0.04,-0.01,-63.41,Normal
2.06,-9.87,1.50,-0.11,-0.07,-0.02,-63.41,Normal
2.18,-9.91,1.72,-0.11,-0.08,-0.02,-63.25,Normal
2.04,-9.77,1.58,-0.11,-0.06,-0.02,-63.17,Normal
2.10,-9.75,1.52,-0.10,-0.07,-0.02,-63.34,Normal
2.04,-9.84,1.61,-0.12,-0.06,-0.01,-62.92,Normal
2.16,-9.71,1.78,-0.17,-0.12,-0.02,-63.41,Normal
2.05,-9.88,1.45,-0.18,-0.16,-0.05,-63.09,Normal
1.94,-9.96,1.50,-0.10,-0.18,-0.02,-63.09,Normal
2.22,-9.76,1.58,-0.09,-0.17,0.01,-63.66,Normal
2.29,-9.68,1.46,-0.08,-0.12,0.01,-63.75,Normal
2.23,-9.78,1.67,-0.14,-0.12,0.02,-63.66,Normal
2.18,-9.56,1.77,-0.20,-0.05,0.04,-63.83,Normal
2.07,-9.51,1.31,-0.22,-0.06,0.03,-63.58,Normal
2.12,-9.86,1.56,-0.23,-0.12,-0.00,-63.50,Normal
2.09,-9.73,1.51,-0.22,-0.15,-0.00,-63.41,Normal
1.91,-9.62,1.52,-0.20,-0.24,-0.01,-63.50,Normal
1.67,-9.43,1.52,-0.25,-0.31,-0.02,-63.25,Normal
1.68,-9.90,1.27,-0.28,-0.37,-0.01,-63.17,Normal
1.76,-9.75,1.31,-0.31,-0.42,0.00,-63.41,Normal
