ax,ay,az,gx,gy,gz,Altitude,Activity
1.02,-9.87,1.09,-0.11,0.00,-0.01,-38.48,Normal
0.93,-9.90,1.18,-0.18,-0.01,0.00,-38.06,Normal
0.99,-9.84,1.06,-0.12,-0.00,0.00,-38.89,Normal
1.00,-9.86,1.12,-0.14,-0.02,0.00,-38.81,Normal
1.02,-9.96,1.09,-0.12,-0.01,-0.00,-38.40,Normal
0.96,-9.86,0.98,-0.13,-0.01,0.00,-38.31,Normal
0.98,-9.91,1.04,-0.15,-0.02,0.00,-38.65,Normal
0.99,-9.97,0.90,-0.14,-0.02,-0.00,-38.89,Normal
0.91,-9.82,0.93,-0.14,-0.02,-0.01,-38.65,Normal
0.96,-9.80,0.96,-0.15,-0.04,-0.01,-38.56,Normal
1.02,-9.88,1.21,-0.18,-0.05,-0.00,-38.48,Normal
0.90,-9.80,1.08,-0.18,-0.05,0.00,-38.89,Normal
0.91,-9.73,0.78,-0.14,-0.04,-0.02,-38.73,Normal
0.93,-9.86,0.83,-0.20,-0.06,0.01,-38.65,Normal
0.56,-9.50,0.76,-0.21,-0.06,0.02,-38.65,Normal
0.59,-9.43,0.61,-0.27,-0.02,0.08,-38.56,Normal
0.41,-9.44,0.70,-0.39,0.02,0.18,-38.40,Normal
0.24,-9.59,0.68,-0.55,0.05,0.29,-38.56,Normal
0.33,-9.19,0.57,-0.62,0.09,0.32,-38.40,Normal
-0.18,-8.89,0.28,-0.84,0.05,0.33,-38.97,Normal
0.09,-9.41,0.28,-0.97,0.00,0.37,-38.48,Normal
0.24,-9.27,-0.29,-0.81,0.15,0.32,-38.40,Normal
-0.03,-9.69,-0.97,-0.75,0.20,0.25,-38.65,Normal
-0.13,-9.91,-1.60,-0.60,0.22,0.22,-38.65,Normal
0.14,-9.99,-2.02,-0.54,0.19,0.17,-38.56,Normal
0.01,-9.41,-1.81,-0.36,0.26,0.12,-38.65,Normal
0.14,-8.91,-1.84,-0.29,0.29,0.10,-38.56,Normal
-0.10,-8.52,-1.85,-0.28,0.29,0.07,-39.14,Normal
-0.28,-8.36,-1.86,-0.39,0.22,0.10,-38.48,Normal
-0.21,-8.25,-1.88,-0.41,0.21,0.13,-38.23,Normal
-0.31,-8.18,-2.24,-0.26,0.19,0.10,-38.48,Normal
-0.47,-8.37,-2.52,-0.31,0.14,0.14,-38.40,Normal
-0.37,-8.40,-2.72,-0.29,0.08,0.13,-38.65,Normal
-0.48,-8.55,-2.84,-0.30,0.09,0.13,-38.81,Normal
-0.50,-8.44,-2.94,-0.30,0.14,0.13,-38.73,Normal
-0.44,-8.26,-3.13,-0.17,0.09,0.06,-38.65,Normal
-0.61,-8.67,-3.30,-0.19,0.10,0.02,-38.65,Normal
-0.70,-8.71,-3.52,-0.03,0.11,-0.04,-38.97,Normal
-0.84,-8.84,-3.41,-0.03,0.07,-0.06,-38.97,Normal
-0.77,-8.99,-3.26,0.09,0.12,-0.12,-38.73,Normal
-0.76,-8.61,-3.07,0.17,0.13,-0.17,-38.73,Normal
-0.66,-8.49,-2.60,0.27,0.15,-0.20,-38.65,Normal
-0.68,-8.50,-2.73,0.39,0.18,-0.33,-38.81,Normal
-0.29,-8.45,-1.81,0.28,0.26,-0.28,-38.56,Normal
0.25,-8.60,-1.35,0.78,0.13,0.10,-38.48,Normal
1.05,-5.34,0.11,1.15,0.59,0.35,-39.06,Normal
-0.05,-7.43,0.38,0.68,0.66,0.50,-38.97,Normal
-1.98,-5.07,0.05,1.83,1.16,0.40,-38.73,Normal
-1.48,-4.74,1.58,1.03,0.05,0.88,-38.73,Normal
-1.83,-37.98,14.68,-0.44,-0.74,0.63,-39.39,Normal
10.33,-2.29,6.38,2.50,0.72,-1.99,-38.81,Normal
-10.90,6.90,8.51,0.57,-0.16,-1.84,-38.81,Normal
0.65,-8.40,3.92,-2.70,-0.73,-0.33,-38.81,Normal
-5.85,1.93,3.53,-0.56,0.08,-0.77,-38.73,Normal
3.64,-5.03,-12.03,-3.40,1.18,-1.23,-38.40,Normal
6.34,-15.75,-15.07,-4.37,2.01,0.33,-39.06,Normal
14.00,-40.10,-26.57,-2.23,-3.16,-3.82,-39.23,Normal
0.34,-9.87,-0.97,3.98,2.99,-2.05,-39.48,Normal
5.17,6.42,-2.20,4.37,0.78,-2.20,-39.39,Normal
7.41,5.38,-2.33,2.48,1.58,-1.77,-38.89,Normal
2.21,-1.01,2.49,-4.02,-0.06,-0.85,-39.48,Normal
5.39,-55.04,-26.98,-4.37,-2.36,4.37,-39.31,Normal
14.67,3.18,1.10,4.37,4.37,-1.44,-39.64,Normal
3.13,-1.76,2.83,2.51,4.37,-0.88,-39.48,Normal
7.30,2.10,5.31,0.80,-0.71,-0.35,-39.14,Normal
11.06,-2.86,7.00,-4.20,0.01,0.43,-39.89,Normal
9.35,-5.69,14.04,2.62,2.13,-0.39,-39.39,Normal
3.34,-2.99,8.86,0.26,1.61,0.24,-39.64,Normal
3.35,-4.65,8.31,-0.23,-0.26,0.09,-39.72,Normal
5.64,-6.58,9.07,0.35,0.32,-0.28,-39.55,Normal
6.56,-7.00,8.56,0.45,1.19,-0.31,-39.39,Normal
3.07,-6.04,9.80,1.13,1.92,-0.39,-39.80,Normal
4.19,-2.67,11.12,1.04,0.81,-0.24,-39.55,Normal
2.84,-2.66,11.54,0.12,1.09,-0.27,-39.72,Normal
0.98,-3.35,11.60,0.35,0.44,-0.29,-39.55,Normal
3.04,-1.64,12.07,0.76,0.18,-0.53,-40.14,Normal
2.47,-0.16,9.83,0.66,-0.10,-0.62,-39.72,Normal
0.39,-3.53,13.17,-0.22,-1.03,-0.31,-39.72,Normal
2.50,-3.66,13.22,0.87,-0.80,-0.63,-39.89,Normal
3.63,-0.56,10.51,0.80,-0.89,-0.59,-39.55,Normal
5.88,0.00,12.73,0.58,-1.11,-0.41,-39.64,Normal
7.19,0.29,9.65,0.59,-0.43,-0.27,-39.80,Normal
7.87,0.32,10.61,0.17,-0.08,-0.13,-39.48,Normal
7.10,1.05,9.40,0.07,0.08,-0.09,-39.89,Normal
6.90,0.36,10.06,-0.18,0.11,-0.05,-39.55,Normal
5.24,0.45,10.68,-0.16,0.22,0.00,-40.05,Normal
4.68,0.27,11.29,-0.22,0.15,0.06,-39.39,Normal
4.02,0.16,11.33,-0.13,0.07,0.02,-39.48,Normal
4.38,0.14,11.53,-0.15,-0.06,-0.01,-39.72,Normal
