ax,ay,az,gx,gy,gz,Altitude,Activity
1.84,-9.84,1.76,-0.13,-0.12,-0.00,-38.81,Normal
1.81,-9.83,1.65,-0.09,-0.08,0.00,-38.81,Normal
1.84,-9.78,1.81,-0.13,-0.09,-0.00,-38.81,Normal
1.76,-9.90,1.76,-0.12,-0.08,-0.01,-39.14,Normal
1.75,-9.84,1.76,-0.11,-0.05,-0.01,-39.06,Normal
1.77,-9.92,1.78,-0.14,-0.04,-0.01,-39.23,Normal
1.76,-9.93,1.77,-0.11,-0.02,-0.01,-38.73,Normal
1.74,-9.84,1.75,-0.13,-0.01,-0.01,-39.23,Normal
1.74,-9.82,1.69,-0.14,0.02,-0.01,-38.97,Normal
1.76,-9.88,1.60,-0.15,-0.00,-0.01,-38.65,Normal
1.73,-9.96,1.62,-0.15,-0.02,-0.02,-38.65,Normal
1.58,-9.67,1.61,-0.17,-0.03,-0.01,-38.73,Normal
1.43,-9.63,1.46,-0.29,-0.11,0.01,-38.48,Normal
1.39,-9.77,1.28,-0.30,-0.13,-0.01,-39.06,Normal
1.22,-9.61,1.32,-0.28,-0.24,-0.04,-38.56,Normal
1.14,-9.44,1.35,-0.39,-0.27,-0.03,-39.06,Normal
1.39,-9.37,1.28,-0.57,-0.36,0.01,-38.65,Normal
1.26,-9.00,1.38,-0.78,-0.44,0.07,-39.23,Normal
1.32,-8.82,0.87,-1.06,-0.45,0.17,-38.81,Normal
1.24,-8.58,0.66,-1.27,-0.52,0.21,-39.31,Normal
1.07,-8.34,-0.16,-1.22,-0.37,0.27,-38.89,Normal
1.15,-8.45,-0.77,-1.07,-0.32,0.31,-39.06,Normal
0.75,-8.12,-1.55,-0.93,-0.28,0.31,-39.06,Normal
0.55,-8.30,-1.94,-0.88,-0.13,0.32,-39.06,Normal
0.47,-8.59,-2.50,-0.77,-0.05,0.33,-39.14,Normal
0.27,-8.63,-2.80,-0.69,-0.00,0.29,-39.06,Normal
0.34,-8.58,-3.21,-0.57,0.06,0.24,-38.81,Normal
0.36,-8.81,-3.58,-0.43,0.19,0.19,-38.97,Normal
0.15,-8.72,-3.77,-0.37,0.21,0.15,-38.97,Normal
0.00,-8.84,-3.72,-0.11,0.44,0.11,-39.31,Normal
0.26,-8.39,-3.80,-0.19,0.22,0.10,-38.89,Normal
-0.12,-8.45,-3.79,-0.14,0.29,0.10,-38.81,Normal
-0.07,-8.36,-4.08,-0.12,0.21,0.08,-38.81,Normal
0.18,-8.31,-3.88,-0.09,0.16,0.08,-39.39,Normal
0.13,-7.82,-3.53,0.00,0.08,0.02,-39.14,Normal
0.21,-7.78,-3.28,0.16,0.24,-0.06,-38.97,Normal
0.11,-7.70,-3.09,0.12,0.39,-0.04,-39.31,Normal
-0.05,-8.02,-3.00,0.29,0.38,0.08,-39.06,Normal
1.38,-6.87,-2.79,0.45,0.34,0.24,-39.06,Normal
-1.05,-6.92,-2.26,0.20,0.87,0.32,-39.48,Normal
0.35,-7.39,-2.64,0.25,0.34,0.24,-39.06,Normal
0.48,-5.60,-2.10,-0.25,0.66,0.10,-39.55,Normal
-1.36,-6.72,-1.36,-0.73,0.38,0.42,-39.31,Normal
-2.69,-11.31,-3.90,-0.42,0.27,0.13,-38.89,Normal
-0.34,-7.70,-3.96,0.28,-0.49,0.06,-39.48,Normal
0.41,-2.30,-2.43,-0.18,0.10,-0.06,-39.39,Normal
-1.88,-4.35,-1.35,-1.70,0.22,-0.07,-39.23,Normal
-2.62,-1.64,-3.54,-0.09,-0.29,-0.47,-39.55,Normal
-5.22,-4.88,-5.90,2.36,0.79,-2.02,-39.31,Normal
5.93,-47.09,-15.61,0.37,-1.35,-4.37,-39.55,Normal
1.12,-8.85,0.66,4.37,2.26,-0.27,-39.72,Normal
11.81,22.54,-10.75,4.37,1.70,-2.20,-39.80,Normal
-5.01,3.11,4.11,-0.91,1.65,-4.37,-40.30,Normal
5.45,-12.47,13.55,-4.37,-4.37,-0.05,-40.14,Normal
27.74,-13.93,0.46,4.34,2.90,-3.90,-39.64,Normal
-2.61,-2.54,-0.37,3.49,3.21,-3.77,-40.30,Normal
22.50,-9.87,-6.24,-4.37,-4.37,4.37,-40.05,Normal
7.61,-3.75,8.15,3.12,4.37,0.63,-39.64,Normal
5.23,-4.83,4.96,0.73,3.34,0.20,-39.89,Normal
4.12,-9.24,4.89,0.96,1.28,0.04,-40.30,Normal
5.20,-5.71,8.45,1.02,-0.14,-0.33,-39.89,Normal
6.78,-3.58,10.78,1.23,0.33,-0.27,-39.55,Normal
2.59,-5.88,11.77,0.08,0.60,0.04,-39.97,Normal
3.34,-4.58,10.98,0.34,-0.38,-0.02,-40.14,Normal
