ax,ay,az,gx,gy,gz,Altitude,Activity
2.03,-9.80,2.13,-0.09,-0.04,-0.05,-63.00,Normal
2.02,-9.78,2.10,-0.12,-0.04,-0.04,-63.00,Normal
2.06,-9.80,2.12,-0.11,-0.04,-0.04,-63.25,Normal
2.07,-9.84,2.17,-0.12,-0.04,-0.03,-63.17,Normal
2.04,-9.87,2.19,-0.11,-0.04,-0.02,-63.34,Normal
2.10,-9.74,2.24,-0.11,-0.04,-0.02,-63.41,Normal
2.07,-9.78,2.22,-0.12,-0.03,-0.01,-63.25,Normal
2.15,-9.76,2.06,-0.11,-0.02,-0.01,-63.58,Normal
2.10,-9.95,2.19,-0.12,-0.04,-0.02,-63.34,Normal
2.13,-9.74,2.24,-0.17,-0.04,-0.01,-63.25,Normal
2.10,-9.79,2.16,-0.12,-0.02,-0.02,-63.66,Normal
2.09,-9.87,2.32,-0.11,-0.01,-0.02,-63.58,Normal
2.10,-9.86,2.18,-0.10,-0.01,-0.02,-63.25,Normal
2.13,-9.86,2.26,-0.12,-0.03,-0.02,-63.58,Normal
2.13,-9.88,2.25,-0.11,-0.01,-0.01,-63.50,Normal
2.12,-9.84,2.27,-0.10,-0.01,-0.01,-63.17,Normal
2.07,-9.86,2.19,-0.13,-0.01,-0.00,-63.50,Normal
2.06,-9.87,2.18,-0.12,-0.02,-0.01,-63.50,Normal
2.03,-9.80,2.11,-0.14,-0.01,0.00,-63.00,Normal
2.00,-9.85,2.24,-0.14,-0.03,0.00,-63.00,Normal
2.08,-9.83,2.24,-0.09,-0.02,-0.00,-63.50,Normal
2.07,-9.84,2.27,-0.07,-0.03,-0.01,-62.92,Normal
2.06,-9.80,2.31,-0.08,-0.05,-0.03,-63.41,Normal
2.10,-9.80,2.40,-0.10,-0.03,-0.03,-63.34,Normal
2.00,-9.77,2.43,-0.12,-0.03,-0.03,-63.34,Normal
2.06,-9.83,2.28,-0.13,-0.04,-0.03,-63.17,Normal
2.13,-9.83,2.31,-0.14,-0.04,-0.03,-63.25,Normal
2.16,-9.84,2.32,-0.13,-0.06,-0.03,-63.34,Normal
2.15,-9.81,2.33,-0.15,-0.05,-0.02,-63.83,Normal
2.16,-9.82,2.34,-0.14,-0.05,-0.02,-63.41,Normal
2.12,-9.80,2.27,-0.12,-0.03,-0.02,-63.66,Normal
2.08,-9.77,2.25,-0.14,-0.03,-0.01,-63.25,Normal
2.10,-9.88,2.29,-0.13,-0.04,-0.02,-63.50,Normal
2.11,-9.77,2.23,-0.14,-0.05,-0.02,-63.58,Normal
2.11,-9.75,2.26,-0.13,-0.06,-0.02,-63.50,Normal
2.20,-9.81,2.24,-0.15,-0.05,-0.01,-63.25,Normal
2.17,-9.73,2.17,-0.16,-0.07,-0.01,-63.50,Normal
2.10,-9.77,2.35,-0.18,-0.05,0.00,-63.25,Normal
2.16,-9.83,2.17,-0.17,-0.06,0.01,-63.50,Normal
2.14,-9.79,2.16,-0.14,-0.07,0.00,-63.25,Normal
2.20,-9.77,2.16,-0.16,-0.05,0.02,-63.50,Normal
2.21,-9.81,2.07,-0.16,-0.05,0.03,-63.41,Normal
2.13,-9.76,2.06,-0.19,-0.08,0.05,-63.17,Normal
2.15,-9.78,2.06,-0.18,-0.09,0.05,-63.34,Normal
2.15,-9.83,2.08,-0.17,-0.11,0.06,-63.66,Normal
2.10,-9.80,1.89,-0.19,-0.13,0.08,-63.34,Normal
2.04,-9.80,1.88,-0.20,-0.14,0.09,-63.58,Normal
1.95,-9.75,1.86,-0.21,-0.15,0.10,-63.41,Normal
1.89,-9.79,1.80,-0.21,-0.16,0.11,-63.41,Normal
1.78,-9.80,1.63,-0.22,-0.18,0.12,-63.50,Normal
1.71,-9.79,1.77,-0.24,-0.20,0.12,-63.34,Normal
1.40,-9.93,1.68,-0.20,-0.24,0.10,-63.25,Normal
1.36,-10.09,1.59,-0.23,-0.26,0.10,-63.58,Normal
1.10,-9.91,1.71,-0.17,-0.26,0.09,-63.83,Normal
0.97,-10.18,1.85,-0.14,-0.30,0.07,-63.58,Normal
1.05,-10.02,1.58,-0.16,-0.32,0.06,-63.17,Normal
0.51,-9.22,1.36,-0.36,-0.10,0.12,-63.34,Normal
0.99,-10.60,1.80,-0.24,-0.28,0.06,-63.66,Normal
0.57,-9.81,1.37,-0.16,-0.04,0.08,-64.16,Normal
0.51,-10.21,1.78,-0.29,-0.19,-0.00,-63.91,Normal
0.65,-9.96,1.56,-0.15,-0.15,-0.05,-63.34,Normal
0.69,-9.64,1.54,-0.25,-0.10,-0.05,-63.17,Normal
0.45,-9.79,1.47,-0.34,-0.06,-0.03,-63.34,Normal
0.38,-10.06,1.81,-0.41,-0.04,0.00,-63.00,Normal
0.57,-9.78,1.22,-0.33,0.00,0.03,-63.09,Normal
0.73,-9.57,1.21,-0.43,-0.02,0.06,-63.66,Normal
1.41,-10.75,0.68,-0.36,0.01,0.03,-63.91,Normal
1.04,-9.33,0.54,-0.53,-0.07,0.15,-63.34,Normal
1.02,-9.33,0.55,-0.47,-0.15,0.13,-63.58,Normal
1.31,-9.29,-0.21,-0.38,-0.08,0.21,-63.41,Normal
1.34,-8.97,-0.44,-0.60,-0.08,0.31,-63.83,Normal
1.11,-9.24,-0.50,-0.69,-0.20,0.30,-63.58,Normal
1.02,-9.42,-0.36,-0.51,-0.32,0.30,-63.58,Normal
0.99,-8.59,-0.39,-0.46,-0.35,0.32,-64.08,Normal
0.83,-8.50,-0.94,-0.49,-0.44,0.27,-63.75,Normal
0.62,-8.55,-0.92,-0.52,-0.48,0.29,-63.34,Normal
0.60,-8.35,-1.25,-0.56,-0.65,0.31,-63.83,Normal
0.34,-8.09,-1.25,-0.46,-0.69,0.34,-63.75,Normal
0.11,-8.15,-1.34,-0.31,-0.66,0.34,-63.50,Normal
-0.52,-8.51,-0.95,-0.30,-0.88,0.38,-63.75,Normal
-1.91,-9.72,-0.69,-0.06,-1.12,0.46,-63.75,Normal
-1.93,-8.94,-1.85,-0.15,-1.38,0.50,-63.83,Normal
-5.73,-8.81,-2.09,-0.80,-1.39,-0.08,-64.00,Normal
-4.06,-9.78,-2.46,-0.79,-0.77,-0.17,-63.91,Normal
-3.77,-9.71,-1.38,-1.12,0.33,-0.09,-63.50,Normal
-4.20,-8.94,-2.41,-0.21,0.31,-0.52,-63.75,Normal
-4.33,-9.55,-3.13,-0.42,-0.22,-0.39,-64.00,Normal
-1.91,-9.27,-2.42,-0.02,0.24,-0.18,-64.00,Normal
-2.64,-8.20,-2.10,0.16,0.50,0.03,-63.58,Normal
-2.21,-8.33,-1.86,0.24,0.98,0.24,-63.91,Normal
-2.39,-8.57,-1.39,0.22,1.11,0.41,-63.75,Normal
-3.39,-8.94,-1.80,0.53,1.22,0.49,-64.00,Normal
-3.18,-8.31,-1.37,0.36,0.53,0.32,-64.16,Normal
-1.88,-8.65,-1.77,0.34,0.28,0.07,-64.16,Normal
