ax,ay,az,gx,gy,gz,Altitude,Activity
1.25,-10.02,1.61,-0.16,-0.11,-0.03,-38.06,Normal
1.38,-9.96,1.61,-0.15,-0.14,-0.04,-38.06,Normal
1.23,-9.88,1.53,-0.10,-0.11,-0.05,-38.14,Normal
1.37,-9.89,1.64,-0.11,-0.12,-0.05,-38.23,Normal
1.34,-10.00,1.70,-0.09,-0.08,-0.04,-38.48,Normal
1.38,-9.87,1.65,-0.10,-0.08,-0.04,-37.98,Normal
1.47,-9.91,1.70,-0.07,-0.04,-0.04,-38.40,Normal
1.42,-9.79,1.69,-0.09,-0.01,-0.03,-38.81,Normal
1.47,-9.91,1.80,-0.11,0.01,-0.03,-38.65,Normal
1.36,-9.79,1.66,-0.15,0.02,-0.02,-38.56,Normal
1.26,-9.90,1.77,-0.15,0.05,-0.00,-38.40,Normal
1.10,-9.93,1.68,-0.14,0.07,-0.00,-38.73,Normal
0.92,-9.78,1.92,-0.11,0.04,-0.01,-38.56,Normal
1.05,-10.06,2.01,-0.08,-0.02,-0.03,-38.40,Normal
0.78,-9.56,1.98,-0.21,-0.15,-0.00,-38.81,Normal
0.99,-10.07,2.01,-0.22,-0.21,0.00,-38.56,Normal
0.95,-9.80,1.95,-0.22,-0.26,0.00,-38.48,Normal
1.15,-9.95,1.85,-0.27,-0.27,-0.00,-38.40,Normal
1.20,-9.71,1.57,-0.28,-0.28,-0.03,-37.98,Normal
1.39,-9.74,1.52,-0.37,-0.22,-0.02,-38.31,Normal
1.43,-9.75,1.36,-0.34,-0.17,-0.03,-38.23,Normal
1.91,-9.36,1.04,-0.28,-0.12,-0.08,-38.23,Normal
1.95,-9.45,0.54,-0.27,-0.01,-0.12,-38.97,Normal
2.15,-9.74,0.59,-0.42,0.05,-0.07,-39.23,Normal
2.29,-10.09,0.82,-0.39,0.12,-0.08,-38.97,Normal
2.42,-9.97,0.78,-0.23,0.26,-0.12,-37.82,Normal
2.66,-9.65,0.63,-0.12,0.41,-0.11,-38.81,Normal
2.72,-9.48,0.50,-0.15,0.55,-0.11,-39.31,Normal
2.60,-9.39,0.46,-0.21,0.65,-0.08,-38.06,Normal
2.34,-9.59,0.56,-0.24,0.70,-0.04,-38.81,Normal
2.38,-9.51,0.50,-0.27,0.69,-0.00,-37.73,Normal
2.25,-9.65,0.68,-0.29,0.57,-0.00,-38.73,Normal
2.38,-9.74,0.85,-0.30,0.44,0.00,-38.56,Normal
2.43,-9.58,1.01,-0.21,0.43,0.00,-38.81,Normal
2.63,-9.07,0.76,-0.27,0.48,0.02,-38.81,Normal
2.82,-9.48,0.82,-0.45,0.58,0.01,-38.89,Normal
3.34,-9.04,0.92,-0.39,0.80,0.01,-38.89,Normal
3.51,-7.67,0.54,-0.64,1.19,0.09,-38.89,Normal
3.48,-8.37,1.55,-0.76,1.22,-0.00,-38.65,Normal
2.68,-6.95,1.52,-0.94,1.31,0.01,-38.89,Normal
1.17,-5.20,1.85,-1.87,1.01,0.17,-39.14,Normal
1.62,-5.63,-0.94,-3.12,1.48,0.57,-38.97,Normal
-0.28,-13.78,-4.44,-2.72,2.66,0.90,-38.97,Normal
