ax,ay,az,gx,gy,gz,Altitude,Activity
1.32,-9.87,1.57,-0.09,-0.01,-0.02,-38.40,Normal
1.41,-9.84,1.53,-0.09,-0.03,-0.03,-38.56,Normal
1.42,-9.90,1.59,-0.11,-0.04,-0.02,-39.55,Normal
1.41,-9.92,1.54,-0.11,-0.03,-0.02,-38.97,Normal
1.36,-9.87,1.60,-0.10,-0.03,-0.02,-38.97,Normal
1.40,-9.86,1.62,-0.12,-0.03,-0.02,-39.06,Normal
1.37,-9.89,1.60,-0.13,-0.03,-0.01,-38.73,Normal
1.43,-9.90,1.58,-0.13,-0.03,-0.01,-38.65,Normal
1.39,-9.87,1.61,-0.13,-0.04,-0.02,-38.48,Normal
1.38,-9.92,1.44,-0.13,-0.02,-0.02,-38.81,Normal
1.41,-10.06,1.67,-0.15,-0.06,-0.02,-38.73,Normal
1.50,-9.95,1.44,-0.12,-0.06,-0.03,-38.81,Normal
1.55,-9.82,1.51,-0.14,-0.07,0.00,-38.81,Normal
1.36,-9.99,1.53,-0.06,-0.03,0.02,-38.65,Normal
1.36,-9.82,1.45,-0.15,-0.08,0.04,-38.56,Normal
1.09,-9.76,1.66,-0.11,-0.17,0.04,-38.40,Normal
1.17,-9.79,1.74,-0.23,-0.30,0.06,-38.56,Normal
0.95,-9.88,1.77,-0.20,-0.40,0.05,-39.48,Normal
0.83,-9.79,1.55,-0.29,-0.53,0.02,-39.06,Normal
0.76,-10.00,1.48,-0.30,-0.63,0.01,-38.56,Normal
0.75,-9.78,1.27,-0.29,-0.63,-0.01,-38.65,Normal
0.59,-9.98,1.20,-0.36,-0.68,-0.03,-39.06,Normal
0.77,-10.12,1.07,-0.33,-0.68,-0.06,-39.06,Normal
0.85,-9.88,1.18,-0.32,-0.66,-0.08,-38.56,Normal
0.93,-9.82,1.15,-0.37,-0.63,-0.08,-38.56,Normal
1.08,-10.01,1.23,-0.36,-0.55,-0.10,-38.73,Normal
1.11,-9.91,1.13,-0.36,-0.45,-0.09,-38.97,Normal
1.20,-9.66,1.10,-0.34,-0.27,-0.09,-39.06,Normal
1.06,-9.77,0.70,-0.31,0.02,-0.08,-38.81,Normal
1.24,-9.93,0.16,-0.34,-0.01,-0.04,-38.89,Normal
1.16,-8.83,-0.52,-0.57,-0.04,-0.02,-38.89,Normal
0.91,-9.69,-0.40,-0.53,-0.06,-0.05,-38.89,Normal
1.15,-9.75,-0.37,-0.46,-0.11,-0.00,-38.81,Normal
0.94,-9.31,-0.85,-0.40,-0.18,-0.01,-38.89,Normal
0.96,-9.14,-1.03,-0.43,-0.23,-0.01,-39.06,Normal
0.93,-9.15,-0.90,-0.47,-0.23,0.05,-38.65,Normal
