ax,ay,az,gx,gy,gz,Altitude,Activity
1.65,-9.87,0.75,-0.21,-0.00,-0.06,-38.31,Normal
1.63,-9.93,0.97,-0.25,0.01,-0.05,-38.56,Normal
1.51,-9.76,0.90,-0.16,0.04,-0.04,-38.81,Normal
1.60,-9.90,0.86,-0.18,0.00,-0.05,-38.89,Normal
1.67,-9.87,0.74,-0.18,-0.04,-0.05,-38.89,Normal
1.78,-9.78,0.88,-0.14,-0.01,-0.06,-38.65,Normal
1.60,-9.73,0.71,-0.17,-0.00,-0.05,-38.56,Normal
1.71,-9.77,0.75,-0.18,-0.00,-0.04,-38.89,Normal
1.62,-9.82,0.80,-0.16,-0.00,-0.04,-38.14,Normal
1.76,-9.79,0.63,-0.13,0.01,-0.05,-38.56,Normal
1.76,-9.81,0.73,-0.15,-0.02,-0.04,-38.97,Normal
1.73,-9.78,0.77,-0.14,-0.02,-0.04,-38.31,Normal
1.68,-9.72,0.78,-0.13,-0.00,-0.04,-38.97,Normal
1.75,-9.75,0.88,-0.15,-0.01,-0.03,-38.73,Normal
1.73,-9.77,0.72,-0.13,-0.00,-0.04,-38.65,Normal
1.79,-9.78,0.76,-0.14,-0.03,-0.05,-38.81,Normal
1.83,-9.73,0.79,-0.10,-0.01,-0.05,-38.48,Normal
1.81,-9.71,0.75,-0.13,-0.05,-0.05,-38.48,Normal
1.83,-9.70,0.72,-0.13,-0.03,-0.04,-38.81,Normal
1.84,-9.70,0.75,-0.12,-0.03,-0.04,-38.40,Normal
1.80,-9.72,0.71,-0.14,-0.04,-0.03,-38.81,Normal
1.81,-9.75,0.76,-0.14,-0.04,-0.03,-38.81,Normal
1.82,-9.74,0.59,-0.10,-0.02,-0.02,-38.31,Normal
1.97,-9.87,0.73,-0.11,-0.05,-0.02,-38.81,Normal
1.79,-9.63,0.68,-0.13,-0.05,-0.00,-38.48,Normal
1.92,-9.75,0.73,-0.13,-0.06,0.01,-38.40,Normal
1.92,-9.66,0.80,-0.15,-0.08,0.03,-38.56,Normal
2.13,-9.63,0.91,-0.15,-0.04,0.03,-38.65,Normal
1.96,-9.62,0.59,-0.23,-0.02,0.05,-38.73,Normal
1.97,-9.88,0.98,-0.24,-0.05,0.07,-38.73,Normal
1.91,-9.69,1.04,-0.19,-0.02,0.09,-38.81,Normal
1.81,-9.64,0.91,-0.23,-0.08,0.12,-38.65,Normal
1.91,-9.51,0.72,-0.26,-0.12,0.12,-38.48,Normal
1.89,-9.60,0.62,-0.29,-0.14,0.12,-38.48,Normal
1.79,-9.89,0.57,-0.24,-0.20,0.11,-38.56,Normal
1.75,-10.04,0.47,-0.15,-0.29,0.10,-38.65,Normal
1.65,-10.00,0.80,-0.05,-0.39,0.04,-38.73,Normal
1.29,-10.93,0.40,0.10,-0.46,-0.01,-38.81,Normal
0.98,-9.84,0.26,0.12,-0.48,0.05,-38.48,Normal
0.11,-9.74,-0.05,0.07,-0.63,0.02,-38.65,Normal
0.66,-9.28,0.65,-0.02,-0.90,-0.06,-38.73,Normal
0.11,-9.31,0.15,0.07,-0.84,-0.09,-38.31,Normal
0.26,-9.55,0.45,-0.16,-0.85,-0.05,-38.56,Normal
0.38,-9.93,0.84,-0.15,-0.79,-0.09,-38.40,Normal
0.64,-10.12,1.06,-0.06,-0.64,-0.13,-38.31,Normal
0.66,-9.78,1.06,-0.04,-0.42,-0.12,-38.73,Normal
0.43,-9.66,1.15,-0.19,-0.44,-0.10,-38.97,Normal
0.57,-9.72,1.32,-0.18,-0.42,-0.13,-38.65,Normal
0.52,-9.68,1.28,-0.22,-0.33,-0.14,-38.56,Normal
0.42,-9.80,1.44,-0.27,-0.34,-0.12,-38.23,Normal
0.54,-10.02,1.32,-0.16,-0.27,-0.13,-38.65,Normal
0.75,-10.03,1.36,-0.22,-0.29,-0.12,-38.73,Normal
1.93,-10.43,1.14,0.03,-0.17,-0.21,-38.73,Normal
0.62,-9.22,0.40,-0.16,-0.06,-0.03,-38.73,Normal
2.06,-8.76,0.86,-0.27,-0.19,-0.05,-38.48,Normal
1.17,-9.20,0.06,-0.24,-0.01,-0.06,-38.48,Normal
1.85,-8.87,0.46,-0.47,-0.31,-0.05,-38.48,Normal
1.93,-8.42,0.33,-0.24,-0.14,-0.10,-38.65,Normal
1.94,-8.43,-0.05,-0.37,-0.16,-0.10,-38.23,Normal
2.06,-8.38,-0.23,-0.54,-0.56,-0.13,-38.81,Normal
3.18,-9.40,-0.72,-0.57,-0.86,-0.24,-38.65,Normal
4.44,-9.84,-1.39,-0.55,-0.47,-0.02,-38.40,Normal
5.74,-9.24,-2.85,-0.93,1.11,0.49,-38.89,Normal
2.02,-9.59,-0.55,-1.11,2.08,0.72,-38.56,Normal
0.46,-7.50,-1.40,-0.62,0.30,-0.06,-38.73,Normal
-2.36,-11.31,-3.45,-0.09,0.79,-0.01,-38.56,Normal
-9.74,-10.80,-7.97,0.7
-8.19,-3.38,-4.18,4.33,1.55,-0.85,-38.65,Normal
2.99,-8.95,-2.29,-4.37,-2.98,-0.21,-38.65,Normal
6.97,-9.90,-3.41,-0.59,-3.42,-0.67,-38.48,Normal
2.71,-9.85,-0.49,-0.35,-0.25,-1.18,-38.97,Normal
9.23,-10.90,-13.29,-1.37,-1.37,-0.66,-38.89,Normal
3.48,-10.70,-0.16,2.67,2.48,0.33,-38.89,Normal
2.84,-6.51,0.11,-0.85,-1.65,0.09,-39.14,Normal
6.43,-2.86,-5.45,-0.86,-0.47,-0.18,-38.73,Normal
3.88,-9.00,3.05,0.01,1.01,0.32,-39.06,Normal
1.38,-6.07,-1.70,1.41,0.79,-0.15,-39.23,Normal
2.17,-7.85,-0.82,-1.31,-1.18,0.12,-38.97,Normal
1.63,-9.44,-1.37,-0.39,-0.48,-0.18,-38.89,Normal
3.61,-7.20,-5.30,-1.43,-2.46,-0.53,-39.14,Normal
1.81,-6.78,-0.32,0.14,0.38,0.19,-38.89,Normal
1.94,-8.85,0.05,-0.41,-0.38,0.13,-38.97,Normal
2.25,-6.53,-1.03,-0.44,-0.10,0.17,-38.81,Normal
0.53,-6.12,0.71,-1.13,-0.18,0.78,-38.89,Normal
1.07,-4.51,1.86,-1.72,-0.17,0.90,-39.06,Normal
-1.33,-4.52,3.41,-2.36,0.18,1.14,-39.48,Normal
1.47,-1.85,2.01,-3.28,-0.07,1.31,-39.31,Normal
7.16,-7.00,-1.61,-4.37,0.82,2.55,-39.64,Normal
5.08,-10.34,-7.03,-4.37,1.76,1.31,-39.55,Normal
-6.27,-8.92,-2.27,4.37,0.98,-0.02,-39.97,Normal
0.63,7.39,-2.65,4.37,4.37,-0.13,-39.64,Normal
9.56,6.40,-7.42,-1.38,-1.78,-2.57,-40.05,Normal
-29.10,-11.09,-36.55,-4.37,-4.37,4.37,-39.14,Normal
-14.18,5.09,2.61,-4.37,4.37,3.45,-39.97,Normal
14.30,-16.88,-9.39,4.37,-2.81,-0.77,-40.05,Normal
8.01,11.14,-19.14,3.46,4.37,-2.44,-40.05,Normal
-4.45,1.60,-4.17,1.51,4.02,-1.18,-40.05,Normal
5.47,7.06,2.29,13.31,4.64,-2.88,-4.37,1.32,3.33,-39.55,Normal
5.22,-5.64,6.64,-0.26,-1.35,0.93,-39.80,Normal
16.87,-1.60,0.25,1.40,2.20,0.26,-40.22,Normal
12.03,0.42,-1.58,2.22,2.79,-0.79,-39.89,Normal
