ax,ay,az,gx,gy,gz,Altitude,Activity
1.65,-9.56,0.45,-0.14,-0.11,-0.03,-18.80,Normal
1.01,-7.87,1.24,-0.03,-0.31,-0.04,-18.46,Normal
0.75,-6.23,1.26,0.07,-0.33,-0.06,-18.80,Normal
0.28,-5.79,0.40,0.07,-0.52,-0.07,-18.30,Normal
1.22,-7.93,-0.07,-0.02,-1.05,-0.28,-18.63,Normal
2.06,-9.63,0.00,0.14,-1.29,-0.42,-18.72,Normal
0.15,-12.16,-0.61,0.03,-1.42,-0.36,-18.97,Normal
-2.15,-9.04,-0.37,0.03,-1.89,-0.36,-18.63,Normal
-0.47,-10.95,-2.23,-0.11,-2.29,-0.45,-18.14,Normal
0.58,-11.75,0.09,-0.87,-1.37,-0.18,-18.89,Normal
-0.16,-9.11,0.41,0.13,-1.59,-0.44,-18.63,Normal
1.28,-7.78,0.46,0.10,-1.29,-0.44,-18.89,Normal
1.45,-7.64,0.85,-0.05,-0.87,-0.47,-18.55,Normal
0.42,-9.76,0.41,-0.08,-0.32,-0.27,-18.55,Normal
0.76,-11.49,1.40,-0.30,-0.28,-0.22,-18.63,Normal
0.75,-12.88,1.77,0.06,-0.15,-0.40,-18.55,Normal
-0.12,-13.84,0.36,0.18,-0.27,-0.34,-18.46,Normal
2.13,-12.64,-2.73,-0.10,-0.35,-0.10,-18.30,Normal
2.67,-8.13,-4.07,-0.19,0.49,0.08,-18.05,Normal
0.76,-10.52,-2.79,-0.59,0.31,0.19,-18.80,Normal
2.01,-11.50,-0.74,-0.81,-0.29,0.09,-18.46,Normal
1.62,-8.98,0.03,-0.08,0.19,0.16,-18.63,Normal
0.84,-6.74,0.31,-0.16,0.07,0.18,-18.97,Normal
0.67,-5.80,0.52,-0.02,-0.12,0.08,-18.89,Normal
0.78,-7.59,-0.50,0.01,-0.23,-0.05,-18.80,Normal
1.32,-9.65,-0.56,-0.04,-0.62,-0.14,-18.63,Normal
1.92,-11.82,-0.47,0.38,-0.82,-0.23,-18.30,Normal
0.44,-12.61,-2.37,0.34,-0.56,-0.27,-18.63,Normal
-2.14,-8.89,-2.10,0.22,-0.86,-0.35,-18.97,Normal
-0.86,-10.51,-3.05,-0.41,-1.52,-0.31,-18.55,Normal
0.39,-11.87,0.46,-1.41,-1.28,-0.18,-18.55,Normal
0.61,-8.09,0.10,0.18,-0.89,-0.27,-18.46,Normal
0.83,-6.45,-0.54,-0.19,-0.82,-0.14,-18.72,Normal
0.91,-6.41,0.22,-0.52,-0.43,-0.04,-18.55,Normal
0.46,-7.67,-0.22,-0.21,-0.21,-0.12,-18.38,Normal
0.39,-9.50,-0.22,0.02,-0.08,-0.21,-18.55,Normal
0.74,-11.34,-1.31,0.18,0.44,-0.21,-18.80,Normal
0.44,-11.87,-3.21,0.02,0.49,0.14,-18.72,Normal
2.58,-9.56,-3.51,-0.28,0.28,0.14,-18.80,Normal
1.56,-10.86,-2.57,-0.43,0.73,0.20,-18.63,Normal
1.49,-11.04,-1.32,-0.59,0.38,0.20,-18.46,Normal
1.70,-8.84,-0.61,-0.27,0.58,0.33,-18.30,Normal
0.53,-6.68,0.41,-0.12,0.65,0.38,-18.80,Normal
0.05,-5.07,0.54,-0.04,0.39,0.31,-18.22,Normal
0.97,-6.92,-0.37,-0.11,0.17,0.23,-18.63,Normal
1.80,-9.81,-0.76,-0.13,-0.02,0.01,-18.55,Normal
2.27,-11.46,-0.47,0.05,-0.11,-0.08,-18.55,Normal
1.89,-12.53,-1.99,0.18,0.10,-0.12,-18.22,Normal
-1.19,-11.60,-2.35,0.29,0.07,-0.14,-18.46,Normal
-1.50,-9.96,-2.71,0.72,-0.52,-0.40,-18.46,Normal
