ax,ay,az,gx,gy,gz,Altitude,Activity
2.33,-10.75,0.33,-0.17,0.18,-0.03,-20.71,Normal
1.68,-9.34,1.00,-0.15,0.11,-0.00,-20.63,Normal
1.92,-9.73,0.670,-2055,orml
2.16,-9.42,0.78,-0.11,0.08,0.08,-21.04,Normal
2.46,-9.80,0.66,-0.18,0.11,0.09,-21.13,Normal
2.46,-9.70,0.73,-0.28,0.06,0.05,-20.79,Normal
2.46,-9.96,0.84,-0.26,0.07,0.01,-21.04,Normal
2.45,-9.57,0.74,-0.25,0.10,-0.01,-20.88,Normal
1.81,-9.09,0.56,-0.23,0.10,0.02,-21.04,Normal
1.42,-8.40,0.45,-0.31,-0.11,0.02,-21.04,Normal
0.89,-8.65,0.87,-0.13,-0.42,-0.06,-20.96,Normal
0.77,-9.26,1.53,0.06,-0.72,-0.06,-20.96,Normal
1.29,-12.62,0.83,-0.17,-0.77,0.04,-20.88,Normal
0.93,-9.26,1.83,-0.33,-0.80,-0.03,-20.71,Normal
1.64,-10.40,1.58,-0.39,-0.56,-0.19,-20.96,Normal
0.24,-12.05,1.88,-0.09,-0.24,-0.05,-20.88,Normal
-0.11,-10.20,1.63,-0.27,-0.33,-0.07,-20.79,Normal
0.47,-9.62,1.78,-0.01,-0.30,-0.13,-21.13,Normal
0.74,-8.87,1.00,0.02,-0.00,-0.08,-21.46,Normal
-0.05,-9.50,0.49,-0.43,0.25,0.05,-21.13,Normal
0.19,-9.51,1.34,-0.39,0.34,0.17,-20.79,Normal
1.26,-9.34,0.37,-0.15,0.58,0.19,-21.38,Normal
1.55,-8.13,0.07,-0.49,0.59,0.33,-21.62,Normal
3.25,-11.45,-1.30,-0.68,0.62,0.35,-21.38,Normal
2.77,-12.90,-0.46,-0.30,0.74,0.27,-21.38,Normal
3.17,-10.60,-0.02,-0.23,0.88,0.38,-21.46,Normal
2.17,-10.73,-0.08,0.05,1.02,0.43,-21.38,Normal
1.12,-8.43,0.64,0.06,0.75,0.39,-21.13,Normal
0.92,-7.46,0.87,-0.02,0.34,0.24,-21.46,Normal
0.90,-7.36,1.27,0.13,0.15,0.13,-21.21,Normal
0.47,-8.30,0.24,0.04,-0.02,-0.02,-21.04,Normal
-0.02,-8.92,-0.11,-0.01,-0.10,-0.14,-20.96,Normal
-1.28,-11.61,-0.89,-0.43,-0.22,-0.05,-21.29,Normal
0.15,-14.32,-0.36,-0.33,-0.34,-0.16,-21.04,Normal
-0.73,-12.11,-0.29,-0.22,-0.42,-0.29,-21.13,Normal
0.12,-11.34,0.95,-0.05,-0.45,-0.18,-21.38,Normal
0.75,-8.53,0.73,0.07,-0.30,-0.26,-21.04,Normal
0.45,-6.12,0.93,-0.12,-0.00,-0.28,-21.13,Normal
0.91,-5.26,1.50,0.12,0.18,-0.23,-21.29,Normal
0.45,-3.05,2.21,-0.03,0.22,-0.16,-21.38,Normal
3.12,-9.50,-0.67,-0.12,0.49,0.08,-21.21,Normal
4.15,-15.28,-3.30,-1.07,0.17,0.13,-21.21,Normal
3.39,-16.49,-1.81,-0.17,0.89,0.32,-21.04,Normal
3.42,-14.41,-0.83,0.04,1.05,0.44,-21.21,Normal
2.10,-11.43,0.03,0.02,1.15,0.39,-21.29,Normal
1.63,-9.11,0.53,0.21,0.76,0.27,-21.54,Normal
0.26,-4.86,1.46,0.37,0.54,0.22,-21.21,Normal
0.07,-1.17,1.86,0.50,0.13,0.01,-21.29,Normal
-2.13,-2.58,0.17,-0.20,-0.06,-0.04,-21.79,Normal
1.72,-16.21,-1.75,-0.36,-0.90,-0.19,-21.21,Normal
-0.75,-14.18,-0.92,-0.73,-0.72,-0.03,-20.96,Normal
-0.01,-17.13,-0.91,-0.32,-0.99,-0.38,-21.21,Normal
0.45,-12.79,0.03,-0.23,-0.95,-0.25,-21.29,Normal
1.05,-10.18,0.62,-0.05,-0.53,-0.15,-21.38,Normal
0.96,-5.11,0.88,0.04,-0.13,-0.21,-20.96,Normal
0.71,-0.47,1.85,0.34,0.10,-0.27,-21.38,Normal
0.68,-0.61,2.19,-0.11,0.16,-0.04,-21.38,Normal
4.30,-14.19,-4.98,-0.29,0.86,0.14,-21.54,Normal
2.32,-15.33,-3.23,-1.06,0.41,0.18,-21.13,Normal
3.23,-16.60,-2.34,-0.13,1.10,0.60,-21.21,Normal
3.38,-13.13,-1.35,0.09,1.41,0.52,-21.38,Normal
1.01,-11.27,-0.20,0.10,1.33,0.44,-21.13,Normal
0.88,-7.96,0.59,0.30,0.94,0.33,-21.13,Normal
0.26,-4.03,1.46,0.35,0.54,0.15,-21.21,Normal
0.35,-0.91,1.93,0.27,0.17,-0.11,-21.29,Normal
-1.88,-4.57,0.11,-0.35,-0.14,-0.16,-21.04,Normal
2.61,-16.95,-1.45,-0.14,-0.55,-0.02,-20.96,Normal
0.17,-15.27,-0.31,-0.50,-0.56,-0.08,-21.46,Normal
-0.15,-16.17,-0.34,-0.13,-0.79,-0.24,-21.21,Normal
1.24,-11.99,0.22,-0.05,-0.58,-0.08,-21.29,Normal
1.55,-9.15,1.17,0.11,-0.21,-0.11,-21.29,Normal
0.65,-4.60,1.45,0.27,0.18,-0.16,-21.46,Normal
1.14,-1.11,2.31,0.33,0.37,-0.07,-21.38,Normal
1.89,-1.40,0.79,-0.27,0.62,0.19,-21.21,Normal
5.54,-13.88,-2.48,-0.24,0.89,0.16,-21.46,Normal
3.19,-16.58,-2.55,-0.97,1.12,0.33,-21.62,Normal
2.19,-16.35,-2.53,-0.29,1.64,0.77,-21.46,Normal
2.01,-12.60,-0.32,0.06,1.88,0.72,-21.38,Normal
1.50,-9.92,0.67,0.18,1.34,0.50,-21.29,Normal
0.83,-5.74,1.34,0.42,1.13,0.25,-21.71,Normal
-0.32,-0.55,1.65,0.50,0.63,0.04,-21.29,Normal
-1.15,-1.31,0.70,-0.19,0.23,-0.06,-21.29,Normal
1.98,-17.53,-1.46,-0.03,0.01,-0.18,-21.79,Normal
0.44,-13.92,0.07,-0.44,-0.09,-0.06,-21.79,Normal
0.53,-17.42,-0.48,-0.13,-0.24,-0.26,-21.96,Normal
0.68,-12.47,0.29,0.07,-0.36,-0.10,-21.71,Normal
2.02,-10.49,1.29,0.16,-0.13,-0.09,-21.46,Normal
