ax,ay,az,gx,gy,gz,Altitude,Activity
1.06,-9.79,0.31,-0.12,-0.06,-0.02,-22.21,Normal
0.93,-9.78,0.13,-0.13,-0.03,-0.01,-22.13,Normal
1.19,-9.78,0.24,-0.08,-0.02,-0.02,-22.79,Normal
1.17,-9.67,0.26,-0.12,-0.03,-0.01,-22.62,Normal
1.13,-9.73,0.25,-0.13,-0.04,-0.01,-22.54,Normal
1.08,-9.47,0.35,-0.16,-0.04,0.00,-22.71,Normal
0.96,-9.10,0.56,-0.19,-0.07,0.02,-22.87,Normal
0.99,-9.11,0.33,-0.26,-0.04,0.06,-23.12,Normal
0.94,-9.24,0.23,-0.38,-0.09,0.08,-22.79,Normal
1.03,-9.67,-0.02,-0.36,-0.03,0.10,-22.87,Normal
0.91,-10.28,-0.47,-0.34,-0.05,0.08,-23.20,Normal
0.78,-10.62,-0.49,-0.34,-0.08,0.04,-23.37,Normal
0.67,-10.30,-0.69,-0.22,-0.04,0.02,-22.79,Normal
0.91,-9.99,-0.52,-0.10,-0.01,-0.01,-22.29,Normal
0.86,-9.70,-0.42,-0.05,0.01,-0.04,-22.54,Normal
0.83,-9.84,-0.45,-0.02,0.00,-0.07,-22.71,Normal
0.91,-9.71,-0.37,-0.02,0.01,-0.07,-22.87,Normal
0.95,-9.61,-0.29,-0.00,0.00,-0.08,-22.87,Normal
0.94,-9.40,-0.02,-0.01,0.01,-0.07,-22.96,Normal
0.94,-9.40,0.00,-0.03,0.01,-0.05,-22.87,Normal
0.94,-9.46,-0.03,-0.05,0.01,-0.04,-22.79,Normal
0.90,-9.51,0.01,-0.07,-0.01,-0.03,-22.62,Normal
0.89,-9.53,-0.09,-0.08,-0.00,-0.02,-22.87,Normal
0.79,-9.66,0.07,-0.11,-0.03,-0.02,-22.87,Normal
0.94,-9.76,-0.05,-0.09,-0.01,-0.02,-22.87,Normal
1.02,-9.68,0.00,-0.14,-0.01,-0.02,-22.96,Normal
1.00,-9.73,-0.05,-0.08,0.00,-0.02,-22.79,Normal
1.00,-9.77,-0.10,-0.10,-0.00,-0.02,-22.87,Normal
1.09,-9.72,-0.05,-0.10,-0.01,-0.03,-22.46,Normal
1.06,-9.67,0.00,-0.08,-0.01,-0.03,-22.54,Normal
1.09,-9.70,0.10,-0.09,-0.03,-0.03,-22.79,Normal
1.10,-9.50,0.07,-0.09,-0.03,-0.03,-22.54,Normal
1.10,-9.53,-0.21,-0.12,-0.02,-0.03,-22.62,Normal
1.11,-9.63,-0.01,-0.16,-0.02,-0.02,-22.87,Normal
1.15,-9.79,0.21,-0.14,-0.07,-0.04,-22.79,Normal
1.06,-9.63,0.10,-0.11,-0.07,-0.04,-22.62,Normal
1.13,-9.64,0.18,-0.14,-0.06,-0.02,-23.20,Normal
1.13,-9.47,0.04,-0.18,-0.07,-0.02,-23.45,Normal
1.16,-9.49,0.11,-0.21,-0.09,-0.01,-22.37,Normal
0.99,-8.95,0.45,-0.26,-0.11,0.03,-22.96,Normal
0.90,-8.35,0.42,-0.37,-0.13,0.08,-22.79,Normal
0.73,-6.94,0.83,-0.47,-0.20,0.12,-22.79,Normal
0.21,-4.98,0.79,-0.51,-0.18,0.15,-22.87,Normal
0.46,-5.79,0.68,-0.61,-0.20,0.17,-22.96,Normal
0.34,-8.31,-0.22,-0.62,-0.15,0.15,-22.87,Normal
0.83,-10.54,-1.25,-0.34,-0.18,0.11,-23.12,Normal
0.50,-13.08,-2.61,-0.26,-0.09,0.05,-23.04,Normal
1.40,-16.22,-3.69,-0.10,0.01,-0.01,-23.29,Normal
