ax,ay,az,gx,gy,gz,Altitude,Activity
0.50,-9.80,0.45,-0.12,-0.01,-0.01,-22.37,Normal
0.67,-9.96,0.57,-0.12,-0.04,-0.02,-22.21,Normal
0.58,-9.75,0.57,-0.11,-0.05,-0.03,-22.79,Normal
0.60,-9.83,0.65,-0.13,-0.02,-0.01,-22.79,Normal
0.58,-9.75,0.57,-0.10,-0.01,-0.00,-22.71,Normal
0.53,-9.84,0.59,-0.14,-0.03,0.00,-22.79,Normal
0.49,-9.87,0.59,-0.11,-0.00,0.00,-22.71,Normal
0.53,-9.78,0.52,-0.13,-0.02,-0.01,-22.87,Normal
0.52,-9.86,0.53,-0.11,-0.01,-0.01,-23.54,Normal
0.56,-9.82,0.57,-0.13,-0.03,-0.01,-22.87,Normal
0.50,-9.87,0.60,-0.15,-0.03,-0.01,-22.96,Normal
0.45,-9.72,0.45,-0.13,-0.02,-0.01,-22.96,Normal
0.66,-9.94,0.57,-0.10,-0.02,-0.03,-23.04,Normal
0.56,-9.77,0.48,-0.15,-0.04,-0.02,-22.87,Normal
0.62,-9.87,0.42,-0.11,-0.02,-0.02,-23.12,Normal
0.53,-9.84,0.52,-0.12,-0.04,-0.02,-23.37,Normal
0.61,-9.80,0.58,-0.11,-0.04,-0.02,-23.37,Normal
0.53,-9.78,0.59,-0.10,-0.05,-0.02,-22.96,Normal
0.57,-9.85,0.52,-0.11,-0.06,-0.03,-23.20,Normal
0.57,-9.79,0.51,-0.11,-0.05,-0.03,-23.29,Normal
0.68,-9.84,0.61,-0.10,-0.06,-0.03,-23.54,Normal
0.61,-9.86,0.68,-0.11,-0.05,-0.02,-23.12,Normal
0.51,-9.72,0.56,-0.10,-0.06,-0.02,-22.79,Normal
0.62,-9.87,0.63,-0.08,-0.05,-0.03,-22.79,Normal
0.63,-9.85,0.68,-0.10,-0.04,-0.02,-22.87,Normal
0.60,-9.83,0.61,-0.08,-0.03,-0.02,-22.71,Normal
0.53,-9.84,0.69,-0.11,-0.03,-0.00,-23.20,Normal
0.57,-9.83,0.68,-0.09,-0.01,0.00,-23.45,Normal
0.53,-9.82,0.58,-0.10,-0.02,-0.01,-23.29,Normal
0.57,-9.84,0.68,-0.12,-0.03,-0.01,-23.37,Normal
0.55,-9.87,0.70,-0.11,-0.03,-0.02,-23.12,Normal
0.57,-9.80,0.71,-0.11,-0.04,-0.02,-23.12,Normal
0.53,-9.84,0.71,-0.13,-0.03,-0.02,-23.29,Normal
0.50,-9.73,0.75,-0.17,-0.07,-0.03,-23.29,Normal
0.56,-9.99,0.62,-0.11,-0.06,-0.04,-23.29,Normal
0.60,-9.88,0.81,-0.11,-0.06,-0.03,-22.62,Normal
0.68,-9.69,0.60,-0.10,-0.05,-0.04,-23.12,Normal
0.63,-9.83,0.76,-0.12,-0.07,-0.04,-22.71,Normal
0.65,-9.83,0.72,-0.09,-0.04,-0.04,-22.79,Normal
0.58,-9.88,0.72,-0.10,-0.05,-0.03,-23.29,Normal
0.63,-9.83,0.79,-0.11,-0.05,-0.03,-22.71,Normal
0.65,-9.84,0.68,-0.11,-0.04,-0.03,-22.79,Normal
0.57,-9.68,0.61,-0.12,-0.04,-0.03,-22.87,Normal
0.54,-9.75,0.54,-0.15,-0.00,-0.01,-23.04,Normal
0.61,-10.01,0.78,-0.15,-0.02,-0.03,-23.04,Normal
0.46,-9.73,0.57,-0.17,-0.04,-0.03,-22.87,Normal
0.51,-9.91,0.73,-0.15,-0.04,-0.03,-22.79,Normal
0.39,-9.86,0.72,-0.16,-0.05,-0.03,-23.29,Normal
0.47,-9.86,0.72,-0.16,-0.05,-0.04,-22.79,Normal
0.51,-9.82,0.74,-0.16,-0.03,-0.05,-22.96,Normal
0.33,-9.82,0.64,-0.16,-0.03,-0.06,-23.12,Normal
0.23,-9.88,0.79,-0.18,-0.04,-0.07,-22.96,Normal
0.07,-9.62,0.81,-0.20,-0.05,-0.08,-22.62,Normal
0.07,-9.80,0.74,-0.20,-0.04,-0.08,-23.12,Normal
0.15,-9.81,0.61,-0.25,-0.01,-0.06,-22.79,Normal
0.48,-9.73,0.69,-0.38,-0.09,-0.06,-23.04,Normal
0.55,-9.65,0.55,-0.36,0.01,-0.03,-22.87,Normal
0.93,-9.82,0.25,-0.53,0.04,0.02,-22.87,Normal
1.21,-9.68,0.07,-0.58,0.14,0.08,-23.12,Normal
1.34,-9.59,-0.41,-0.60,0.26,0.15,-23.04,Normal
