ax,ay,az,gx,gy,gz,Altitude,Activity
-1.29,-9.74,1.47,-0.10,-0.02,-0.00,-3.92,Normal
-1.40,-9.76,1.51,-0.09,-0.00,-0.01,-4.75,Normal
-1.36,-9.83,1.50,-0.13,-0.01,-0.01,-4.99,Normal
-1.42,-9.73,1.56,-0.13,-0.02,-0.02,-5.25,Normal
-1.37,-9.86,1.50,-0.12,-0.01,-0.02,-4.99,Normal
-1.48,-9.72,1.54,-0.13,0.01,-0.01,-4.75,Normal
-1.38,-9.86,1.37,-0.09,0.04,-0.00,-4.75,Normal
-1.32,-9.86,1.32,-0.14,-0.02,-0.01,-4.66,Normal
-1.39,-9.77,1.46,-0.13,-0.02,-0.01,-4.75,Normal
-1.35,-9.83,1.37,-0.11,-0.02,-0.01,-4.50,Normal
-1.46,-9.75,1.50,-0.12,-0.03,-0.00,-4.66,Normal
-1.46,-9.78,1.45,-0.11,-0.03,-0.01,-4.66,Normal
-1.44,-9.75,1.39,-0.11,-0.04,-0.01,-4.66,Normal
-1.48,-9.75,1.51,-0.12,-0.04,-0.02,-4.75,Normal
-1.58,-9.74,1.52,-0.13,-0.04,-0.03,-4.66,Normal
-1.66,-9.82,1.54,-0.12,-0.02,-0.05,-4.83,Normal
-1.57,-9.80,1.75,-0.17,-0.04,-0.08,-4.66,Normal
-1.47,-9.75,1.51,-0.09,0.06,-0.09,-4.33,Normal
-1.38,-9.82,1.21,-0.07,0.08,-0.11,-4.66,Normal
-1.41,-9.54,1.36,-0.13,0.08,-0.11,-4.50,Normal
-1.47,-9.76,1.44,-0.22,0.03,-0.12,-4.75,Normal
-1.52,-9.62,1.62,-0.30,-0.04,-0.14,-5.08,Normal
-1.31,-9.78,1.53,-0.32,-0.13,-0.19,-4.41,Normal
-1.15,-9.72,1.42,-0.36,-0.19,-0.21,-4.66,Normal
-0.80,-9.97,1.08,-0.37,-0.23,-0.19,-4.66,Normal
-0.56,-9.96,1.00,-0.27,-0.16,-0.14,-4.41,Normal
-0.38,-9.99,0.82,-0.18,-0.09,-0.09,-4.83,Normal
-0.65,-9.81,0.93,-0.15,-0.03,-0.07,-4.66,Normal
-0.73,-9.81,0.90,-0.18,-0.07,-0.07,-4.66,Normal
-0.52,-9.73,0.,-0.11,-0.08,-4.75,Normal
-0.74,-9.87,0.82,-0.24,-0.16,-0.07,-4.58,Normal
-0.57,-9.86,0.69,-0.13,-0.15,-0.05,-4.99,Normal
