ax,ay,az,gx,gy,gz,Altitude,Activity
-0.62,-9.84,3.70,-0.12,-0.05,-0.01,-5.33,Normal
-0.60,-9.87,3.64,-0.12,-0.05,-0.01,-4.75,Normal
-0.53,-9.98,3.71,-0.11,-0.05,-0.01,-5.16,Normal
-0.54,-9.75,3.66,-0.12,-0.04,-0.01,-4.58,Normal
-0.66,-9.88,3.59,-0.12,-0.03,-0.01,-4.91,Normal
-0.62,-9.81,3.64,-0.12,-0.03,-0.02,-5.08,Normal
-0.56,-9.88,3.67,-0.12,-0.03,-0.02,-4.91,Normal
-0.52,-9.81,3.62,-0.12,-0.03,-0.01,-4.99,Normal
-0.65,-9.88,3.70,-0.11,-0.03,-0.01,-4.99,Normal
-0.59,-9.87,3.62,-0.12,-0.03,-0.01,-5.16,Normal
-0.46,-9.85,3.69,-0.12,-0.03,-0.01,-5.33,Normal
-0.55,-9.81,3.54,-0.12,-0.03,-0.01,-4.83,Normal
-0.57,-9.85,3.65,-0.12,-0.02,-0.01,-5.08,Normal
-0.58,-9.85,3.67,-0.12,-0.02,-0.01,-5.08,Normal
-0.61,-9.84,3.68,-0.11,-0.03,-0.01,-4.91,Normal
-0.70,-9.87,3.74,-0.11,-0.05,-0.01,-4.91,Normal
-0.67,-9.93,3.61,-0.12,-0.07,-0.01,-4.99,Normal
-0.66,-9.92,3.71,-0.10,-0.09,-0.02,-5.25,Normal
-0.57,-9.90,3.75,-0.12,-0.07,-0.02,-4.91,Normal
-0.61,-9.85,3.77,-0.12,-0.07,-0.02,-5.25,Normal
-0.61,-9.80,3.71,-0.12,-0.06,-0.01,-5.08,Normal
-0.58,-9.85,3.66,-0.12,-0.06,-0.02,-4.83,Normal
-0.59,-9.82,3.76,-0.12,-0.05,-0.02,-4.75,Normal
-0.62,-9.81,3.72,-0.12,-0.04,-0.02,-5.08,Normal
-0.57,-9.85,3.69,-0.11,-0.05,-0.02,-5.16,Normal
-0.55,-9.84,3.58,-0.12,-0.05,-0.02,-5.50,Normal
-0.56,-9.86,3.69,-0.12,-0.02,-0.03,-5.41,Normal
-0.57,-9.83,3.76,-0.11,-0.01,-0.03,-4.99,Normal
-0.56,-9.81,3.70,-0.12,-0.00,-0.04,-4.99,Normal
-0.59,-9.87,3.70,-0.13,0.01,-0.03,-5.25,Normal
-0.59,-9.88,3.73,-0.12,-0.01,-0.03,-5.25,Normal
-0.55,-9.84,3.74,-0.12,-0.01,-0.02,-4.83,Normal
-0.58,-9.84,3.64,-0.12,-0.03,-0.02,-5.25,Normal
-0.41,-9.85,3.70,-0.13,-0.02,-0.02,-5.25,Normal
-0.51,-9.84,3.67,-0.12,-0.02,-0.02,-5.25,Normal
-0.60,-9.90,3.60,-0.13,-0.01,-0.02,-5.16,Normal
-0.55,-9.87,3.58,-0.13,-0.03,-0.02,-5.08,Normal
-0.50,-9.86,3.58,-0.13,-0.03,-0.02,-5.58,Normal
-0.56,-9.87,3.60,-0.13,-0.03,-0.01,-4.99,Normal
-0.56,-9.87,3.61,-0.13,-0.04,-0.01,-5.50,Normal
-0.49,-9.81,3.52,-0.12,-0.04,-0.02,-4.91,Normal
-0.50,-9.85,3.60,-0.12,-0.03,-0.02,-4.83,Normal
-0.54,-9.85,3.62,-0.11,-0.03,-0.02,-5.08,Normal
-0.57,-9.91,3.51,-0.12,-0.03,-0.02,-5.41,Normal
