ax,ay,az,gx,gy,gz,Altitude,Activity
0.46,-2.82,0.47,0.18,0.52,0.21,-20.71,Normal
1.49,-3.11,-1.26,0.12,0.79,0.28,-20.79,Normal
2.73,-16.77,-4.15,0.33,1.01,0.43,-20.96,Normal
2.22,-13.96,-5.03,-0.57,0.89,0.08,-21.13,Normal
2.28,-14.09,-1.66,-0.14,0.82,0.37,-21.29,Normal
2.64,-9.45,-1.71,-0.16,1.20,0.38,-20.55,Normal
0.55,-6.99,0.18,0.10,1.14,0.31,-21.04,Normal
0.82,-4.46,-0.14,0.31,0.89,0.14,-21.21,Normal
0.87,-4.65,0.45,0.22,0.38,-0.16,-21.13,Normal
-0.79,-8.44,0.20,0.50,0.31,-0.19,-20.71,Normal
0.38,-9.43,1.34,0.10,-0.20,0.07,-20.88,Normal
-0.68,-8.64,0.42,0.17,-0.07,0.50,-21.21,Normal
-0.58,-11.64,-0.37,-0.56,-0.60,0.22,-21.13,Normal
-1.26,-14.41,-0.38,-1.20,-1.08,-0.34,-21.29,Normal
-4.42,-18.18,0.39,-0.46,-1.66,-0.71,-21.29,Normal
0.65,-12.61,-0.18,0.13,-1.59,-0.70,-21.46,Normal
0.05,-8.45,-0.02,-0.23,-1.18,-0.62,-21.38,Normal
1.50,-3.51,2.15,1.07,-0.68,-0.74,-21.29,Normal
0.61,5.30,2.09,1.25,-0.08,-0.51,-21.54,Normal
2.34,-6.12,-2.68,-2.20,-0.03,0.34,-21.13,Normal
2.31,-20.81,0.58,-1.27,-0.52,-0.18,-21.46,Normal
4.73,-19.80,-4.53,-0.36,0.96,0.42,-21.13,Normal
3.22,-17.29,-1.21,0.07,1.68,0.50,-21.29,Normal
-1.48,-9.70,-0.06,0.57,1.29,0.53,-21.04,Normal
0.00,-6.44,0.70,0.77,-0.03,0.07,-21.04,Normal
-2.79,4.00,2.15,1.93,-0.33,-0.05,-21.46,Normal
-1.78,1.38,-0.83,-0.67,-1.27,-0.09,-21.71,Normal
1.97,-26.99,2.77,-0.74,-1.12,-0.01,-21.38,Normal
0.68,-14.72,-2.83,-0.60,-1.11,-0.14,-21.13,Normal
-1.00,-19.62,0.06,0.36,-1.67,-0.44,-21.29,Normal
1.24,-9.76,-0.53,0.41,-0.91,-0.31,-21.04,Normal
2.51,-2.19,2.26,2.13,0.07,-0.39,-21.13,Normal
2.03,8.50,0.68,0.46,0.66,-0.28,-21.21,Normal
2.40,-1.53,2.40,-1.58,1.22,0.56,-21.46,Normal
5.12,-28.05,-5.50,-1.53,1.33,0.96,-21.04,Normal
8.59,-20.57,-6.91,-0.84,2.76,0.99,-21.38,Normal
2.71,-13.80,-2.85,0.45,3.38,0.87,-21.13,Normal
-1.97,-8.24,0.10,0.38,1.67,0.45,-21.29,Normal
-2.01,1.28,1.57,1.74,1.20,-0.14,-21.54,Normal
-1.43,5.50,1.36,-0.25,0.31,0.04,-21.21,Normal
-1.47,-13.84,0.41,-1.29,-0.32,-0.05,-21.38,Normal
5.09,-13.95,-2.52,0.59,0.90,0.86,-21.46,Normal
2.38,-20.23,0.09,-0.81,-0.49,-0.02,-21.21,Normal
2.53,-9.64,0.88,0.57,0.64,-0.26,-21.79,Normal
1.49,-3.18,1.94,0.64,1.31,0.02,-21.13,Normal
3.56,4.51,0.71,0.56,2.06,0.11,-21.04,Normal
3.00,-2.53,-0.19,-1.18,2.81,0.76,-21.79,Normal
3.04,-19.37,-5.20,-0.10,2.44,0.83,-21.54,Normal
7.37,-21.05,-5.45,-0.35,2.95,1.23,-21.54,Normal
2.74,-14.02,-3.03,0.38,3.99,1.26,-21.71,Normal
-2.52,-8.93,0.07,0.48,2.31,0.84,-21.62,Normal
0.38,-1.21,1.26,1.22,1.58,0.25,-22.29,Normal
-2.68,7.62,2.89,1.14,1.25,-0.09,-21.38,Normal
-1.54,-15.86,-5.57,-2.86,1.13,0.42,-21.46,Normal
-0.02,-12.31,-1.96,-0.13,1.45,0.49,-21.79,Normal
0.15,-22.94,-0.72,-0.55,0.11,-0.01,-21.54,Normal
2.17,-11.32,0.23,0.37,0.47,0.10,-21.46,Normal
0.52,-9.04,1.61,0.20,0.61,0.03,-21.13,Normal
1.70,-1.52,0.23,1.19,1.18,-0.16,-21.38,Normal
2.69,2.49,-0.73,0.61,1.45,0.03,-21.54,Normal
3.02,-12.31,-6.37,-1.23,2.70,0.73,-21.54,Normal
4.46,-18.52,-2.50,-0.67,1.80,0.54,-21.46,Normal
4.17,-18.79,-3.32,0.16,3.62,1.35,-21.62,Normal
1.59,-11.91,-2.94,0.11,3.83,1.19,-21.46,Normal
-1.37,-8.48,-1.30,0.25,1.87,0.64,-21.54,Normal
0.62,0.38,1.11,1.85,1.74,0.01,-20.96,Normal
-2.77,5.59,1.66,0.71,1.04,-0.07,-21.29,Normal
-0.81,-9.23,-2.17,-2.12,1.25,0.50,-21.88,Normal
4.37,-16.70,-2.00,0.08,1.16,0.78,-21.38,Normal
-0.86,-19.42,-3.24,-1.54,0.73,0.44,-21.62,Normal
2.24,-15.08,-0.84,0.36,0.36,0.12,-21.13,Normal
1.84,-7.69,-0.76,-0.38,0.68,0.01,-21.62,Normal
1.68,-2.69,1.60,0.28,1.27,-0.24,-21.13,Normal
1.90,4.70,0.62,0.38,1.74,-0.01,-21.71,Normal
2.28,-5.80,-3.74,-1.48,2.41,0.96,-21.54,Normal
3.14,-17.22,-4.79,-1.65,1.61,0.90,-21.46,Normal
7.55,-20.21,-4.18,-0.42,1.78,1.43,-21.71,Normal
3.38,-13.51,-4.63,-0.49,2.47,1.40,-21.71,Normal
0.64,-8.71,-2.32,-0.03,1.29,0.79,-21.71,Normal
-0.71,-1.91,1.44,0.50,0.67,0.46,-21.88,Normal
-3.97,2.33,-0.17,1.13,0.19,-0.11,-21.62,Normal
-1.32,-14.85,-6.99,-0.44,-0.34,-0.28,-21.54,Normal
-2.14,-17.58,-3.93,-1.37,-0.35,-0.28,-21.29,Normal
-2.92,-21.29,-3.00,-0.31,-0.78,-0.74,-21.46,Normal
2.54,-7.54,-1.04,0.81,-0.83,-1.23,-21.29,Normal
-0.31,-0.97,2.17,1.20,0.25,-0.97,-21.29,Normal
2.12,4.09,0.12,1.07,0.64,-0.67,-21.62,Normal
0.18,-2.79,2.05,0.09,0.95,-0.24,-21.79,Normal
0.16,-8.65,-3.53,0.24,1.66,0.05,-21.46,Normal
2.39,-19.70,-7.27,-1.18,0.52,-0.14,-21.62,Normal
2.87,-19.71,-2.51,0.46,0.66,0.16,-21.79,Normal
