ax,ay,az,gx,gy,gz,Altitude,Activity
1.08,-9.67,0.22,-0.15,0.01,-0.01,-22.29,Normal
1.09,-9.85,0.20,-0.14,0.00,-0.01,-21.88,Normal
0.98,-9.74,0.23,-0.13,0.01,-0.01,-22.54,Normal
1.18,-9.74,0.23,-0.13,-0.02,-0.01,-22.21,Normal
1.07,-9.76,0.23,-0.10,0.01,-0.01,-22.04,Normal
1.00,-9.74,0.27,-0.13,-0.02,-0.02,-22.21,Normal
1.04,-9.74,0.20,-0.12,-0.02,-0.02,-22.54,Normal
1.08,-9.69,0.31,-0.11,-0.01,-0.03,-22.71,Normal
1.08,-9.81,0.27,-0.12,-0.00,-0.02,-22.21,Normal
1.02,-9.66,0.39,-0.15,-0.03,-0.02,-22.71,Normal
1.11,-9.76,0.24,-0.10,0.01,-0.03,-21.79,Normal
1.10,-9.76,0.30,-0.14,-0.00,-0.02,-22.46,Normal
1.10,-9.81,0.25,-0.14,-0.01,-0.03,-22.71,Normal
1.07,-9.78,0.25,-0.15,-0.02,-0.03,-22.29,Normal
1.12,-9.79,0.29,-0.13,-0.03,-0.03,-22.21,Normal
1.09,-9.63,0.30,-0.13,-0.03,-0.03,-22.54,Normal
1.08,-9.63,0.24,-0.18,-0.06,-0.02,-22.62,Normal
1.11,-9.68,0.23,-0.18,-0.07,-0.03,-22.54,Normal
1.13,-9.58,-0.00,-0.21,-0.10,-0.03,-22.96,Normal
1.14,-9.45,0.21,-0.25,-0.09,0.00,-22.29,Normal
1.03,-9.46,0.18,-0.37,-0.17,0.01,-22.71,Normal
1.05,-9.24,0.03,-0.36,-0.13,0.02,-22.62,Normal
0.80,-9.01,-0.09,-0.50,-0.17,0.06,-22.54,Normal
0.88,-8.95,-0.14,-0.55,-0.19,0.08,-22.37,Normal
0.68,-8.39,-0.35,-0.65,-0.22,0.11,-22.37,Normal
0.52,-8.20,-0.67,-0.79,-0.27,0.13,-21.96,Normal
0.38,-8.16,-0.93,-0.87,-0.30,0.16,-22.54,Normal
0.35,-7.88,-1.26,-0.89,-0.27,0.15,-22.54,Normal
0.33,-8.03,-1.63,-0.80,-0.23,0.14,-22.29,Normal
0.37,-8.13,-2.20,-0.69,-0.17,0.13,-22.96,Normal
0.30,-8.35,-2.93,-0.67,-0.09,0.12,-22.54,Normal
-0.06,-8.52,-3.21,-0.71,-0.18,0.07,-23.04,Normal
-0.05,-8.91,-3.46,-0.62,-0.15,0.04,-22.96,Normal
-0.35,-8.74,-3.61,-0.45,-0.25,0.00,-22.71,Normal
0.43,-8.30,-4.30,-0.34,-0.07,0.07,-22.71,Normal
0.00,-8.13,-4.11,-0.41,-0.15,0.01,-22.62,Normal
0.53,-8.28,-4.61,-0.45,0.12,-0.07,-22.62,Normal
-0.54,-8.49,-3.92,-0.33,0.00,-0.14,-22.37,Normal
-0.46,-8.27,-5.12,-0.01,-0.13,-0.16,-22.62,Normal
0.18,-8.09,-4.87,-0.13,-0.25,-0.13,-22.37,Normal
0.34,-8.51,-4.76,-0.04,-0.16,-0.16,-22.37,Normal
0.21,-7.71,-4.78,-0.14,-0.14,-0.20,-22.71,Normal
0.36,-8.44,-3.57,-0.26,0.03,-0.10,-22.62,Normal
0.03,-7.66,-4.07,0.14,-0.06,-0.12,-22.71,Normal
0.00,-7.69,-3.86,-0.01,-0.07,-0.12,-22.87,Normal
0.00,-7.73,-3.76,0.12,-0.03,-0.12,-22.54,Normal
0.04,-8.18,-3.51,0.21,-0.04,-0.16,-22.71,Normal
0.07,-8.01,-3.98,0.33,0.00,-0.20,-23.12,Normal
