ax,ay,az,gx,gy,gz,Altitude,Activity
2.91,-9.71,2.49,-0.12,-0.03,-0.01,-62.09,Normal
2.94,-9.58,2.52,-0.12,-0.04,-0.02,-62.59,Normal
2.81,-9.59,2.57,-0.12,-0.03,-0.01,-62.59,Normal
2.98,-9.55,2.57,-0.11,-0.05,-0.02,-63.34,Normal
2.84,-9.67,2.47,-0.12,-0.05,-0.01,-62.92,Normal
3.02,-9.68,2.57,-0.11,-0.03,-0.01,-62.51,Normal
2.86,-9.57,2.46,-0.13,-0.03,-0.01,-62.75,Normal
2.91,-9.62,2.56,-0.10,-0.04,-0.02,-62.34,Normal
2.82,-9.61,2.65,-0.12,-0.03,-0.01,-62.09,Normal
2.94,-9.60,2.59,-0.11,-0.02,-0.01,-62.42,Normal
2.88,-9.62,2.30,-0.13,-0.02,-0.01,-63.00,Normal
2.83,-9.47,2.51,-0.16,-0.02,-0.00,-63.34,Normal
2.90,-9.84,2.62,-0.11,-0.01,-0.01,-62.09,Normal
2.77,-9.51,2.48,-0.12,-0.04,-0.02,-62.51,Normal
2.81,-9.62,2.53,-0.09,0.00,-0.02,-62.67,Normal
2.83,-9.63,2.50,-0.09,-0.01,-0.04,-62.67,Normal
2.85,-9.66,2.54,-0.09,-0.02,-0.05,-62.26,Normal
2.90,-9.69,2.61,-0.07,0.01,-0.05,-63.00,Normal
2.94,-9.50,2.56,-0.05,0.01,-0.07,-62.75,Normal
2.82,-9.73,2.61,-0.04,0.04,-0.07,-62.75,Normal
2.87,-9.57,2.66,-0.01,0.06,-0.09,-62.59,Normal
2.90,-9.52,2.72,0.01,0.10,-0.10,-62.51,Normal
3.06,-9.46,2.76,0.06,0.11,-0.12,-62.67,Normal
2.97,-9.56,2.72,0.07,0.15,-0.13,-62.75,Normal
3.04,-9.33,3.04,0.14,0.19,-0.16,-63.17,Normal
3.17,-9.55,3.20,0.15,0.17,-0.17,-62.67,Normal
3.20,-9.43,3.39,0.19,0.21,-0.19,-62.59,Normal
3.22,-9.40,3.52,0.23,0.25,-0.21,-62.84,Normal
3.35,-9.26,3.81,0.25,0.26,-0.21,-62.92,Normal
3.43,-9.22,4.11,0.29,0.25,-0.23,-62.92,Normal
3.37,-9.02,4.29,0.31,0.24,-0.25,-62.51,Normal
3.53,-8.97,4.78,0.33,0.27,-0.29,-62.59,Normal
3.66,-8.73,5.20,0.32,0.25,-0.30,-62.51,Normal
3.84,-8.97,5.15,0.31,0.31,-0.29,-62.75,Normal
3.65,-8.76,5.46,0.33,0.29,-0.34,-62.67,Normal
3.17,-8.68,6.31,0.24,0.23,-0.35,-62.92,Normal
4.13,-8.37,6.15,0.12,0.21,-0.29,-62.51,Normal
4.21,-8.43,6.56,0.10,0.16,-0.27,-62.84,Normal
3.85,-8.85,6.11,0.11,0.21,-0.25,-62.67,Normal
4.23,-7.80,6.07,0.16,0.24,-0.29,-63.25,Normal
4.36,-7.99,6.09,0.39,0.24,-0.36,-62.51,Normal
4.23,-7.66,6.84,0.32,0.27,-0.36,-62.67,Normal
5.23,-7.44,7.03,0.34,0.24,-0.36,-62.92,Normal
5.19,-7.94,7.48,0.27,0.44,-0.34,-63.00,Normal
4.81,-6.74,7.43,0.40,0.43,-0.43,-62.59,Normal
5.04,-7.59,9.05,0.40,0.45,-0.27,-62.67,Normal
4.62,-5.62,8.28,0.39,0.40,-0.28,-63.17,Normal
4.76,-7.09,9.54,0.31,0.46,-0.11,-62.67,Normal
4.03,-5.40,8.62,0.24,0.29,-0.12,-63.09,Normal
4.07,-6.53,9.13,0.12,0.31,0.02,-62.75,Normal
4.66,-6.08,8.61,0.14,0.23,-0.01,-63.09,Normal
4.06,-6.16,8.96,0.25,0.24,-0.05,-63.00,Normal
4.02,-5.67,9.47,0.23,0.04,-0.00,-63.17,Normal
3.96,-6.24,9.69,0.28,0.21,-0.00,-62.84,Normal
3.85,-5.69,10.20,0.28,0.19,-0.06,-63.17,Normal
3.70,-5.32,9.99,0.21,0.07,-0.10,-62.92,Normal
3.46,-5.20,9.72,0.20,0.12,-0.06,-63.09,Normal
3.56,-5.04,10.19,0.21,0.11,-0.09,-63.34,Normal
3.50,-5.08,10.07,0.17,0.09,-0.03,-63.34,Normal
3.68,-5.43,10.18,0.21,0.06,-0.06,-62.92,Normal
3.93,-4.73,10.52,0.27,0.01,-0.10,-63.09,Normal
3.80,-4.55,10.14,0.15,0.05,-0.08,-62.84,Normal
3.57,-4.41,10.46,0.10,0.02,-0.08,-62.92,Normal
3.59,-4.51,10.76,0.06,-0.00,-0.07,-63.00,Normal
3.50,-4.30,10.59,-0.06,-0.01,-0.04,-62.75,Normal
3.46,-4.36,10.58,-0.12,-0.06,0.00,-62.67,Normal
3.56,-4.35,10.45,-0.12,-0.03,-0.01,-62.51,Normal
3.72,-4.53,10.68,-0.14,-0.04,-0.02,-62.92,Normal
3.65,-4.50,10.48,-0.12,-0.07,-0.01,-62.92,Normal
3.76,-4.77,10.57,-0.12,0.01,-0.04,-63.00,Normal
3.58,-4.53,10.49,-0.08,-0.03,-0.08,-62.59,Normal
3.56,-4.30,10.66,-0.05,-0.03,-0.05,-62.59,Normal
3.66,-4.06,10.59,-0.07,-0.04,-0.01,-62.67,Normal
3.85,-4.59,10.69,-0.10,-0.01,-0.02,-62.84,Normal
3.63,-4.64,11.03,-0.03,-0.01,-0.04,-62.75,Normal
3.58,-4.42,10.55,-0.11,0.01,-0.01,-62.67,Normal
3.53,-4.32,10.51,-0.07,0.02,-0.02,-62.51,Normal
3.51,-4.22,10.74,-0.11,0.00,-0.02,-63.17,Normal
3.53,-4.31,10.66,-0.11,-0.02,-0.02,-63.00,Normal
3.43,-4.03,10.63,-0.12,-0.02,-0.01,-62.51,Normal
3.51,-4.33,10.63,-0.15,-0.03,-0.01,-63.34,Normal
3.43,-4.45,10.84,-0.16,-0.01,-0.01,-62.34,Normal
3.45,-4.36,10.71,-0.17,-0.01,-0.01,-62.92,Normal
3.48,-4.29,10.74,-0.14,-0.00,-0.01,-62.42,Normal
3.56,-4.27,10.49,-0.15,-0.01,-0.01,-62.84,Normal
3.42,-4.21,10.47,-0.19,0.02,0.02,-63.17,Normal
3.22,-4.43,10.68,-0.06,-0.02,-0.02,-62.51,Normal
3.50,-4.32,10.96,-0.11,-0.01,-0.01,-63.25,Normal
3.44,-4.26,10.70,-0.11,-0.04,-0.02,-62.51,Normal
3.35,-4.43,10.90,-0.07,-0.05,-0.02,-63.25,Normal
3.44,-4.42,10.83,-0.11,-0.05,-0.01,-62.75,Normal
3.55,-4.41,10.67,-0.09,-0.05,-0.02,-62.84,Normal
3.41,-4.16,10.70,-0.06,-0.05,-0.03,-63.00,Normal
3.48,-4.26,10.66,-0.08,-0.02,-0.01,-63.00,Normal
3.39,-4.02,10.30,-0.11,-0.06,-0.03,-63.09,Normal
3.50,-4.15,10.80,-0.08,-0.01,-0.01,-62.67,Normal
3.42,-4.36,10.63,-0.12,-0.05,-0.02,-62.92,Normal
3.41,-4.22,10.86,-0.08,-0.03,-0.02,-62.84,Normal
3.47,-4.16,10.65,-0.12,-0.04,-0.01,-63.09,Normal
3.42,-4.20,10.78,-0.10,-0.04,-0.02,-62.59,Normal
3.45,-4.06,10.57,-0.14,-0.03,-0.01,-63.17,Normal
3.46,-4.37,10.77,-0.12,-0.05,-0.02,-63.50,Normal
3.39,-4.23,10.75,-0.11,-0.05,-0.03,-63.09,Normal
3.39,-4.15,10.67,-0.11,-0.05,-0.02,-63.09,Normal
3.49,-4.21,10.78,-0.12,-0.04,-0.02,-63.09,Normal
3.41,-4.45,11.13,-0.09,-0.00,-0.01,-62.84,Normal
3.34,-4.08,10.73,-0.17,-0.04,-0.01,-62.75,Normal
3.55,-4.40,10.83,-0.11,-0.05,-0.02,-62.84,Normal
3.44,-4.17,10.75,-0.12,-0.03,-0.01,-62.92,Normal
3.35,-4.26,10.79,-0.10,-0.05,-0.03,-62.92,Normal
3.43,-4.19,10.65,-0.10,-0.04,-0.03,-62.59,Normal
3.45,-4.19,10.85,-0.14,-0.07,-0.02,-62.26,Normal
3.60,-4.33,10.69,-0.11,-0.04,-0.02,-62.92,Normal
3.52,-4.04,10.83,-0.11,-0.05,-0.02,-62.59,Normal
3.37,-4.10,10.61,-0.13,-0.03,-0.01,-63.00,Normal
3.48,-4.22,10.68,-0.14,-0.04,-0.01,-63.09,Normal
3.54,-4.38,11.00,-0.10,-0.06,-0.02,-63.09,Normal
3.39,-4.19,10.81,-0.17,-0.03,-0.01,-62.84,Normal
3.51,-4.36,10.68,-0.10,-0.05,-0.02,-62.92,Normal
3.50,-4.12,10.79,-0.13,-0.04,-0.01,-62.92,Normal
3.45,-4.15,10.77,-0.13,-0.03,-0.02,-62.84,Normal
3.50,-4.17,10.84,-0.11,-0.05,-0.02,-62.92,Normal
3.52,-4.24,10.72,-0.13,-0.05,-0.01,-63.00,Normal
3.48,-4.28,10.72,-0.12,-0.04,-0.01,-63.00,Normal
3.45,-4.15,10.74,-0.14,-0.04,-0.02,-63.17,Normal
3.49,-4.17,10.75,-0.13,-0.04,-0.02,-62.92,Normal
3.47,-4.20,10.76,-0.14,-0.04,-0.01,-62.75,Normal
3.48,-4.15,10.37,-0.17,-0.03,-0.01,-62.67,Normal
3.48,-4.00,10.50,-0.12,-0.02,-0.01,-63.25,Normal
3.49,-4.32,10.93,-0.14,-0.03,-0.01,-63.00,Normal
3.46,-4.30,10.64,-0.11,-0.04,-0.02,-63.00,Normal
3.39,-4.13,10.76,-0.12,-0.04,-0.01,-63.09,Normal
3.43,-4.27,10.74,-0.13,-0.05,-0.02,-63.17,Normal
3.51,-4.23,10.70,-0.13,-0.04,-0.01,-63.09,Normal
3.51,-4.30,10.76,-0.14,-0.04,-0.01,-62.92,Normal
3.45,-4.24,10.68,-0.14,-0.03,-0.01,-62.34,Normal
3.51,-4.22,10.72,-0.14,-0.04,-0.02,-63.17,Normal
3.47,-4.30,10.72,-0.14,-0.04,-0.01,-63.00,Normal
3.43,-4.34,10.73,-0.14,-0.04,-0.01,-63.34,Normal
3.48,-4.24,10.71,-0.13,-0.03,-0.02,-63.00,Normal
3.51,-4.40,10.76,-0.13,-0.03,-0.02,-63.34,Normal
3.53,-4.65,11.26,-0.09,-0.05,-0.02,-62.84,Normal
3.39,-4.37,10.79,-0.15,-0.02,-0.00,-63.41,Normal
3.44,-4.33,10.69,-0.14,-0.05,-0.01,-63.00,Normal
3.33,-4.32,10.72,-0.15,-0.03,-0.01,-62.51,Normal
3.41,-4.11,10.51,-0.16,-0.05,-0.00,-62.92,Normal
3.26,-4.20,10.73,-0.22,-0.06,-0.01,-63.17,Normal
3.19,-4.31,10.69,-0.21,-0.10,0.02,-63.09,Normal
3.58,-4.20,10.74,-0.30,-0.06,0.02,-63.17,Normal
3.30,-4.47,10.57,-0.37,-0.05,0.03,-62.92,Normal
3.51,-4.66,10.68,-0.48,-0.11,0.05,-63.09,Normal
3.44,-4.54,10.51,-0.51,-0.04,0.04,-63.09,Normal
3.35,-4.99,10.40,-0.72,-0.12,0.04,-63.00,Normal
3.02,-5.10,10.28,-0.71,-0.10,0.03,-63.17,Normal
3.81,-6.04,9.55,-0.70,-0.18,-0.00,-62.92,Normal
3.39,-5.36,9.82,-0.69,-0.14,-0.03,-62.92,Normal
4.34,-6.36,8.90,-0.69,-0.25,-0.02,-63.00,Normal
3.84,-6.47,9.46,-0.52,-0.12,-0.05,-63.09,Normal
3.95,-5.95,9.06,-0.53,-0.10,-0.14,-63.25,Normal
3.85,-6.34,9.27,-0.76,0.01,-0.14,-63.34,Normal
5.24,-6.58,8.95,-0.58,0.12,-0.25,-63.17,Normal
3.66,-7.49,9.19,-0.79,0.31,-0.25,-63.00,Normal
3.79,-7.10,8.32,-0.69,0.46,-0.24,-63.00,Normal
4.34,-6.85,8.06,-0.64,0.61,-0.20,-62.92,Normal
3.18,-7.75,8.13,-0.54,0.64,-0.03,-62.92,Normal
3.20,-7.69,7.12,-0.38,0.40,0.05,-63.00,Normal
3.89,-7.51,7.91,0.14,0.09,0.05,-62.75,Normal
3.82,-7.20,8.40,-0.10,0.18,0.26,-63.00,Normal
3.26,-8.33,8.81,-0.00,0.27,0.43,-63.00,Normal
2.72,-6.71,8.92,0.11,0.39,0.51,-62.92,Normal
3.10,-7.24,8.24,0.04,0.49,0.57,-63.17,Normal
3.25,-7.53,8.49,0.27,0.72,0.56,-63.41,Normal
1.86,-7.06,9.21,0.37,0.78,0.53,-63.34,Normal
1.34,-7.18,9.73,0.34,0.80,0.61,-63.17,Normal
0.67,-6.95,9.90,0.18,1.04,0.72,-62.67,Normal
-0.79,-6.34,9.91,0.05,1.16,0.79,-62.75,Normal
-1.26,-6.55,9.53,0.06,1.09,0.98,-63.00,Normal
-1.88,-6.56,9.88,-0.05,1.25,1.20,-63.17,Normal
-4.49,-5.43,9.12,-0.42,1.25,1.16,-63.17,Normal
-3.42,-6.40,8.05,-0.34,1.16,1.18,-62.92,Normal
-5.64,-5.32,7.88,-0.33,1.22,1.21,-62.75,Normal
-5.28,-5.32,7.12,-0.54,0.97,0.96,-62.84,Normal
-6.66,-3.41,6.46,-0.41,0.87,0.55,-63.00,Normal
-6.90,-4.22,6.45,-0.86,0.29,-0.05,-62.92,Normal
-7.35,-5.08,6.26,-0.53,-0.03,-0.44,-62.84,Normal
-6.31,-5.72,6.12,-0.80,-0.63,-0.62,-63.00,Normal
-6.30,-7.03,6.87,-0.39,-0.82,-1.00,-62.67,Normal
-6.17,-7.69,7.79,-0.13,-1.30,-1.27,-62.84,Normal
-6.29,-8.72,8.05,-0.12,-1.49,-1.05,-62.59,Normal
-3.95,-8.30,6.66,0.05,-1.80,-0.69,-62.84,Normal
-0.11,-7.52,7.60,0.18,-1.15,-0.25,-62.67,Normal
-0.62,-9.03,8.45,0.01,-1.06,-0.12,-62.92,Normal
-0.23,-7.91,8.07,0.23,-1.05,-0.18,-62.84,Normal
-0.22,-7.22,8.55,0.23,-1.06,-0.19,-62.67,Normal
-0.16,-7.36,9.46,0.29,-1.00,-0.11,-62.75,Normal
0.38,-6.82,9.62,0.42,-0.94,-0.09,-63.09,Normal
0.86,-5.54,10.21,0.25,-0.55,0.11,-63.00,Normal
0.49,-6.56,10.49,-0.23,-0.31,0.51,-62.92,Normal
2.08,-6.15,9.93,-0.19,-0.07,0.61,-62.75,Normal
0.38,-6.56,10.52,-0.57,0.43,0.73,-62.75,Normal
0.17,-6.85,9.70,-0.49,0.49,0.49,-62.75,Normal
-0.39,-6.21,8.74,-0.84,0.76,0.52,-62.67,Normal
-1.53,-8.15,7.81,-0.82,0.83,0.44,-62.84,Normal
-1.66,-8.03,8.13,-0.23,0.98,0.33,-62.92,Normal
-4.12,-7.86,8.27,-0.44,0.49,0.25,-62.92,Normal
-3.42,-7.79,7.29,0.02,0.19,0.06,-62.75,Normal
-3.98,-6.86,8.04,0.16,0.14,0.15,-62.92,Normal
-5.00,-7.52,7.77,0.16,0.02,0.01,-63.17,Normal
-4.93,-6.68,8.09,0.41,-0.03,-0.10,-62.92,Normal
-4.31,-6.32,8.45,0.11,-0.38,-0.16,-62.92,Normal
-3.88,-7.42,8.28,0.30,-0.70,-0.24,-63.00,Normal
-1.92,-7.96,8.61,0.56,-0.69,-0.14,-62.75,Normal
-2.06,-6.86,9.44,0.56,-0.61,-0.03,-62.84,Normal
-1.34,-5.68,9.48,0.46,-0.60,-0.11,-62.84,Normal
-1.80,-6.72,10.37,0.48,-0.69,-0.10,-62.67,Normal
-1.23,-5.77,10.32,0.69,-0.52,-0.12,-62.75,Normal
