ax,ay,az,gx,gy,gz,Altitude,Activity
-2.59,-9.62,2.35,-0.12,-0.04,-0.01,-20.63,Normal
-2.46,-9.50,2.37,-0.13,-0.06,-0.02,-20.13,Normal
-2.51,-9.57,2.40,-0.13,-0.07,-0.03,-20.63,Normal
-2.44,-9.57,2.40,-0.11,-0.06,-0.02,-20.46,Normal
-2.51,-9.53,2.36,-0.13,-0.06,-0.02,-20.13,Normal
-2.50,-9.55,2.37,-0.14,-0.05,-0.02,-20.88,Normal
-2.49,-9.60,2.25,-0.13,-0.06,-0.02,-20.55,Normal
-2.51,-9.63,2.26,-0.13,-0.06,-0.03,-20.71,Normal
-2.45,-9.54,2.24,-0.15,-0.06,-0.03,-21.04,Normal
-2.45,-9.62,2.38,-0.13,-0.08,-0.03,-20.55,Normal
-2.38,-9.49,2.28,-0.13,-0.05,-0.02,-20.63,Normal
-2.39,-9.60,2.31,-0.15,-0.04,0.00,-20.55,Normal
-2.39,-9.74,2.24,-0.11,-0.03,-0.01,-20.63,Normal
-2.47,-9.80,2.50,-0.11,-0.03,-0.02,-20.63,Normal
-2.52,-9.72,2.50,-0.11,-0.06,-0.03,-20.55,Normal
-2.49,-9.76,2.43,-0.12,-0.11,-0.09,-20.55,Normal
-2.38,-9.92,2.48,-0.13,-0.17,-0.15,-20.30,Normal
-2.95,-10.07,2.55,-0.13,-0.21,-0.20,-20.55,Normal
-3.46,-9.78,2.70,-0.10,-0.34,-0.24,-21.04,Normal
-2.93,-8.90,2.14,-0.14,-0.40,-0.26,-20.71,Normal
-2.56,-9.15,2.46,-0.17,-0.45,-0.36,-20.79,Normal
-3.25,-8.90,2.14,-0.30,-0.51,-0.28,-21.29,Normal
-2.95,-9.37,2.00,-0.26,-0.59,-0.27,-20.96,Normal
-2.75,-9.32,1.93,-0.29,-0.68,-0.27,-20.71,Normal
-2.47,-9.47,1.88,-0.33,-0.75,-0.28,-20.96,Normal
-2.01,-9.74,2.20,-0.30,-0.83,-0.31,-20.96,Normal
-1.37,-9.48,1.63,-0.37,-0.82,-0.28,-21.29,Normal
-1.24,-10.39,2.39,-0.50,-0.82,-0.25,-20.79,Normal
-0.46,-9.19,2.13,-0.41,-0.85,-0.30,-20.96,Normal
-0.14,-10.46,2.05,-0.52,-0.84,-0.35,-21.04,Normal
-0.40,-10.07,2.21,-0.45,-0.90,-0.35,-20.79,Normal
0.07,-9.90,2.21,-0.33,-0.97,-0.39,-21.04,Normal
0.06,-9.71,2.02,-0.28,-0.97,-0.38,-20.71,Normal
0.35,-9.61,2.04,-0.37,-0.92,-0.31,-21.29,Normal
0.49,-9.86,1.89,-0.35,-0.88,-0.27,-21.04,Normal
0.29,-10.06,1.80,-0.31,-0.90,-0.24,-21.21,Normal
0.08,-10.46,1.99,-0.27,-1.02,-0.22,-21.13,Normal
-0.07,-10.40,2.12,-0.26,-1.19,-0.20,-21.04,Normal
0.16,-10.49,2.26,-0.19,-1.28,-0.20,-20.71,Normal
0.27,-10.30,2.17,-0.13,-1.33,-0.15,-20.71,Normal
0.47,-11.15,1.61,0.00,-1.35,-0.15,-20.96,Normal
-0.18,-10.92,0.63,0.17,-1.26,-0.13,-21.04,Normal
-0.08,-8.38,0.63,0.15,-1.44,-0.19,-20.96,Normal
-0.46,-8.91,0.54,-0.09,-1.30,-0.21,-21.54,Normal
0.01,-10.46,0.91,-0.09,-1.17,-0.16,-21.29,Normal
0.07,-9.30,1.34,-0.21,-0.99,-0.14,-21.13,Normal
0.31,-9.27,1.60,-0.27,-0.85,-0.16,-21.46,Normal
0.08,-9.22,1.63,-0.25,-0.62,-0.12,-21.46,Normal
0.01,-9.52,1.78,-0.36,-0.39,-0.02,-21.54,Normal
-0.06,-9.82,2.17,-0.39,-0.23,0.01,-21.46,Normal
-0.10,-9.79,2.14,-0.32,-0.04,0.00,-21.04,Normal
0.28,-10.30,2.15,-0.29,0.17,-0.05,-21.13,Normal
-0.29,-10.44,1.65,-0.33,0.35,-0.07,-21.29,Normal
-0.01,-11.89,1.83,-0.25,0.47,-0.00,-21.29,Normal
-0.70,-10.70,1.36,-0.12,0.65,0.12,-21.29,Normal
0.21,-10.75,0.31,-0.12,0.56,0.15,-21.13,Normal
1.67,-8.43,-0.39,-0.11,0.56,0.15,-20.96,Normal
2.62,-7.93,-1.47,-0.21,0.95,0.08,-21.29,Normal
1.53,-10.53,-0.21,-0.46,0.88,0.02,-20.79,Normal
2.38,-9.56,-0.03,-0.29,0.99,0.04,-21.04,Normal
1.92,-9.07,0.57,-0.22,1.16,0.14,-21.21,Normal
1.60,-9.14,0.35,-0.29,1.25,0.25,-21.13,Normal
1.19,-8.91,0.25,-0.37,0.99,0.29,-20.96,Normal
1.55,-9.17,0.72,-0.32,0.74,0.26,-21.29,Normal
1.50,-9.64,1.12,-0.25,0.57,0.24,-21.54,Normal
1.70,-10.64,1.14,-0.19,0.39,0.21,-21.21,Normal
2.04,-10.83,1.24,-0.23,0.31,0.18,-21.46,Normal
1.58,-12.53,0.49,-0.27,0.36,0.16,-21.46,Normal
1.16,-11.20,-0.11,-0.05,0.32,0.19,-21.38,Normal
0.14,-10.63,-0.81,0.29,0.33,-0.01,-21.46,Normal
-0.84,-7.42,-1.30,0.15,-0.17,-0.20,-21.54,Normal
-0.84,-8.81,-1.16,-0.15,-0.25,-0.21,-21.13,Normal
0.46,-9.92,-0.22,0.04,-0.20,-0.26,-21.04,Normal
0.11,-8.59,0.22,-0.01,-0.19,-0.32,-21.21,Normal
0.68,-8.87,0.88,0.00,-0.01,-0.20,-21.21,Normal
0.84,-8.72,1.08,-0.09,0.12,-0.18,-21.21,Normal
0.78,-9.56,1.19,-0.30,0.22,-0.10,-21.79,Normal
1.08,-9.64,1.64,-0.26,0.30,-0.06,-20.79,Normal
1.53,-10.28,1.61,-0.18,0.42,-0.10,-21.29,Normal
1.75,-10.64,1.46,-0.21,0.52,-0.10,-21.29,Normal
1.53,-10.71,1.19,-0.42,0.66,-0.00,-21.38,Normal
2.57,-13.60,0.32,-0.17,0.81,-0.05,-21.46,Normal
1.74,-10.68,-1.06,0.23,0.80,0.04,-21.13,Normal
2.80,-6.70,-0.55,-0.10,0.94,0.17,-21.38,Normal
2.64,-8.15,-1.96,-0.09,1.81,0.30,-21.46,Normal
1.61,-10.11,-0.1.65,-8.97,-0.36,-0.52,1.40,0.36,-20.96,Normal
1.81,-9.04,-0.16,-0.18,1.23,0.36,-20.71,Normal
1.70,-8.63,0.33,-0.12,1.16,0.41,-20.96,Normal
1.14,-8.80,0.86,-0.33,0.82,0.39,-20.96,Normal
1.63,-9.05,1.04,-0.32,0.52,0.33,-21.04,Normal
1.67,-9.87,1.10,-0.27,0.33,0.27,-21.21,Normal
1.70,-10.77,1.09,-0.28,0.16,0.20,-20.96,Normal
1.94,-11.72,1.00,-0.37,0.03,0.11,-20.79,Normal
1.29,-12.82,1.51,-0.07,-0.04,0.04,-21.29,Normal
1.00,-10.58,-1.13,0.29,-0.04,-0.05,-20.71,Normal
-0.44,-8.94,-0.73,0.27,-0.37,-0.20,-21.13,Normal
-1.65,-7.08,-1.36,-0.05,-0.89,-0.29,-21.13,Normal
0.29,-10.41,-0.70,-0.15,-1.05,-0.39,-20.79,Normal
0.48,-9.13,-0.19,-0.10,-0.81,-0.32,-20.63,Normal
0.46,-8.80,1.00,-0.13,-0.85,-0.37,-21.04,Normal
0.99,-8.48,0.90,0.02,-0.71,-0.36,-21.29,Normal
1.08,-8.99,1.09,-0.22,-0.50,-0.27,-21.46,Normal
1.22,-9.39,1.35,-0.29,-0.28,-0.16,-21.21,Normal
1.70,-10.05,1.37,-0.31,-0.05,-0.12,-20.96,Normal
1.80,-10.71,1.36,-0.33,0.15,-0.11,-21.04,Normal
1.53,-10.62,1.10,-0.32,0.31,-0.06,-21.21,Normal
2.60,-13.02,0.24,-0.24,0.38,-0.10,-21.13,Normal
1.74,-11.52,-1.46,-0.20,0.46,0.02,-21.29,Normal
1.49,-8.65,-0.85,-0.00,0.58,0.18,-21.21,Normal
2.86,-6.76,-1.52,0.11,0.74,0.23,-21.13,Normal
1.84,-9.34,-2.07,-0.19,1.34,0.38,-21.29,Normal
1.89,-9.45,-0.75,-0.73,0.76,0.35,-20.88,Normal
2.00,-9.04,0.26,-0.09,0.99,0.41,-20.88,Normal
1.13,-8.38,0.53,-0.13,0.95,0.43,-21.04,Normal
1.17,-8.49,0.54,-0.24,0.54,0.38,-20.88,Normal
1.57,-9.05,0.74,-0.27,0.19,0.27,-20.88,Normal
2.00,-9.74,0.79,-0.21,0.03,0.17,-20.79,Normal
1.71,-10.44,0.98,-0.21,-0.10,0.17,-20.88,Normal
2.11,-11.06,0.37,-0.22,-0.20,0.14,-20.96,Normal
1.67,-14.17,-0.12,-0.15,-0.14,0.03,-20.79,Normal
0.56,-12.10,-1.67,0.29,-0.03,-0.02,-21.04,Normal
-0.37,-8.83,-0.72,0.33,-0.31,-0.13,-20.96,Normal
-1.81,-6.39,-0.67,0.36,-0.71,-0.29,-21.21,Normal
-0.31,-9.36,-1.62,-0.12,-1.26,-0.42,-21.04,Normal
0.11,-9.83,0.11,-0.54,-0.75,-0.16,-20.79,Normal
0.22,-8.93,0.74,-0.14,-0.82,-0.27,-21.54,Normal
0.77,-8.94,0.90,-0.12,-0.65,-0.28,-21.21,Normal
0.62,-8.84,0.90,-0.17,-0.48,-0.26,-21.13,Normal
0.93,-9.28,1.20,-0.24,-0.28,-0.19,-21.21,Normal
1.45,-9.93,1.41,-0.13,-0.05,-0.19,-21.46,Normal
1.45,-10.54,1.37,-0.20,0.16,-0.15,-21.13,Normal
1.37,-10.85,1.26,-0.19,0.27,-0.14,-20.88,Normal
2.56,-13.56,0.10,-0.21,0.38,-0.20,-20.71,Normal
1.47,-11.77,-1.47,0.01,0.31,-0.11,-20.88,Normal
1.65,-8.13,-0.45,0.06,0.47,0.13,-21.04,Normal
3.12,-6.84,-1.81,0.14,0.93,0.22,-20.55,Normal
1.49,-9.75,-1.58,-0.23,1.16,0.29,-20.96,Normal
1.96,-9.38,-0.50,-0.63,0.80,0.36,-20.96,Normal
1.88,-8.93,0.43,-0.19,1.01,0.43,-21.04,Normal
1.41,-8.40,0.44,-0.14,1.06,0.48,-20.96,Normal
1.31,-8.52,0.60,-0.33,0.74,0.44,-21.13,Normal
1.67,-8.80,1.04,-0.27,0.46,0.34,-20.88,Normal
1.75,-9.67,1.04,-0.17,0.38,0.26,-21.04,Normal
1.60,-10.28,1.07,-0.18,0.19,0.21,-21.04,Normal
1.98,-11.22,0.83,-0.20,0.08,0.16,-20.79,Normal
1.37,-13.52,-0.35,-0.18,0.15,0.11,-20.88,Normal
1.11,-11.82,-1.47,0.27,0.06,0.01,-20.55,Normal
-0.24,-8.60,-0.55,0.39,-0.07,-0.12,-20.88,Normal
-1.58,-6.57,-1.19,0.09,-0.52,-0.22,-21.21,Normal
0.29,-10.39,-1.01,-0.34,-0.57,-0.23,-21.04,Normal
0.39,-9.74,0.13,-0.14,-0.47,-0.22,-21.04,Normal
0.48,-8.66,0.70,-0.16,-0.36,-0.24,-20.96,Normal
0.98,-8.59,1.30,0.00,-0.24,-0.22,-20.79,Normal
0.96,-8.78,1.09,-0.20,-0.07,-0.15,-20.88,Normal
1.01,-9.61,1.49,-0.39,0.10,-0.01,-21.29,Normal
1.65,-10.12,1.64,-0.16,0.28,-0.06,-20.96,Normal
1.67,-10.42,1.41,-0.20,0.41,-0.11,-21.04,Normal
1.63,-10.54,1.04,-0.35,0.55,-0.09,-21.54,Normal
3.07,-13.77,-0.69,-0.21,0.71,-0.20,-20.71,Normal
1.85,-11.58,-1.95,0.22,0.91,-0.11,-21.21,Normal
1.61,-7.22,-0.61,-0.10,0.76,0.21,-21.29,Normal
2.53,-7.35,-1.86,-0.27,0.91,0.24,-21.13,Normal
1.76,-10.60,-0.81,-0.41,1.02,0.31,-20.79,Normal
2.03,-9.29,-0.34,-0.33,0.78,0.36,-20.71,Normal
1.66,-8.87,0.39,-0.17,0.89,0.41,-21.04,Normal
