ax,ay,az,gx,gy,gz,Altitude,Activity
0.77,-10.06,2.50,-0.14,-0.08,-0.02,-39.23,Normal
0.83,-10.02,2.52,-0.11,-0.07,-0.02,-38.73,Normal
0.93,-10.01,2.68,-0.09,-0.06,-0.02,-39.06,Normal
0.86,-9.93,2.58,-0.11,-0.04,-0.02,-39.06,Normal
0.79,-9.97,2.5-0.06,-0.02,-39.64,Normal
0.84,-10.08,2.78,-0.10,-0.05,-0.02,-38.97,Normal
0.79,-9.82,2.68,-0.11,-0.03,-0.02,-39.39,Normal
0.82,-9.89,2.56,-0.08,-0.01,-0.02,-39.55,Normal
0.78,-9.93,2.67,-0.14,-0.00,-0.01,-39.55,Normal
0.84,-9.96,2.65,-0.13,-0.01,-0.00,-38.89,Normal
0.79,-9.92,2.58,-0.14,-0.03,-0.01,-39.39,Normal
0.86,-10.04,2.66,-0.12,-0.01,-0.01,-39.48,Normal
0.87,-9.93,2.47,-0.12,-0.01,-0.01,-39.23,Normal
0.82,-10.04,2.65,-0.13,-0.01,-0.01,-39.64,Normal
0.75,-9.98,2.51,-0.10,0.00,-0.00,-39.39,Normal
0.74,-9.91,2.64,-0.12,-0.02,0.00,-39.31,Normal
0.73,-9.90,2.76,-0.18,-0.04,0.02,-39.39,Normal
0.62,-9.83,2.51,-0.15,-0.02,0.04,-39.39,Normal
0.86,-10.16,2.55,-0.13,-0.06,0.01,-39.48,Normal
0.76,-9.99,2.52,-0.15,-0.05,0.02,-38.97,Normal
0.77,-9.90,2.48,-0.11,-0.05,0.01,-39.23,Normal
0.70,-9.87,2.41,-0.15,-0.03,0.02,-39.06,Normal
0.81,-9.98,2.47,-0.18,-0.03,0.03,-39.72,Normal
0.91,-9.90,2.50,-0.15,-0.05,0.03,-39.39,Normal
0.90,-9.75,2.36,-0.20,-0.05,0.04,-39.64,Normal
0.75,-10.03,2.29,-0.28,-0.10,0.07,-39.39,Normal
0.72,-9.95,2.36,-0.25,-0.15,0.06,-39.23,Normal
0.47,-9.74,2.25,-0.26,-0.15,0.06,-39.39,Normal
0.32,-9.84,2.05,-0.29,-0.11,0.08,-39.31,Normal
0.04,-9.96,2.05,-0.36,-0.13,0.08,-39.14,Normal
-0.22,-10.02,2.04,-0.34,-0.07,0.10,-39.64,Normal
-0.40,-9.85,2.11,-0.32,-0.09,0.11,-39.39,Normal
-0.62,-10.05,2.42,-0.30,-0.07,0.08,-39.72,Normal
-0.36,-9.67,2.12,-0.29,-0.03,0.06,-39.23,Normal
-0.30,-9.72,1.95,-0.37,-0.00,0.04,-39.39,Normal
-0.25,-9.87,1.62,-0.40,0.06,0.04,-39.80,Normal
-0.09,-9.76,1.19,-0.52,-0.02,0.04,-39.23,Normal
0.05,-9.54,1.03,-0.57,-0.13,0.02,-39.55,Normal
0.22,-9.77,0.95,-0.48,-0.14,0.03,-39.31,Normal
0.23,-9.60,0.65,-0.49,-0.13,0.07,-39.39,Normal
0.33,-9.74,0.39,-0.52,-0.16,0.06,-39.55,Normal
0.14,-9.78,0.34,-0.53,-0.09,0.09,-39.89,Normal
0.15,-9.69,0.04,-0.50,-0.10,0.09,-39.55,Normal
0.08,-9.50,-0.14,-0.48,-0.03,0.09,-39.64,Normal
-0.03,-9.45,-0.17,-0.53,-0.01,0.11,-39.80,Normal
-0.15,-9.34,-0.48,-0.49,0.02,0.11,-39.72,Normal
-0.26,-9.34,-0.64,-0.48,-0.01,0.11,-39.80,Normal
-0.36,-9.29,-0.89,-0.43,0.02,0.10,-39.39,Normal
-0.46,-9.16,-1.07,-0.44,-0.01,0.11,-39.23,Normal
-0.45,-9.17,-1.26,-0.44,-0.00,0.11,-39.31,Normal
-0.64,-9.28,-1.40,-0.43,0.01,0.12,-39.72,Normal
-0.64,-9.12,-1.55,-0.45,-0.05,0.11,-39.39,Normal
-0.86,-9.18,-1.75,-0.42,-0.05,0.11,-39.55,Normal
-0.93,-9.01,-1.92,-0.40,-0.07,0.10,-39.14,Normal
-0.91,-8.95,-1.97,-0.39,-0.08,0.10,-39.55,Normal
-0.80,-8.84,-2.13,-0.36,-0.10,0.08,-39.89,Normal
-1.11,-8.87,-2.31,-0.38,-0.09,0.07,-39.64,Normal
-0.96,-8.60,-2.33,-0.39,-0.11,0.09,-39.39,Normal
-1.34,-8.96,-2.37,-0.41,-0.09,0.06,-39.80,Normal
-1.16,-8.07,-2.37,-0.38,-0.20,0.07,-39.14,Normal
-1.27,-8.47,-2.38,-0.37,-0.13,0.10,-39.55,Normal
-1.25,-7.94,-2.40,-0.40,-0.12,0.11,-39.39,Normal
-1.33,-7.92,-2.75,-0.39,-0.11,0.11,-39.89,Normal
-1.40,-7.86,-2.74,-0.42,-0.04,0.13,-39.55,Normal
-1.44,-7.66,-2.80,-0.46,-0.10,0.16,-39.80,Normal
-1.53,-7.79,-3.07,-0.56,-0.02,0.19,-39.55,Normal
-2.32,-8.23,-3.46,-0.53,-0.12,0.22,-39.80,Normal
-2.24,-8.56,-4.12,-0.45,-0.29,0.24,-39.80,Normal
-2.69,-8.60,-4.54,-0.36,-0.22,0.24,-39.89,Normal
-2.65,-8.50,-4.55,-0.40,-0.25,0.21,-39.39,Normal
-2.38,-8.26,-4.11,-0.28,-0.22,0.13,-39.39,Normal
-2.12,-7.62,-3.66,-0.12,-0.09,0.06,-39.64,Normal
-2.44,-7.69,-3.63,-0.07,-0.09,-0.02,-39.48,Normal
-2.18,-7.26,-3.38,0.03,-0.03,-0.04,-39.97,Normal
-2.40,-7.39,-3.26,0.07,-0.04,-0.08,-39.48,Normal
-2.09,-7.41,-3.13,0.09,-0.05,-0.10,-39.64,Normal
-2.20,-7.37,-2.82,0.10,-0.05,-0.12,-39.64,Normal
-1.83,-7.31,-2.74,0.14,-0.03,-0.14,-39.89,Normal
-2.17,-7.65,-2.85,0.08,0.03,-0.12,-39.89,Normal
-2.04,-7.89,-2.73,0.17,0.07,-0.15,-39.55,Normal
-2.04,-8.05,-2.87,0.24,-0.00,-0.20,-39.31,Normal
-2.04,-8.09,-2.50,0.46,-0.07,-0.29,-40.47,Normal
-1.27,-7.93,-1.93,0.65,-0.04,-0.38,-39.80,Normal
-1.14,-7.56,-1.16,0.78,-0.02,-0.41,-39.89,Normal
-0.68,-7.44,-0.68,0.79,-0.13,-0.41,-39.97,Normal
-0.47,-7.44,0.08,0.77,-0.10,-0.36,-39.97,Normal
0.16,-7.42,1.28,0.42,-0.24,-0.30,-40.38,Normal
1.28,-7.71,3.33,-0.09,-0.82,-0.19,-39.80,Normal
1.47,-7.86,3.67,0.43,-0.65,0.27,-40.30,Normal
4.81,-6.73,0.61,0.45,-0.70,0.68,-40.05,Normal
-5.23,-11.17,-3.46,-1.10,4.01,1.95,-40.38,Normal
-12.72,-10.40,-9.37,-2.84,3.96,2.19,-39.97,Normal
-5.19,-8.73,-5.11,-2.03,-0.37,0.96,-40.30,Normal
-2.09,-13.27,-5.77,-2.62,0.04,1.13,-40.14,Normal
-9.74,-2.74,-12.96,-0.69,0.95,1.06,-40.38,Normal
-3.33,-3.55,-3.27,-0.33,0.01,0.42,-40.22,Normal
-1.88,-3.98,-5.37,-0.33,0.13,-0.02,-40.38,Normal
-2.87,-4.33,-6.30,-0.28,0.25,-0.22,-40.05,Normal
-3.63,-4.22,-5.98,-0.13,-0.01,-0.32,-40.38,Normal
-3.43,-4.21,-5.84,-0.01,-0.03,-0.35,-40.05,Normal
-2.06,-5.46,-5.10,-0.01,-0.13,-0.43,-40.38,Normal
-2.13,-6.11,-3.95,0.07,0.01,-0.53,-40.30,Normal
-3.29,-6.77,-5.10,-0.03,-0.12,-0.49,-40.55,Normal
-2.90,-7.94,-5.45,-0.18,-0.13,-0.40,-40.22,Normal
-2.41,-9.00,-5.02,-0.29,-0.14,-0.21,-40.30,Normal
-1.66,-7.96,-3.71,-0.15,-0.12,-0.17,-40.47,Normal
-1.71,-6.92,-3.69,-0.09,-0.00,-0.17,-40.55,Normal
-1.47,-6.37,-3.84,-0.06,0.21,-0.19,-40.05,Normal
-2.10,-6.09,-4.49,-0.27,0.33,-0.17,-40.38,Normal
-2.43,-6.22,-4.33,-0.38,0.24,-0.14,-40.22,Normal
-2.21,-5.99,-4.87,-0.44,0.12,-0.19,-40.38,Normal
-1.83,-5.80,-4.51,-0.45,0.15,-0.23,-40.55,Normal
-1.65,-5.52,-4.71,-0.51,0.28,-0.28,-40.22,Normal
-1.46,-5.44,-4.70,-0.57,0.47,-0.32,-40.47,Normal
-1.35,-5.22,-4.65,-0.62,0.61,-0.38,-40.55,Normal
